residual_id,candidate_id,reader,reference_form,source_relpath,source_line,source_column,visible_text,raw_tex,context,source_sha256,target_label,pdf_destination,target_id,classification,status,resolution_basis
ega3.ega0.residual.sha256.c7577b4182991472c2a6f20f044ab65f48e836670973c05e44be5a6e82280caa,ega3.ega0.candidate.sha256.c7577b4182991472c2a6f20f044ab65f48e836670973c05e44be5a6e82280caa,ega0,plain_dotted_locator,ega0/ega0-3.tex,28,66,1.9,1.9,"topological space $X$ with values in a category $\cat{C}$ (G, I, 1.9); we say that",FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.c7ad4e4654b5667994cfd65f512b5d106786363c1ff92653c996803ab30707f1,ega3.ega0.candidate.sha256.c7ad4e4654b5667994cfd65f512b5d106786363c1ff92653c996803ab30707f1,ega0,plain_dotted_locator,ega0/ega0-3.tex,42,75,1.8,1.8,"notion of a (non-filtered) \emph{projective limit} (\emph{see} (T, I, 1.8)",FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.6097594e9fb51cf4fc4560e8194573a005f946a1f68b19142dfec14fc3d7f4b1,ega3.ega0.candidate.sha256.6097594e9fb51cf4fc4560e8194573a005f946a1f68b19142dfec14fc3d7f4b1,ega0,plain_dotted_locator,ega0/ega0-3.tex,118,76,1.8,1.8,"Suppose now that the category $\cat{C}$ admits \emph{inductive limits} (T, 1.8);",FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.35e81656d9922d5eee2f9aef2e55ff88cbcbeb044801f269d77de1eccc69ea1e,ega3.ega0.candidate.sha256.35e81656d9922d5eee2f9aef2e55ff88cbcbeb044801f269d77de1eccc69ea1e,ega0,plain_dotted_locator,ega0/ega0-3.tex,162,26,1.8,1.8,"preordered sets, cf. (T, 1.8)). Let $X$ be a topological space, $\mathfrak{B}$",FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.098e0b246ce022269db7eceaa29696c5da7388f0d902b8b0587e9821276c7ba9,ega3.ega0.candidate.sha256.098e0b246ce022269db7eceaa29696c5da7388f0d902b8b0587e9821276c7ba9,ega0,plain_dotted_locator,ega0/ega0-3.tex,504,9,2.9.2,2.9.2,"(G, II, 2.9.2), but it is in general distinct from the latter when we suppose",FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.e8f86ff206e3ebf729fd179887e0c1a742b6ee19bf824d8a2cac323eaaa145e3,ega3.ega0.candidate.sha256.e8f86ff206e3ebf729fd179887e0c1a742b6ee19bf824d8a2cac323eaaa145e3,ega0,plain_dotted_locator,ega0/ega0-3.tex,804,34,1.2,1.2,"associated to a presheaf (G, II, 1.2). The above considerations apply without",FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,subsection:0.1.2,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.ab261d3d6e7b9b9414dca2d44a302ae8a20950afcbb67e02cb40cfadd0f31a52,ega3.ega0.candidate.sha256.ab261d3d6e7b9b9414dca2d44a302ae8a20950afcbb67e02cb40cfadd0f31a52,ega0,plain_dotted_locator,ega0/ega0-3.tex,812,48,1.5,1.5,"rings) we recover the usual definition (G, II, 1.5).",FD364A7F2E967C4B2F05745CD70F73BA9057F3DCB609CDB7061B0FB4D287A9AB,subsection:0.1.5,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.cba4a5ecb85327f8fa9f2c71669fdd0748af818cd4f0564f133fc388bf6b9620,ega3.ega0.candidate.sha256.cba4a5ecb85327f8fa9f2c71669fdd0748af818cd4f0564f133fc388bf6b9620,ega0,plain_dotted_locator,ega0/ega0-4.tex,43,55,1.1,1.1,"morphism $(\psi,\theta)$ is a \emph{monomorphism} (T, 1.1) in the category of",598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,subsection:0.1.1,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.5f8011e90b077ee511d12890855b02d529898439df9512dad35b7d6e5ff44cc8,ega3.ega0.candidate.sha256.5f8011e90b077ee511d12890855b02d529898439df9512dad35b7d6e5ff44cc8,ega0,plain_dotted_locator,ega0/ega0-4.tex,66,65,2.2,2.2,"\emph{algebraic sheaves} on a ringed space $(X,\sh{A})$ (G, II, 2.2); when",598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,subsection:0.2.2,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.22a2165c8a908046ab00bda357190fbd3f36a87f8daddc0deea7936fdd082ac2,ega3.ega0.candidate.sha256.22a2165c8a908046ab00bda357190fbd3f36a87f8daddc0deea7936fdd082ac2,ega0,plain_dotted_locator,ega0/ega0-4.tex,102,29,2.2,2.2,"$\sh{A}$-modules in (G, II, 2.2), but naturally no longer form an abelian group.",598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,subsection:0.2.2,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.4296b3d25085122150c3114ea9f6f4702cf0ce717dc67602979a301d78d47820,ega3.ega0.candidate.sha256.4296b3d25085122150c3114ea9f6f4702cf0ce717dc67602979a301d78d47820,ega0,plain_dotted_locator,ega0/ega0-4.tex,143,9,2.8,2.8,"(G, II, 2.8 and 2.2) in the categories of left or right (depending on the case)",598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
ega3.ega0.residual.sha256.95142cd409016c3019a524701cf463d7e9998064fe0c5db0d282767dd6388666,ega3.ega0.candidate.sha256.95142cd409016c3019a524701cf463d7e9998064fe0c5db0d282767dd6388666,ega0,plain_dotted_locator,ega0/ega0-4.tex,143,17,2.2,2.2,"(G, II, 2.8 and 2.2) in the categories of left or right (depending on the case)",598BFADD2F888BA48703D8F7182D5D266A54894114CCCF99E57D19E8D572CC23,subsection:0.2.2,,,external_work_or_cross_volume_locator,reviewed_positive_residual,same-line source syntax explicitly identifies an external work or volume
