edge_id,reader,pdf_page,annotation_index,rect_x0,rect_y0,rect_x1,rect_y1,pdf_destination,target_id,target_pdf_page,origin_class,status
ega3.ega0.edge.sha256.49c1d8375690f49433ca63a7289b3e11e78397ed53ebaafc524b30874e5b5d42,ega0,1,0,516.022,605.304,522.996,614.231,section*.3,ega3.ega0.target.sha256.6f363197f7fca89575a72f2dc7515b51b8f611067a2f27cf532a5e4aa53022ac,2,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.4f7a0363bb5e68c4bad8c0bb742db59c9e583fd4dab38dcf41d75931a80af7cc,ega0,1,1,516.022,592.751,522.996,601.678,subsection*.4,ega3.ega0.target.sha256.85a989b3084ee27dace0acb562b6acd4626f4ce24c7174e3bea78e38d18147a4,2,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.c6dceae5595da9a95cfa83ca024f2ff1c97ce178bd2d4e4acc07ee69d84a888d,ega0,1,2,516.022,580.198,522.996,589.125,subsection*.5,ega3.ega0.target.sha256.8846471e35a2d793b26665add14ac83d4dcfbbde3b250ffc4de7275aa47eefa5,3,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.d13f3faa5af3d1144fe80d3536aad6d523c024a2927b3ea2d08cfa8988a7c526,ega0,1,3,516.022,567.645,522.996,576.572,subsection*.6,ega3.ega0.target.sha256.184c4bfb242457208233bb5443dafe4ac621cc64592335e53dfde01a0cbc16e4,4,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.bc8e3749296a5ce44339fe500552cbb40dc04d45e8ddd98df44f7a8cc28b7429,ega0,1,4,516.022,554.908,522.996,564.019,subsection*.7,ega3.ega0.target.sha256.e4cf2474d0d8eea20d024d45b1c56a871dd1e04e02b9962dc13e4294c1fbdff6,5,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.773a0a658cd1493195c9194219ee742af1596dffc8627d5c88d175e35d1db60b,ega0,1,5,516.022,542.355,522.996,551.466,subsection*.8,ega3.ega0.target.sha256.a65e8c656da584ef1214023e4b9bb10e1a4d10cb77528079a1632d0b1b2a7bfb,6,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.ac8716c48dbd5b632bab41f885ad226b0538d2c7b25af217daad512608cf1cb3,ega0,1,6,516.271,529.986,523.245,538.913,subsection*.9,ega3.ega0.target.sha256.d0473b85ab1f331be99676b809e25267262ffba122c6f781da5805766a390a3e,7,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.aaa0a1d07719e491ed1b28131962cf373b18465dcdbfde65cc9dcbc6fc2d1d89,ega0,1,7,516.022,517.249,522.996,526.360,subsection*.10,ega3.ega0.target.sha256.61f60ddaef66d50463061e13d4227c2e322d9766478a6501b266fb7f34f4d632,9,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.70f0f7c7c215c259adca9d3bfe502bf486e1ed29b8b0729ff4712aae7e5798f5,ega0,1,8,516.022,504.696,522.996,513.807,subsection*.11,ega3.ega0.target.sha256.5274b75b9629636a2b4bc0a38c6bf65827476fbcf0aa04c3e970db9311f55e71,9,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.0915fd2142e93d9e4cbcb52c6c5ae4cb02eca37d0a923adae27ac81847dfe738,ega0,1,9,511.041,492.143,522.996,501.254,section*.12,ega3.ega0.target.sha256.3acbc8fc81c3fa915af28f1f6b7de4fc4e4999423de98882ba4610e814cc1cb3,10,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.c9bb243a887414c24865bd1467c2856ead0324081e7f480fe8af2e72b8cc541a,ega0,1,10,511.041,479.590,522.996,488.701,subsection*.13,ega3.ega0.target.sha256.2b2ad2e1e73da2d82f85131e0c88dc381a7a20a8628894ce7fe17230c461400a,10,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.24045cc5a5e763e6090c3db8f84531dfbf7136e2686d28f4dc9bf52672c8c7cc,ega0,1,11,511.539,467.222,523.494,476.148,subsection*.15,ega3.ega0.target.sha256.ae4d5d4da88678cc19bf24d15c3c8515af0693084dc1b6747dd271256139914a,11,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.e1b8f85d5a7a640b765c379dd2f25cb5284d631ac2e31a0fdd202c22ec8e343e,ega0,1,12,511.041,454.669,522.996,463.595,section*.16,ega3.ega0.target.sha256.5a85b320a7628a041f0da4fec45bdfecc25158ba0272596d7745f2f3ac594865,12,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.22db373c1be6c51e8a1fe162cc7cf3675b8dec44a62d44e91ee7c33b91d6eee5,ega0,1,13,511.041,442.116,522.996,451.042,subsection*.17,ega3.ega0.target.sha256.6a6fafbcb9fd3cd0d0b988722380233fd8539472dc1325af524be2b9e4213819,12,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.47ee7a08ceeb72839396b5a22bbc33affa849f1db99254e18ed9fdd59d67b029,ega0,1,14,511.041,429.378,522.996,438.489,subsection*.21,ega3.ega0.target.sha256.e0af9821b184a10acb528ea9946da655791d4865df9764f28d4dfa45005e7291,13,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.3896ed8d4434abaf8e89321aa8f38e2f55af1022cdaafb2303f21ba337d2dbf0,ega0,1,15,511.041,416.825,522.996,425.936,subsection*.24,ega3.ega0.target.sha256.12952a7ebf96523f41ca20173d2bdc3251e52e2cd667ef8db5d08e260607baf4,15,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.43b879f263cee9f8f0af75b8fb049023f31b455e8efc67df27440299540d7fd7,ega0,1,16,511.041,404.273,522.996,413.383,subsection*.26,ega3.ega0.target.sha256.29edd4a4a070dac752834a172c36ab7f87195388c4d586a10dd987b7bd84b4cb,15,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.53b90c49e8df3a846fe658874696cdd0724c2e1729d2e1a036c8841f59a2139d,ega0,1,17,511.290,391.904,523.245,400.830,subsection*.27,ega3.ega0.target.sha256.b77db6100b1708b3fe90b85131b6f4b2081ebeff412280b67acd832c89608e17,16,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.c6e16bac0f3c4ca4602a363732e9d50e6453f6d0fb4f04dd9cd3e9c2cd7d9d7f,ega0,1,18,511.041,379.167,522.996,388.277,subsection*.38,ega3.ega0.target.sha256.cd0672e0f91a9eaa5656aed91c412e9d583d4a6d572e61a903ac55e57e507e9a,18,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.8e339ff96af0957ed38374129a37f8d3bae3d164b63be6d800761f9bda72f40e,ega0,1,19,511.041,366.614,522.996,375.724,subsection*.39,ega3.ega0.target.sha256.537efaeea5dda8d0cedb3ec97d7f0a35ee22b6211bbde0f8b9cc47a372549f64,19,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.53706f39302db390dcd64061bca2c3fe637424772d3c97091542959c73d44587,ega0,1,20,511.041,354.061,522.996,363.171,subsection*.40,ega3.ega0.target.sha256.4e1d35fdd169c32f6663b9eca16ec47201f53083dd3e9f78d987c343497ec67e,20,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.664c1709d6831827630cec41038a71bc20475c890fef2ed5cd234d40dbb752f7,ega0,1,21,511.041,341.508,522.996,350.618,section*.41,ega3.ega0.target.sha256.bd408d771e6da4ba8c80635355c1badda76ebb5bbd2b269b086658076ec832b3,20,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.44a6375368f7d192a496c265b0127823025aeeb11898b51a983c1a4b05ac3985,ega0,1,22,511.041,328.955,522.996,338.065,subsection*.42,ega3.ega0.target.sha256.588bdf799c4b1138781997573f4ae03a0c5c2d4cd2bf9667832f6403770160cd,20,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.8f388fe28a06aa4acf76305615b330f7e8f06dc1cbc19d9a7d9db659b50abf13,ega0,1,23,511.041,316.402,522.996,325.513,subsection*.43,ega3.ega0.target.sha256.0a844b087dc11f8a79335a6c1d3f0471a6ebb4db20b1031382ddf4a44ec663d4,22,inherited_internal_pdf_link,resolved_internal_goto
ega3.ega0.edge.sha256.bfd767dfd52bb103c276a3eb74fdaa1ce0f6e3497864b64ac72eb2894ecf3dc7,ega0,1,24,511.041,304.033,522.996,312.960,subsection*.47,ega3.ega0.target.sha256.08841e27296514fa255122331ba2f6e41dccdcf2dc2dc643e2e2caace7c854ab,24,inherited_internal_pdf_link,resolved_internal_goto
