pdf_page_start,pdf_page_end,visible_segment,title_or_content,source_status,notes
1,6,front matter,Band II title pages, preface, partial contents,partly source-derived,Current reader contents page only lists early Band II works and is not the full scan contents.
7,10,Band II I,Ueber die Stabilität des Gleichgewichts,source checked and repaired in this round,Current reader has confirmed formula/sign errors.
11,18,Band II II-III,Potential papers,not checked,Requires scan check before use.
19,28,Band II IV-V beginning,Reduction of positive ternary quadratic forms,not checked,Current reader then jumps to generated Teil segmentation.
29,61,Teil 2,Continuation of ternary reduction plus mean values and shell-density material,not checked,Generated page numbering resets; map to scan before repair.
62,89,Teil 3,Continuation of shell-density/potential material,not checked,Likely selected continuation only.
90,121,Teil 4,Gauss reciprocity proof; binary quadratic forms; positive determinant forms,not checked,Generated segment with its own table of contents.
122,148,Teil 5,Abel note; quadratic forms; hydrodynamics; Jacobi estate/news; Jacobi memorial start,not checked,Generated segment with its own table of contents.
149,171,Teil 6,Jacobi memorial / academy extract continuation,not checked,OCR visibly poor in places.
172,195,Teil 7,Hydrodynamics problem continuation,not checked,OCR visibly poor in places.
196,219,Teil 8,Kummer memorial and appendix/miscellany/correspondence lead-in,suspect,Contains at least one modern explanatory-looking Dirichlet-principle passage; verify every paragraph against scan.
220,241,Teil 9,Dirichlet-Kronecker correspondence and closing notes,not checked,Generated segment.
