asset_id	physical_page	authority_pdf_page	output_filename	bytes	sha256	corpus_presentation_path	inherited_presentation_sha256	canonical_override
P0002-A01	2	3	P0002-A01_presentation.png	258475	8F7DAA6FB60DBF0ECBF2816492DDE1FBC663F3DAF0A91D11DBE0773730C3D75A	assets/presentation_derivatives/P0002-A01_presentation.png	8F7DAA6FB60DBF0ECBF2816492DDE1FBC663F3DAF0A91D11DBE0773730C3D75A	none
P0003-A01	3	4	P0003-A01_presentation.png	398490	94893DBB39D0AF4D2806DC0AAC27AB414AD322D6A17BFDE85CFF8314D3589742	assets/presentation_derivatives/P0003-A01_presentation.png	94893DBB39D0AF4D2806DC0AAC27AB414AD322D6A17BFDE85CFF8314D3589742	none
P0003-A02	3	4	P0003-A02_presentation.png	531927	C3CF24E4FE1BCF9905E61F1BFFCAB33C8D6C3CACFB5BF4EBC1A77EF0D11C36DF	assets/presentation_derivatives/P0003-A02_presentation.png	C3CF24E4FE1BCF9905E61F1BFFCAB33C8D6C3CACFB5BF4EBC1A77EF0D11C36DF	none
P0004-A01	4	5	P0004-A01_presentation.png	921673	F4BC14513038E6E0AF389A914A256D88DC0AD04809376FBE29B2C2DBC1A2E7DD	assets/presentation_derivatives/P0004-A01_presentation.png	F4BC14513038E6E0AF389A914A256D88DC0AD04809376FBE29B2C2DBC1A2E7DD	none
P0004-A02	4	5	P0004-A02_presentation.png	692789	1FE7081D87DD82E4CA690185D523E8355D3516A1E8B54EB3FBC21EEC18A49C3C	assets/presentation_derivatives/P0004-A02_presentation.png	1FE7081D87DD82E4CA690185D523E8355D3516A1E8B54EB3FBC21EEC18A49C3C	none
P0005-A01	5	6	P0005-A01_presentation.png	702811	D1343807511840465D1DFE45BF5666E0388F3628FE99CE6F59129225C20519B4	assets/presentation_derivatives/P0005-A01_presentation.png	D1343807511840465D1DFE45BF5666E0388F3628FE99CE6F59129225C20519B4	none
P0005-A02	5	6	P0005-A02_presentation.png	571693	481B3DA3FBBA9B2835E3BABAB4DD501A90DF40B2C2198EAB913041407811C10B	assets/presentation_derivatives/P0005-A02_presentation.png	481B3DA3FBBA9B2835E3BABAB4DD501A90DF40B2C2198EAB913041407811C10B	none
P0005-A03	5	6	P0005-A03_presentation.png	391297	068191329D81EA3785CE8E427DC6552D5FD6FD9F5BAA9D5A82BB7704DD7628E6	assets/presentation_derivatives/P0005-A03_presentation.png	068191329D81EA3785CE8E427DC6552D5FD6FD9F5BAA9D5A82BB7704DD7628E6	none
P0006-A01	6	7	P0006-A01_presentation.png	535510	4F2AA88FBE61392C2E6F1F9B18D39EFD5ACEBDEB6288C26AAAED5767ED56689B	assets/presentation_derivatives/P0006-A01_presentation.png	4F2AA88FBE61392C2E6F1F9B18D39EFD5ACEBDEB6288C26AAAED5767ED56689B	none
P0006-A02	6	7	P0006-A02_presentation.png	1232896	478FE6700B996327389FC38D7AD3863059E38A655FCFFC1D121C97A58151B7BD	assets/presentation_derivatives/P0006-A02_presentation.png	478FE6700B996327389FC38D7AD3863059E38A655FCFFC1D121C97A58151B7BD	none
P0007-A01	7	8	P0007-A01_presentation.png	1104454	97BFA86B39398E766F65416F2A3D51143E3730B7C40F023E4A329CCB92662D75	assets/presentation_derivatives/P0007-A01_presentation.png	97BFA86B39398E766F65416F2A3D51143E3730B7C40F023E4A329CCB92662D75	none
P0007-A02	7	8	P0007-A02_presentation.png	474666	8B3B9D329B6AAC75ABE9304BF0CE8DE6F56521AF293EFB2B1709FE0936CC18D1	assets/presentation_derivatives/P0007-A02_presentation.png	8B3B9D329B6AAC75ABE9304BF0CE8DE6F56521AF293EFB2B1709FE0936CC18D1	none
P0008-A01	8	9	P0008-A01_presentation.png	1021348	425515EF55E40B62C3DE4FCE505487550FBF472A2AE97C229828D05D3B3E568C	assets/presentation_derivatives/P0008-A01_presentation.png	425515EF55E40B62C3DE4FCE505487550FBF472A2AE97C229828D05D3B3E568C	none
P0008-A02	8	9	P0008-A02_presentation.png	968642	8F57A8CB7551CCFFFAA9F4DE7397618353F4B75D2C27A35B32BA7DF41A2EFD1C	assets/presentation_derivatives/P0008-A02_presentation.png	8F57A8CB7551CCFFFAA9F4DE7397618353F4B75D2C27A35B32BA7DF41A2EFD1C	none
P0009-A01	9	10	P0009-A01_presentation.png	836527	1CA563D782D5E622C047771ED020FBA5239BE6F28EA432D11465D938112B5A1F	assets/presentation_derivatives/P0009-A01_presentation.png	1CA563D782D5E622C047771ED020FBA5239BE6F28EA432D11465D938112B5A1F	none
