authority_pdf_page	source_volume_page	paper_folio	unique_printed_page	prompt_id	work_disposition	capture_disposition	section_or_boundary_marker	raster_geometry	image_fallback_rule	copy_matter_exclusion
1	245	245	245	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	opening title/byline/table of contents/introduction/Griffiths NSF footnote	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
2	246	246	246	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
3	247	247	247	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
4	248	248	248	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 1. Homotopy Theory of Differential Algebras	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
5	249	249	249	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
6	250	250	250	P01	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
7	251	251	251	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
8	252	252	252	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
9	253	253	253	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	continuation of current section	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
10	254	254	254	P02	INCLUDE_AUTHORITY_PAGE	ONE_FULL_PRINTED_PAGE_TRANSCRIBE_ONCE	Section 2. De Rham Homotopy Theory	1710x2580_1BIT_DEVICEGRAY_CCITT	RAW_CROP_ONLY_WHEN_SEMANTIC_REPLAY_IS_UNSAFE_AND_PAIR_WITH_DERIVATIVE	DO_NOT_TRANSCRIBE_RUNNING_HEADER_FOLIO_COPYRIGHT_OR_BLANK_REMAINDER_AS_BODY
