item,tex/source form,Spanish policy,Japanese policy,notes
K field,\Kfield = \mathfrak{K},cuerpo / campo according to context,体,function field/body
system,\Ssys = \mathfrak{S},sistema,系,
integrality domain,\Jdom = \mathfrak{J},dominio íntegro,整域,
relatively integral domain,\Gdom = \mathfrak{G},dominio relativamente entero,相対的整領域,Paper 06 §§9-15
linear family,\Lsys = \mathfrak{L},familia lineal,線形族,
finite group,\Hgrp = \mathfrak{H},grupo finito \mathfrak{H},有限群 \mathfrak{H},Paper 07
Galois resolvent,\Phi(z\,u),resolvente de Galois,Galois resolvent,Paper 07
linear families,\mathcal L \mathcal S \mathcal T,familias lineales,線形族,Paper 08
operator symbols,\Omega \nabla \Delta,preserve in formulas,数式で保持,Paper 08
algebraic integers,[\Omega],enteros de [Ω],[Ω] の整数,Paper 06 §§14-15
unit epsilon,R_0=\eps,unidad; R_0=\varepsilon,単元; R_0=\varepsilon,keep macro if present
colon quotient,F(x):G(x),preserve colon quotient,コロン商を保持,do not silently convert to fraction
Lüroth,Lüroth,Lüroth,Lüroth,retain diacritic
Clebsch--Gordan,Clebsch--Gordan,Clebsch--Gordan,Clebsch--Gordan,retain en dash/double hyphen in TeX source
Gattungsbereich,\emph{Gattungsbereich},retain italic German term,イタリックのドイツ語として保持,historical named concept
source anomaly,A_\tau(G_i(x)),preserve and audit,保持して監査に記録,Paper 06 §11 formula (6)
source abbreviation,in inf.,preserve,保持,Paper 06 §12 example
Paper09 domains,"\mathfrak G, \mathfrak H, \mathfrak M, \mathfrak L, \mathfrak R","preserve Fraktur; translate surrounding term, not symbol",Frakturは保持し周囲語を訳す,Paper09
basis symbols,"H, \eta, \xi, \vartheta, \Theta",preserve basis symbols,基底記号を保持,Paper09
root/index notation,"\sqrt[\nu]{}, \sqrt[\sigma]{}",preserve indexed roots,指数付き根号を保持,Paper09
congruence notation,"\pmod{...}, \operatorname{mod}",preserve TeX congruence layout,合同式レイアウトを保持,Paper09
old infinity phrase,in inf.,preserve when source/control uses it; note as historical abbreviation,原文/対照が用いる場合は保持,Paper09 source-control anomaly/preservation
rational basis set,\Theta,Theta / base racional \Theta,有理基底 \Theta,Paper 10 uses \Theta for rational basis.
basis element,\vartheta,\vartheta; número de base,\vartheta; 基底数,Keep glyph in formulas; translate prose term.
segment field,\mathfrak{K}(\vartheta),cuerpo de segmento \mathfrak{K}(\vartheta),切片体 \mathfrak{K}(\vartheta),Important Paper 10 construction.
algebraic basis element,"\eta, \zeta","\eta, \zeta","\eta, \zeta",Preserve symbols; avoid romanization.
complex conjugate,\overline z / \bar z,\overline z,\overline z,Use robust \overline in translations.
plus-minus and minus-plus,"\pm, \mp","\pm, \mp","\pm, \mp",Maintain source sign pairing in Paper 10 §4.
real/imaginary image components,"X,Y; \mathfrak{X}, \mathfrak{Y}","X,Y; \mathfrak{Y}","X,Y; \mathfrak{Y}",Use mathfrak Y where source emphasizes a real value.
determinant rank test,\begin{vmatrix}...\end{vmatrix},editable determinant,編集可能な行列式,"Use scan-corrected row layout: x-row, y-row, X-row, Y-row."
\Omega_\Gamma,Preserved as group invariant field symbol,Used instead of OCR variants such as mathfrak B_r.
\lambda_i,Preserved as lowercase lambda parameters,Source scan uses lowercase lambda; OCR sometimes converted to uppercase Lambda.
\sigma_i(x),Preserved for elementary symmetric functions,Corrects OCR variants with theta.
Formula (11) G'_k/H_k then G_k in multiplied form,Preserved and audited,Source scan visibly has G'_k in the fraction and G_k after multiplication.
Affekt / affektlos,Term retained in methodology,Spanish uses afecto; Japanese keeps Affekt.
Tschirnhaus reduction footnote,Rendered as editable TeX,Includes y=x a_2/a_3 and repeated coefficient a_2^3/a_3^2 as in scan.
\bdelta=\bar{\delta},bar-delta variation process,mantener como TeX; distinguir de \delta,TeXのまま保持し通常の \delta と区別,Formula-sensitive.
"f_\delta, f_{\delta^\sigma}",polar notation,no expandir silenciosamente,無断で展開しない,Paper12 formulas (2)--(4).
\Omega_\rho,normal variation invariant,"mantener \Omega_
ho","\Omega_
ho を保持",Fundamental forms/functions.
[\Omega_\rho^{(\nu)}],covariant derivative family,mantener corchetes,角括弧を保持,Array (8).
\varphi_\rho^{(i)},normal-coordinate expansion coefficient,mantener índices,添字を保持,Formula (10)--(12).
\Psi_\rho,resulting fundamental functions,mantener \Psi,\Psi を保持,Reduction proof.
"p,q,r,\ldots",cogredient replacements for higher differentials,mantener lista simbólica,記号列を保持,Not variables to rename.
\dd,upright differential in variational integrals,Preserve as editable macro; render as roman d.
\Div,divergence operator,"Preserve as operator, do not translate inside formulas."
"\G, \G_\rho, \G_{\infty\rho}",Lie transformation groups,Use same group symbol in ES/JA.
\bd,barred variation,Keep as barred delta; do not replace with plain \delta.
\p,partial derivative shorthand,Macro expands to \partial; used to keep dense formulas editable.
numbered formulas (1)--(20b),core variational identities and conservation-law formulas,Preserve numbering and editable display math.
"prime notation u', u''",derivatives in one-variable examples,Keep prime notation; avoid Greek-nu substitution.
partial derivative macro,\p,preserve as \partial where macro unsupported,\partial として保持; 未定義時は macro block を挿入,Paper14 uses \p for partial derivatives in source-local support
