source_term,spanish,japanese,note
Diskriminantensatz,teorema del discriminante,判別式定理,Spanish uses masculine discriminante; title and theorem wording standardized.
Ordnung,orden,オーダー,Finite order in algebraic number/function field context; avoids group-order ambiguity.
Hauptordnung,orden principal,主オーダー,Principal/maximal order context.
Körperdiskriminante,discriminante del cuerpo,体の判別式,"Discriminant of the field, not of an order."
Restklassenring,anillo de clases residuales,剰余類環,Consistent with Papers 24--30.
Restklassenkörper,cuerpo residual,剰余体,Residue field modulo prime ideal.
vollständig reduzibel,completamente reducible,完全可約,"Use reducible/reducibilidad, not reductive."
erste/zweite Art,primera/segunda especie,第一種/第二種,Aligned with Steinitz finite-extension terminology.
Erweiterungsring,anillo de extensión,拡大環,Ring obtained by adjunction.
Diskriminantenideal,ideal discriminante,判別イデアル,Ideal generated by discriminant determinants.
Multiplikationsring,anillo de multiplicación,乗法環,Paper 31 §8 generalization.
Quotientenring,anillo de cocientes,商環,Localization/quotient-ring context.
Ringe endlichen Ranges,anillos de rango finito,有限階数の環,Hypercomplex/ring of finite rank over coefficient field.
Kompositionsreihe,serie de composición,組成列,Ramification exponent interpretation.
