decision_id,german_term_or_delta,chosen_english,alternative_rejected,evidence_class,motivation,uncertainty,status
N04-S02-T01,Matrizenprodukt,matrix product,matrix pairing,editorial_inference,"Preserves the defined historical term while the displayed vertical bar distinguishes it from ordinary multiplication","Not ordinary matrix multiplication",applied
N04-S02-T02,invariante Bildung,invariant construction,invariant formation,editorial_inference,"Maintains the Paper 4 Introduction and section 1 normalization","Historical specialist wording remains reviewable",applied
N04-S02-T03,explizite Darstellung,explicit representation,explicit presentation,editorial_inference,"Matches the source's contrast with determinant representation","No material uncertainty",applied
N04-S02-T04,Faltungsprozeß,contraction operation,folding process,editorial_inference,"Contraction is the mathematically informative project normalization","Historical wording is disclosed by this ledger",applied
N04-S02-T05,Differentiationsprozeß,differentiation operation,differentiating process,editorial_inference,"Parallel noun phrase with contraction operation","No material uncertainty",applied
N04-S02-T06,Reihe,row,array,source_fact_plus_editorial_inference,"Continues the paper's variable-row and symbol-row vocabulary","Context can distinguish row objects from matrix rows",applied
N04-S02-T07,Defekt der Faltung,defect of the contraction,contraction deficit,editorial_inference,"Preserves the technical noun while normalizing Faltung as contraction","External historical-English review remains possible",applied
N04-S02-T08,Produktsatz,product theorem,multiplication theorem,editorial_inference,"Consistent with the preceding section's theorem label","No material uncertainty",applied
N04-S02-A01,R823 duplicated lambda-range note,retain once at formula 7,repeat after formula 8,source_fact_plus_adverse_delta,"Original p126 carries one note only","None for target body",applied
N04-S02-A02,R823 sigma>tau,restore sigma>=tau from print,retain strict inequality,source_fact_plus_adverse_delta,"Original p126 clearly retains the equality stroke","Other language descendants may still need repair",applied
N04-S02-A03,formula 11 mixed operators,preserve one matrix product and one ordinary product,convert both to matrix products,source_fact,"Original p127 confirms unlike operators","Specialist interpretation may warrant a note but not a source change",applied
N04-S02-A04,section boundary,end after sufficiency paragraph on p128,end on p127,source_fact,"Original p128 contains the last section 2 paragraph before section 3","None",applied
