unit_id,german_authority_coordinates,printed_pages,content,status,evidence_class,notes
N04-S02-001,R823 3644-3645,124-125,section heading matrix-product definition and corresponding-matrices theorem,checked,source_fact,"Row counts three row-formation cases rho range and first note checked"
N04-S02-002,R823 3647,125,Theorem I and prescribed-ground-form note,checked,source_fact,"The theorem and qualification are both represented"
N04-S02-003,R823 3649-3651,125-126,explicit representation and contraction-process setup,checked,source_fact,"Introduction and section 6 references retained"
N04-S02-004,R823 3652-3690,126,formulas 7-8 determinant expansion index interpretation and defect definition,checked,source_fact_plus_adverse_delta,"Print has the lambda-range note once and sigma>=tau; R823 duplicates the note and gives sigma>tau; target follows print and discloses both deltas"
N04-S02-005,R823 3692-3699,126-127,formula 9 and corresponding rows Q and P,checked,source_fact,"Superscripts subscripts equivalence signs and brackets checked"
N04-S02-006,R823 3700-3705,127,formula 10 fourfold symbolic representation,checked,source_fact,"Sign exponent lambda(n-lambda) and matrix-product order checked"
N04-S02-007,R823 3706-3712,127,formula 11 and further substitution,checked,source_fact,"Print confirms one matrix product followed by one ordinary product"
N04-S02-008,R823 3714-3720,127,formula 12 and Study note,checked,source_fact,"Zero relation lambda range and note are represented"
N04-S02-009,R823 3721-3726,127,proof of formula 12 and contraction consequence,checked,source_fact,"Product-theorem display row count and normalized-form conclusion checked"
N04-S02-010,R823 3728,128,sufficiency paragraph,checked,source_fact,"Original p128 confirms the section-closing paragraph"
N04-S02-011,R823 3730 excluded,128,next section boundary,checked,source_fact,"Section 3 starts after the closing paragraph; line 3729 is spacing only"
