action_id,candidate_id,source_relpath,source_line,source_column,source_offset,source_end_offset,visible_tex,replacement_visible_tex,target_label,target_id,action_kind,moving_argument_safe,resolution_basis,baseline_file_sha256,successor_file_sha256,source_span_sha256,replacement_tex,replacement_sha256,disposition
ega4.reference-action.sha256.a800b24ebdc2d2584227612ab76b783531c170fb969683831e49b94a5a8f5e12,ega4.reference.candidate.sha256.4411df6a5c10af83bb600dd4368942b9948182717990563a19c5cacbcde2effd,components/02_section42_associated_prime_cycles.tex,128,34,3668,3694,\hyperref[IV.4.2.4.i]{(i)},(i),IV.4.2.4.i,ega4.c04.sec.4-2-4-i,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,D1F3904C55B68A2F23BB0EF284C697045D322AFECB7A9C80C9E65B57FBF89450,{\hyperlink{ega4.c04.sec.4-2-4-i}{(i)}},CC8F51A4688DA6217298CEA4C2174F05EF8C4391CF79500CE175FE3BEB9260EA,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.d02bfe65738e4ae78e0e1ed95393848d8d4c5d50065f6d5c93f8d5eedba2bf4f,ega4.reference.candidate.sha256.ac18290a980de3099415c61a1ed7294ee829c59a45c804e311ed0137d4711fe3,components/02_section42_associated_prime_cycles.tex,184,11,5232,5262,\hyperref[IV.4.2.4.iii]{(iii)},(iii),IV.4.2.4.iii,ega4.c04.sec.4-2-4-iii,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,C61CC3082051A81F9CEDCE62424776BB898E2CF5387A4C9DAB9F523C00E51A2A,{\hyperlink{ega4.c04.sec.4-2-4-iii}{(iii)}},64545CDEF4B19A9390467EBC19272BF91A3C33476C645451D66F3E336F111855,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.b04fbbcb4f26c20da4daddcde56d49d3db412b8751aef0d0f0d5416bbdd94e15,ega4.reference.candidate.sha256.fcd13ee0855c80826bd3c06755898ac7db202247ea985309c14b8230ab841d95,components/02_section42_associated_prime_cycles.tex,186,1,5313,5339,\hyperref[IV.4.2.4.i]{(i)},(i),IV.4.2.4.i,ega4.c04.sec.4-2-4-i,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,D1F3904C55B68A2F23BB0EF284C697045D322AFECB7A9C80C9E65B57FBF89450,{\hyperlink{ega4.c04.sec.4-2-4-i}{(i)}},CC8F51A4688DA6217298CEA4C2174F05EF8C4391CF79500CE175FE3BEB9260EA,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.5d9ddb2c2c2e3f38cd9aa05c8aecd051a9724b1ec3789366ca0ebba3ec983ffd,ega4.reference.candidate.sha256.32e68bf8bc80aaddac8cf079ac9f65bd73f367fbe37e4719e84a5485585f455d,components/02_section42_associated_prime_cycles.tex,186,32,5344,5372,\hyperref[IV.4.2.4.ii]{(ii)},(ii),IV.4.2.4.ii,ega4.c04.sec.4-2-4-ii,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,657F22A318FCFBCA8E7E532DB08FB58E94CD22F6E96392E6600B85A8E3BE1124,{\hyperlink{ega4.c04.sec.4-2-4-ii}{(ii)}},BA482165A9419B12ED2DF12CDA4A38464945CBEB272698454F34614CF6F7BEDC,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.cc15fea1e8cb79eaebb6a866aa9d4e5ceac673fd0ec53786b85a7d1e5b4b335f,ega4.reference.candidate.sha256.c3a26e8db90a17742091c19449e996a8d8a585d9e46e55e6560614e9d737e7a3,components/02_section42_associated_prime_cycles.tex,188,10,5384,5412,\hyperref[IV.4.2.4.ii]{(ii)},(ii),IV.4.2.4.ii,ega4.c04.sec.4-2-4-ii,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,657F22A318FCFBCA8E7E532DB08FB58E94CD22F6E96392E6600B85A8E3BE1124,{\hyperlink{ega4.c04.sec.4-2-4-ii}{(ii)}},BA482165A9419B12ED2DF12CDA4A38464945CBEB272698454F34614CF6F7BEDC,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.b94b068a24e780c8e778dec966b34606060b7239c6f96177716d64c186e6498a,ega4.reference.candidate.sha256.4a0a4b3f2f4893a8f1405401077d6a15b05fc5b7f19fc7c3097adcee30438d25,components/02_section42_associated_prime_cycles.tex,202,11,5630,5656,\hyperref[IV.4.2.4.i]{(i)},(i),IV.4.2.4.i,ega4.c04.sec.4-2-4-i,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,D1F3904C55B68A2F23BB0EF284C697045D322AFECB7A9C80C9E65B57FBF89450,{\hyperlink{ega4.c04.sec.4-2-4-i}{(i)}},CC8F51A4688DA6217298CEA4C2174F05EF8C4391CF79500CE175FE3BEB9260EA,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.9d199d54bd602cb214369fa83871cdeed4d500fc9cceabf601090e855d65840e,ega4.reference.candidate.sha256.e1e854addee081c9fca80b6fc9b1e9dc5ecfbd95d312d5806ba84b61b3d0a72e,components/02_section42_associated_prime_cycles.tex,337,11,10338,10364,\hyperref[IV.4.2.7.i]{(i)},(i),IV.4.2.7.i,ega4.c04.sec.4-2-7-i,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,E4793B335B2BCFC7E0D5E2C647A2AADFBBEC3F310B8A15C6EE629A2971B177E8,{\hyperlink{ega4.c04.sec.4-2-7-i}{(i)}},9E61187EEC689FBC29BAF6AF5E2DACFD050F90F5445CFA994C5435091DEB97CD,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.484348cfd743fb0253906bd20a47fe6aafc9b4692d36b507297fd924e6c2924b,ega4.reference.candidate.sha256.b9dc53fdd2f378db81595f5585bdf2ae299f438befc54edcee115afef045f08e,components/02_section42_associated_prime_cycles.tex,340,12,10478,10506,\hyperref[IV.4.2.7.ii]{(ii)},(ii),IV.4.2.7.ii,ega4.c04.sec.4-2-7-ii,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,AEB6C2FB8560B2294575777EBA1CB7BA136DCA8F0E76610B4F01594E9BBDB670,{\hyperlink{ega4.c04.sec.4-2-7-ii}{(ii)}},D696CD087B6F582E24FB7FBFC52ACA8BA0562156CE27563EBE2E859EB510B16B,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.8128ad23b61f56db50db8b801b80b23d7c4ce4ea3f99e25b66dab6ff8b757302,ega4.reference.candidate.sha256.2c6eaaa09850d32b3b612d341441827991f8576a47831a408d9c3c8233e129dc,components/02_section42_associated_prime_cycles.tex,341,1,10511,10541,\hyperref[IV.4.2.7.iii]{(iii)},(iii),IV.4.2.7.iii,ega4.c04.sec.4-2-7-iii,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,B473D37E0E450EA9BBF6046626307EB31CCC77C2D5A3FE9D03EC2B70FC5282A8,{\hyperlink{ega4.c04.sec.4-2-7-iii}{(iii)}},C319CA6229D8B77AB719FFCF5BA1FB3B1947575AF1F6AE529A390B9E76B456C8,APPLIED_REFERENCE_V2_LINK
ega4.reference-action.sha256.899e84c98650a95c53645bbc0f9240a3d310cc904287dec2618fade0233f0832,ega4.reference.candidate.sha256.942c985942516fa50997688a4eb6af6536792d66000995387852e4a61eb93d94,components/02_section42_associated_prime_cycles.tex,342,1,10554,10580,\hyperref[IV.4.2.7.i]{(i)},(i),IV.4.2.7.i,ega4.c04.sec.4-2-7-i,REPLACE_EXISTING_HYPERREF_WITH_STABLE_HYPERLINK,false,existing exact same-reader link retargeted to its stable named destination,BACFAF5DFA29F8449FE72F3D0568D5E2C9C94EBBE26EBB9559852DF35E065DE7,F67C4706783D822FE79FD51074C3B189140B98E1BC27732158EE6ED350545682,E4793B335B2BCFC7E0D5E2C647A2AADFBBEC3F310B8A15C6EE629A2971B177E8,{\hyperlink{ega4.c04.sec.4-2-7-i}{(i)}},9E61187EEC689FBC29BAF6AF5E2DACFD050F90F5445CFA994C5435091DEB97CD,APPLIED_REFERENCE_V2_LINK
