action_id,source_relpath,action_kind,locator,latex_label,baseline_offset,baseline_line,baseline_column,insertion_text,baseline_file_sha256,successor_file_sha256,baseline_context_sha256,baseline_context,disposition
ega4.structural-target.sha256.75d2909d6ce0bfeda58c9149c68b12c4939064d3e127536fc6f365e07743185b,components/05_section45_geometric_irreducibility_connectedness.tex,tag_label_before_tag,4.5.19.2,IV.4.5.19.2,21878,685,1,"\label{IV.4.5.19.2}
",FFF6F04DDAE67AD9CA833DD22DBF9EDF278DCD8476D7DF6517B9E63D24915B51,80D40B4CC63D61E3698F23F19A1BF82A01EF8D18FFB9B690C43A19317208D303,2A3704ED1D9DB07E320566C5EF77188770E7D912D5D311E0253A469D643DA226,"ef{IV.4.4.5}, are equal. The relevant morphisms form the commutative diagram \[ \tag{4.5.19.2} \xymatrix@C=3.2em@R=3.0em{ X\ar[d]   & X'\ar[l]_-p\ar[d]   & X''\ar@<.55ex>[l]^-{p_2}\ar@<-.55ex>[l]_-{p_",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.7b287bc49a7de21da8aa06f9a65cc860250f85be4873e192189594d66beb797c,ega4-1.source_aligned_r1.tex,tag_label_before_tag,1.2.4.1,IV.1.2.4.1,10826,193,1,"\label{IV.1.2.4.1}
",5C07FF967C37694F57624ED29B96311477411B102961AB679A0E795760E8BE25,D06CBF8513E1012B236BFED778BCFB434DD66DF672D180BADA2C1D0F7AC1D850,C348AB141CC19939FCFB6B2ED4F67D712E48E54FE3B38F21D5D113DB585D08E5,"} & X\times_Z Y \ar[d]^-{f\times 1_Y} \\   Y \ar[r]_-{\Delta_g} & Y\times_Z Y } \tag{1.2.4.1} \] which identifies $X$ with the product, as $(Y\times_Z Y)$-preschemes, of $Y$ and $X\times_Z Y$~\sref[I]",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.23e66194e22921ae76f118999e7581d6491a91305b1b8cfac5b17a504989950e,source_aligned/ega4-11.tex,bold_structural_anchor_before_heading,11.1.1.1,IV.11.1.1.1,1032,20,1,"\phantomsection\label{IV.11.1.1.1}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,6D495FF3D81C1E2B6A4FA26A5FE1B3D1B34F3AE6194EB3D7DC576E9482CA510B,"I}},~9.2.6)$: it suffices therefore to prove the following assertion:  \medskip \noindent\textbf{(11.1.1.1)} \emph{Let $\mathrm{A}$ be a Noetherian ring, $\mathrm{B}$ an $\mathrm{A}$-algebra of finite",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.743ba0dd7d727a8a25275fd0a6ebfd9aff3ca1b867a1a945142f1c591c8ca7bb,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.1.1,IV.11.2.1.1,13243,251,3,"\label{IV.11.2.1.1}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,8581C3E66EA6CCC7D9EDDBEE4C3FA5AD9A561F43204A918CAE2E9FD8671C93EE,"{M},\mathrm{N})\to\operatorname{Tor}_i^{\mathrm{A}'}(\mathrm{M}',\mathrm{N}')   \tag{11.2.1.1} \end{equation} in the following way: one considers a left resolution of $\mathrm{M}$ by free A-modules \b",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.ff8eaa36cb350de6e162ce0c31eae456dde9f9fe602aa8992b6dee2a7e7ab20a,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.1.2,IV.11.2.1.2,13549,256,3,"\label{IV.11.2.1.2}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,30B4DB1A53C6A2D41B6DE72BBA4A7A388771185B343B7110FC714F480ABED10E,ongrightarrow\mathrm{L}_0\xrightarrow{\varepsilon}\mathrm{M}\longrightarrow 0   \tag{11.2.1.2} \end{equation} whence one deduces by tensoring with $\mathrm{A}'$ a complex of $\mathrm{A}'$-modules \beg,APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.69ceeaf22294b72de454a1208579f524544fc7c60660342fb4ad4668d138f110,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.1.3,IV.11.2.1.3,13859,261,3,"\label{IV.11.2.1.3}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,812802DEB8317428F08FAA72BB618DB90345314AA850BF1C18958C1490DB27A2,"rightarrow\mathrm{L}'_0\xrightarrow{\varepsilon'}\mathrm{M}'\longrightarrow 0   \tag{11.2.1.3} \end{equation} where we have set $\mathrm{L}'_i=\mathrm{L}_i\otimes_\mathrm{A}\mathrm{A}'$, $f'_i=f_i\oti",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.73f4748d796152e275b1f862923ac448f6f801c0e7c3735249c6bb7375176b77,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.1.4,IV.11.2.1.4,14343,266,3,"\label{IV.11.2.1.4}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,2CD049F160FC327D1198BCBCB098333A2EE9A8DE021A3C24AA0E0C7B47AC0926,"ghtarrow\mathrm{L}''_0\xrightarrow{\varepsilon''}\mathrm{M}'\longrightarrow 0   \tag{11.2.1.4} \end{equation} \end{env}  \oldpage[IV-3]{120}  As the $\mathrm{L}'_i$ are free $\mathrm{A}'$-modules, we ",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.06477d737ab15fdb6a1ebb106aa6c084dd4204c3049b52e260ce056a548248bf,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.1.5,IV.11.2.1.5,16224,305,3,"\label{IV.11.2.1.5}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,D8E50399F63798BA0211F1CD70757FB3DC8A95D105C3D772AA60AA74C3EB8CEE,"{A}\mathrm{A}'\to\operatorname{Tor}_i^{\mathrm{A}'}(\mathrm{M}',\mathrm{N}').   \tag{11.2.1.5} \end{equation}  Consider now two ring homomorphisms \[   \rho:\mathrm{A}\to\mathrm{A}^{(1)},\quad \sigma:",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.b4e18988060f49f4719db9c6d406be3876264c7504c50dce08bcd2031180803f,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.2.1,IV.11.2.2.1,18775,365,3,"\label{IV.11.2.2.1}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,265610CAB57E9F2106F22B0AB5804B2880CAE71F84BF7A7931336E730D28A420,"thrm{N}_\alpha)\to\operatorname{Tor}_i^{\mathrm{A}'}(\mathrm{M}',\mathrm{N}')   \tag{11.2.2.1} \end{equation} are \emph{isomorphisms of $\mathrm{A}'$-modules}. To this end, we proceed as in $(\mathrm{",APPLIED_INVISIBLE_STRUCTURAL_TARGET
ega4.structural-target.sha256.c6f3c7044a4979b3ac4c43b4bc5ae3968ff630b4cb1d9d77529c09a4238fe07d,source_aligned/ega4-11.tex,tag_label_before_tag,11.2.3.1,IV.11.2.3.1,22231,438,3,"\label{IV.11.2.3.1}
",DDA25C13DBB0F6854A132073CE785103B7EBEF10525F73EA9C2622ED239AE32A,81A69283A934125854735C94C67B7AA78AD04136508C5F6C765D776B5CA3E081,127DBC6AA7AC80D9B4C5D3B49F29C361ED9DE378C0F1047C7A83FFC6D536D637,"}_0\otimes_\mathrm{A}\mathrm{N}\to\mathrm{M}\otimes_\mathrm{A}\mathrm{N}\to 0   \tag{11.2.3.1} \end{equation} \begin{equation}   0=\operatorname{Tor}_1^{\mathrm{A}'}(\mathrm{L}''_0,\mathrm{N}')\to\mat",APPLIED_INVISIBLE_STRUCTURAL_TARGET
