candidate_id,pattern_kind,source_relpath,source_line,source_column,source_offset,source_end_offset,visible_tex,normalized_visible,locator_token,volume_hint,target_label,target_id,baseline_pdf_destination,candidate_target_count,candidate_target_labels,classification,disposition,resolution_basis,source_sha256,source_span_sha256,context
ega4.reference.candidate.sha256.41ae3d618a9c9a6ae759b27a426977c048b2f6351d7087f0c930b782dd83371c,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,27,17,964,980,\sref{IV.5.2.2} ,\sref{IV.5.2.2},5.2.2,IV,IV.5.2.2,ega4.c04.cor.5-2-2,section*.333,1,IV.5.2.2,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,49FCE8E4FB6733795300CEBE6B1D0B6761CC8AD0FC20E99864CAE513FDC98D22,"ype over $k$. The \emph{dimension} of $X$ is the number \begin{equation} \dim(X)=\sup_x\operatorname{tr.deg}_k\kappa(x), \tag{4.1.1.1} \label{IV.4.1.1.1} \end{equation} where $x$ runs through the set of maximal points of $X$. \end{definition} We shall see in \sref{IV.5.2.2} that Definition \sref{IV.4.1.1} depends only apparently on the base field $k$ over which $X$ is locally of finite type, and that the number $\dim(X)$ so defined agrees with the dimension of the underlying space of $X$ \sref[0]{0.14.1.2}. Evidently, \[ \dim(X)="
ega4.reference.candidate.sha256.23f916c94c389b34bcd64eeb77bd3772c7c5b92ee0d5ebca54ea23d295744068,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,27,49,996,1012,\sref{IV.4.1.1} ,\sref{IV.4.1.1},4.1.1,IV,IV.4.1.1,ega4.c04.def.4-1-1,section*.84,1,IV.4.1.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,8522C60828151FA8747BD27D970567D58F8CEE45E52920098F64CA015930B905,"n} of $X$ is the number \begin{equation} \dim(X)=\sup_x\operatorname{tr.deg}_k\kappa(x), \tag{4.1.1.1} \label{IV.4.1.1.1} \end{equation} where $x$ runs through the set of maximal points of $X$. \end{definition} We shall see in \sref{IV.5.2.2} that Definition \sref{IV.4.1.1} depends only apparently on the base field $k$ over which $X$ is locally of finite type, and that the number $\dim(X)$ so defined agrees with the dimension of the underlying space of $X$ \sref[0]{0.14.1.2}. Evidently, \[ \dim(X)=\dim(X_{\mathrm{red}}). \] Each"
ega4.reference.candidate.sha256.28dda3cedcbba1789f6f98a7a08f9d7534d82c0f8da8f6721dc8023e938a3133,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,27,251,1198,1216,\sref[0]{0.14.1.2},\sref[0]{0.14.1.2},0.14.1.2,0,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,E0D85D633F5C61454D47D4EE14D2518D289666C21474A20F79B6306026BB52DE,"inition} We shall see in \sref{IV.5.2.2} that Definition \sref{IV.4.1.1} depends only apparently on the base field $k$ over which $X$ is locally of finite type, and that the number $\dim(X)$ so defined agrees with the dimension of the underlying space of $X$ \sref[0]{0.14.1.2}. Evidently, \[ \dim(X)=\dim(X_{\mathrm{red}}). \] Each $\kappa(x)$ is an extension of finite type of $k$ \sref[I]{I.6.3.3}, hence has finite transcendence degree over $k$. If $X$ is of finite type over $k$ and nonempty, it is Noetherian \sref[I]{I.6.3.7}, he"
ega4.reference.candidate.sha256.3d5372ac152f3b94583778cfdad47d7d192fb10e5b54464855ff4d26d9371bf2,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,33,56,1323,1340,\sref[I]{I.6.3.3},\sref[I]{I.6.3.3},6.3.3,I,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,992B003E3CBDCADD27776B38181DF7852E22D437FA9BCB117EE924018F96D456,"which $X$ is locally of finite type, and that the number $\dim(X)$ so defined agrees with the dimension of the underlying space of $X$ \sref[0]{0.14.1.2}. Evidently, \[ \dim(X)=\dim(X_{\mathrm{red}}). \] Each $\kappa(x)$ is an extension of finite type of $k$ \sref[I]{I.6.3.3}, hence has finite transcendence degree over $k$. If $X$ is of finite type over $k$ and nonempty, it is Noetherian \sref[I]{I.6.3.7}, hence has only finitely many irreducible components; consequently $\dim(X)$ is finite and nonnegative. Definition \sref{IV.4.1"
ega4.reference.candidate.sha256.9500e70253f41997ab6fd964ee59bd54e4fe69d3967b2eaa70baf6823dc1eb26,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,34,66,1455,1472,\sref[I]{I.6.3.7},\sref[I]{I.6.3.7},6.3.7,I,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,CF8F5A4CF4295F134C02E9C106E8E33D4A6A718F28AA81B825365DAE28F930A3,"X$ \sref[0]{0.14.1.2}. Evidently, \[ \dim(X)=\dim(X_{\mathrm{red}}). \] Each $\kappa(x)$ is an extension of finite type of $k$ \sref[I]{I.6.3.3}, hence has finite transcendence degree over $k$. If $X$ is of finite type over $k$ and nonempty, it is Noetherian \sref[I]{I.6.3.7}, hence has only finitely many irreducible components; consequently $\dim(X)$ is finite and nonnegative. Definition \sref{IV.4.1.1} gives \[ \dim(\emptyset)=-\infty. \] If $(X_\alpha)$ denotes the family of reduced closed sub-preschemes of $X$ whose underlyin"
ega4.reference.candidate.sha256.d8b429e11a4f9c7a5586f46c91433ada62609fd4f580b5311485422be1746c1a,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,35,12,1588,1604,\sref{IV.4.1.1} ,\sref{IV.4.1.1},4.1.1,IV,IV.4.1.1,ega4.c04.def.4-1-1,section*.84,1,IV.4.1.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,8522C60828151FA8747BD27D970567D58F8CEE45E52920098F64CA015930B905,"[I]{I.6.3.3}, hence has finite transcendence degree over $k$. If $X$ is of finite type over $k$ and nonempty, it is Noetherian \sref[I]{I.6.3.7}, hence has only finitely many irreducible components; consequently $\dim(X)$ is finite and nonnegative. Definition \sref{IV.4.1.1} gives \[ \dim(\emptyset)=-\infty. \] If $(X_\alpha)$ denotes the family of reduced closed sub-preschemes of $X$ whose underlying spaces are the irreducible components of $X$ \sref[I]{I.5.2.1}, then clearly \begin{equation} \dim(X)=\sup_\alpha\dim(X_\alpha). \"
ega4.reference.candidate.sha256.92d06c44ee18f80f28aaafe40ff12f5f39004707aea3c63689f17656a16fe9c6,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,40,138,1779,1796,\sref[I]{I.5.2.1},\sref[I]{I.5.2.1},5.2.1,I,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,47F0D9083D81C9099E8ABD305BFC9D05D1C1178BAB95E8380F8E3C506CE2F08A,"onents; consequently $\dim(X)$ is finite and nonnegative. Definition \sref{IV.4.1.1} gives \[ \dim(\emptyset)=-\infty. \] If $(X_\alpha)$ denotes the family of reduced closed sub-preschemes of $X$ whose underlying spaces are the irreducible components of $X$ \sref[I]{I.5.2.1}, then clearly \begin{equation} \dim(X)=\sup_\alpha\dim(X_\alpha). \tag{4.1.1.2} \label{IV.4.1.1.2} \end{equation} The calculation of the dimension is thus reduced to the case of integral preschemes locally of finite type over $k$. Finally, \begin{equation} \d"
ega4.reference.candidate.sha256.023f0389b98e185f4028416c6e1e6b786f9bd7d3b24cb89c7b41168c75383d8b,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,85,59,3215,3230,\sref{IV.1.1.5},\sref{IV.1.1.5},1.1.5,IV,IV.1.1.5,ega4.c04.prop.1-1-5,Item.6,1,IV.1.1.5,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,35D38F11949EB7E02B50E9BD6BE5F1CBA9B9B0CFA827C31E0C654B4029D3CBA3,"is surjective (respectively finite, respectively finite and surjective). If $X$ is affine, one may take $U=X$. \end{enumerate} \end{theorem} \begin{proof} \emph{(i)} Let $y$ be a maximal point of $Y$. The fibre $f^{-1}(y)$ contains a maximal point $x$ of $X$ \sref{IV.1.1.5}; hence $\kappa(x)$ is an extension of $\kappa(y)$, and therefore \[ \operatorname{tr.deg}_k\kappa(y) \leq \operatorname{tr.deg}_k\kappa(x) \leq \dim(X). \] This proves (i). \emph{(ii)} If $x$ is a maximal point of $X$, then $\kappa(x)$ is a finite extension"
ega4.reference.candidate.sha256.f898b23bd6cef9e76ff231949f53bd9e26ed6a5660fa417ce00baa528fa8176a,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,95,104,3508,3527,\sref[II]{II.6.2.2},\sref[II]{II.6.2.2},6.2.2,II,,,,0,,external_or_unavailable_volume_reference,positive_residual,explicit target is outside the standalone EGA-IV reader,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,B42946D3138F8E62553D04036433D503BF33BCD9A216E3EEF12A94284F04525C,"$ is an extension of $\kappa(y)$, and therefore \[ \operatorname{tr.deg}_k\kappa(y) \leq \operatorname{tr.deg}_k\kappa(x) \leq \dim(X). \] This proves (i). \emph{(ii)} If $x$ is a maximal point of $X$, then $\kappa(x)$ is a finite extension of $\kappa(f(x))$ \sref[II]{II.6.2.2}, and hence has the same transcendence degree over $k$. On considering the reduced closed sub-prescheme of $Y$ whose underlying space is $\overline{\{f(x)\}}$, we are reduced to the following corollary. \end{proof} \begin{corollary}[4.1.2.1] \phantomsection \"
ega4.reference.candidate.sha256.2cbceb364a6caee9ab7d1b9103100eb649b6d1918aed82278d4f713af7beec99,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,159,24,5860,5875,\sref{IV.4.1.2},\sref{IV.4.1.2},4.1.2,IV,IV.4.1.2,ega4.c04.thm.4-1-2,section*.88,1,IV.4.1.2,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,792A0B86EC6030A94D5C924B46A9CCD7CB8183CB9E7553352D6C1515DD577F83,"se image under $g$ is the generic point of $\mathbf{V}_k^n$; in this case $Z$ contains a nonempty open subset of $Y$. If $p>0$, then $z\neq y$, and $\overline{\{z\}}$ is rare in $\overline{\{y\}}$. This completes the proof. \end{proof} \begin{proof}[Proof of \sref{IV.4.1.2}, continued] The corollary proves (ii). \emph{(iii)} The sufficiency of the stated conditions follows immediately from (i), (ii), and \sref{IV.1.5.4}(v). To prove necessity, choose a dense open subset $U$ of $X$ that is the union of pairwise disjoint irreduci"
