application_id,candidate_id,pattern_kind,source_relpath,source_line,source_column,source_offset,source_end_offset,visible_tex,normalized_visible,locator_token,volume_hint,target_label,target_id,baseline_pdf_destination,candidate_target_count,candidate_target_labels,classification,disposition,resolution_basis,source_sha256,source_span_sha256,context
ega4.reference.application.sha256.41ae3d618a9c9a6ae759b27a426977c048b2f6351d7087f0c930b782dd83371c,ega4.reference.candidate.sha256.41ae3d618a9c9a6ae759b27a426977c048b2f6351d7087f0c930b782dd83371c,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,27,17,964,980,\sref{IV.5.2.2} ,\sref{IV.5.2.2},5.2.2,IV,IV.5.2.2,ega4.c04.cor.5-2-2,section*.333,1,IV.5.2.2,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,49FCE8E4FB6733795300CEBE6B1D0B6761CC8AD0FC20E99864CAE513FDC98D22,"ype over $k$. The \emph{dimension} of $X$ is the number \begin{equation} \dim(X)=\sup_x\operatorname{tr.deg}_k\kappa(x), \tag{4.1.1.1} \label{IV.4.1.1.1} \end{equation} where $x$ runs through the set of maximal points of $X$. \end{definition} We shall see in \sref{IV.5.2.2} that Definition \sref{IV.4.1.1} depends only apparently on the base field $k$ over which $X$ is locally of finite type, and that the number $\dim(X)$ so defined agrees with the dimension of the underlying space of $X$ \sref[0]{0.14.1.2}. Evidently, \[ \dim(X)="
ega4.reference.application.sha256.23f916c94c389b34bcd64eeb77bd3772c7c5b92ee0d5ebca54ea23d295744068,ega4.reference.candidate.sha256.23f916c94c389b34bcd64eeb77bd3772c7c5b92ee0d5ebca54ea23d295744068,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,27,49,996,1012,\sref{IV.4.1.1} ,\sref{IV.4.1.1},4.1.1,IV,IV.4.1.1,ega4.c04.def.4-1-1,section*.84,1,IV.4.1.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,8522C60828151FA8747BD27D970567D58F8CEE45E52920098F64CA015930B905,"n} of $X$ is the number \begin{equation} \dim(X)=\sup_x\operatorname{tr.deg}_k\kappa(x), \tag{4.1.1.1} \label{IV.4.1.1.1} \end{equation} where $x$ runs through the set of maximal points of $X$. \end{definition} We shall see in \sref{IV.5.2.2} that Definition \sref{IV.4.1.1} depends only apparently on the base field $k$ over which $X$ is locally of finite type, and that the number $\dim(X)$ so defined agrees with the dimension of the underlying space of $X$ \sref[0]{0.14.1.2}. Evidently, \[ \dim(X)=\dim(X_{\mathrm{red}}). \] Each"
ega4.reference.application.sha256.d8b429e11a4f9c7a5586f46c91433ada62609fd4f580b5311485422be1746c1a,ega4.reference.candidate.sha256.d8b429e11a4f9c7a5586f46c91433ada62609fd4f580b5311485422be1746c1a,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,35,12,1588,1604,\sref{IV.4.1.1} ,\sref{IV.4.1.1},4.1.1,IV,IV.4.1.1,ega4.c04.def.4-1-1,section*.84,1,IV.4.1.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,8522C60828151FA8747BD27D970567D58F8CEE45E52920098F64CA015930B905,"[I]{I.6.3.3}, hence has finite transcendence degree over $k$. If $X$ is of finite type over $k$ and nonempty, it is Noetherian \sref[I]{I.6.3.7}, hence has only finitely many irreducible components; consequently $\dim(X)$ is finite and nonnegative. Definition \sref{IV.4.1.1} gives \[ \dim(\emptyset)=-\infty. \] If $(X_\alpha)$ denotes the family of reduced closed sub-preschemes of $X$ whose underlying spaces are the irreducible components of $X$ \sref[I]{I.5.2.1}, then clearly \begin{equation} \dim(X)=\sup_\alpha\dim(X_\alpha). \"
ega4.reference.application.sha256.023f0389b98e185f4028416c6e1e6b786f9bd7d3b24cb89c7b41168c75383d8b,ega4.reference.candidate.sha256.023f0389b98e185f4028416c6e1e6b786f9bd7d3b24cb89c7b41168c75383d8b,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,85,59,3215,3230,\sref{IV.1.1.5},\sref{IV.1.1.5},1.1.5,IV,IV.1.1.5,ega4.c04.prop.1-1-5,Item.6,1,IV.1.1.5,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,35D38F11949EB7E02B50E9BD6BE5F1CBA9B9B0CFA827C31E0C654B4029D3CBA3,"is surjective (respectively finite, respectively finite and surjective). If $X$ is affine, one may take $U=X$. \end{enumerate} \end{theorem} \begin{proof} \emph{(i)} Let $y$ be a maximal point of $Y$. The fibre $f^{-1}(y)$ contains a maximal point $x$ of $X$ \sref{IV.1.1.5}; hence $\kappa(x)$ is an extension of $\kappa(y)$, and therefore \[ \operatorname{tr.deg}_k\kappa(y) \leq \operatorname{tr.deg}_k\kappa(x) \leq \dim(X). \] This proves (i). \emph{(ii)} If $x$ is a maximal point of $X$, then $\kappa(x)$ is a finite extension"
ega4.reference.application.sha256.2cbceb364a6caee9ab7d1b9103100eb649b6d1918aed82278d4f713af7beec99,ega4.reference.candidate.sha256.2cbceb364a6caee9ab7d1b9103100eb649b6d1918aed82278d4f713af7beec99,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,159,24,5860,5875,\sref{IV.4.1.2},\sref{IV.4.1.2},4.1.2,IV,IV.4.1.2,ega4.c04.thm.4-1-2,section*.88,1,IV.4.1.2,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,792A0B86EC6030A94D5C924B46A9CCD7CB8183CB9E7553352D6C1515DD577F83,"se image under $g$ is the generic point of $\mathbf{V}_k^n$; in this case $Z$ contains a nonempty open subset of $Y$. If $p>0$, then $z\neq y$, and $\overline{\{z\}}$ is rare in $\overline{\{y\}}$. This completes the proof. \end{proof} \begin{proof}[Proof of \sref{IV.4.1.2}, continued] The corollary proves (ii). \emph{(iii)} The sufficiency of the stated conditions follows immediately from (i), (ii), and \sref{IV.1.5.4}(v). To prove necessity, choose a dense open subset $U$ of $X$ that is the union of pairwise disjoint irreduci"
ega4.reference.application.sha256.871ef9247578a6a70332104666712e2032d9a2032487a7ba579735fe02326ac7,ega4.reference.candidate.sha256.871ef9247578a6a70332104666712e2032d9a2032487a7ba579735fe02326ac7,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,162,95,6010,6025,\sref{IV.1.5.4},\sref{IV.1.5.4},1.5.4,IV,IV.1.5.4,ega4.c04.prop.1-5-4,subsection.1.5,1,IV.1.5.4,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,B46B451A7274FC5D80C0F9B52D6AF477F79F40E2E3122E6B37B71CB074BDEEAD,"overline{\{z\}}$ is rare in $\overline{\{y\}}$. This completes the proof. \end{proof} \begin{proof}[Proof of \sref{IV.4.1.2}, continued] The corollary proves (ii). \emph{(iii)} The sufficiency of the stated conditions follows immediately from (i), (ii), and \sref{IV.1.5.4}(v). To prove necessity, choose a dense open subset $U$ of $X$ that is the union of pairwise disjoint irreducible affine open subsets $U_i$ $(1\leq i\leq m)$, each containing a maximal point of $X$ \sref[0]{0.2.1.6}. We may further suppose that $X$ is reduced;"
ega4.reference.application.sha256.477a74ee35726963b06ab86df26b390be9fbbf8ce39b0f0908031a577c18bb45,ega4.reference.candidate.sha256.477a74ee35726963b06ab86df26b390be9fbbf8ce39b0f0908031a577c18bb45,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,168,25,6378,6396,\sref{IV.4.1.2.1} ,\sref{IV.4.1.2.1},4.1.2.1,IV,IV.4.1.2.1,ega4.c04.cor.4-1-2-1,section*.89,1,IV.4.1.2.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,1F8A06B3C42F55A6CD05B3C3ACFAD2646D8E2FCB9FA93D32C09606B44B77D4FF,"disjoint irreducible affine open subsets $U_i$ $(1\leq i\leq m)$, each containing a maximal point of $X$ \sref[0]{0.2.1.6}. We may further suppose that $X$ is reduced; if $X$ is affine, we may of course take $U=X$. \oldpage[IV-2]{54} The same argument as in \sref{IV.4.1.2.1} shows that, if $\dim(U_i)=n_i$, there exists a $k$-morphism \[ g_i:U_i\longrightarrow\mathbf{V}_k^{n_i} \] that is finite and dominant, hence surjective \sref[II]{II.6.1.10}. Set \[ n=\dim(X)=\sup_i n_i. \] For every $n_i$ there is a morphism \[ h_i:\mathbf{V}"
ega4.reference.application.sha256.fe301901271a2faf243f704f1c547085c842225cd2d683fe011515ad36564a6f,ega4.reference.candidate.sha256.fe301901271a2faf243f704f1c547085c842225cd2d683fe011515ad36564a6f,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,208,11,7511,7529,\sref{IV.4.1.2.1} ,\sref{IV.4.1.2.1},4.1.2.1,IV,IV.4.1.2.1,ega4.c04.cor.4-1-2-1,section*.89,1,IV.4.1.2.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,1F8A06B3C42F55A6CD05B3C3ACFAD2646D8E2FCB9FA93D32C09606B44B77D4FF,"rrow\mathbf{V}_k^{n'} \] corresponding to the canonical injection \[ k[T_1,\ldots,T_{n'}]\longrightarrow k[T_1,\ldots,T_n]. \] The morphism $p$ is faithfully flat, hence surjective. \end{proof} \begin{remark}[4.1.3] \phantomsection \label{IV.4.1.3} Corollary \sref{IV.4.1.2.1} shows that in formula \sref{IV.4.1.1.1} one may let $x$ run through the set of all points of $X$. \end{remark} \begin{corollary}[4.1.4] \phantomsection \label{IV.4.1.4} Let $X$ be a prescheme locally of finite type over a field $k$, and let $K$ be an extensio"
ega4.reference.application.sha256.55bdb8eecc2053e2d586fe20d202605286d0887ffddef401001c67841a5f3263,ega4.reference.candidate.sha256.55bdb8eecc2053e2d586fe20d202605286d0887ffddef401001c67841a5f3263,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,208,51,7551,7569,\sref{IV.4.1.1.1} ,\sref{IV.4.1.1.1},4.1.1.1,IV,IV.4.1.1.1,ega4.c04.eq.4-1-1-1,AMS.85,1,IV.4.1.1.1,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,99B2582F181137DF5AE2B11A9B67FD503970E6C4035EDFE8353BF19818572F4D,"o the canonical injection \[ k[T_1,\ldots,T_{n'}]\longrightarrow k[T_1,\ldots,T_n]. \] The morphism $p$ is faithfully flat, hence surjective. \end{proof} \begin{remark}[4.1.3] \phantomsection \label{IV.4.1.3} Corollary \sref{IV.4.1.2.1} shows that in formula \sref{IV.4.1.1.1} one may let $x$ run through the set of all points of $X$. \end{remark} \begin{corollary}[4.1.4] \phantomsection \label{IV.4.1.4} Let $X$ be a prescheme locally of finite type over a field $k$, and let $K$ be an extension of $k$. Then \[ \dim(X\otimes_k K)=\di"
ega4.reference.application.sha256.b87d197fee405bd8d88223f6376c44ca77e24af5208f650ebac59cdd55c7970d,ega4.reference.candidate.sha256.b87d197fee405bd8d88223f6376c44ca77e24af5208f650ebac59cdd55c7970d,explicit_sref,components/01_section41_dimension_of_algebraic_preschemes.tex,227,20,8014,8030,\sref{IV.2.2.13},\sref{IV.2.2.13},2.2.13,IV,IV.2.2.13,ega4.c04.cor.2-2-13,AMS.10,1,IV.2.2.13,explicit_same_reader_reference,existing_local_link,exact compiled same-reader label,D7E8D8C7038B3024518B9460ACA9A2F1B50757C3D71F84B0B89BB368C978CD4C,9C6AF8DD44BA3B0A370B0114E3F3F38ADDF849101CBC926F9DCD289A9E7D00C2,"eld $k$, and let $K$ be an extension of $k$. Then \[ \dim(X\otimes_k K)=\dim(X). \] \end{corollary} \begin{proof} It is enough to consider the case in which $X$ is of finite type over $k$. The morphism \[ u:X\otimes_k K\longrightarrow X \] is faithfully flat \sref{IV.2.2.13}(i). Thus, if $U$ is an everywhere dense open subset of $X$, then \[ u^{-1}(U)=U\otimes_k K \] is dense in $X\otimes_k K$ \sref{IV.2.3.10}. If \[ g:U\longrightarrow\mathbf{V}_k^n \] is finite and surjective, then so is \[ g_{(K)}:U\otimes_k K\longrightarrow\ma"
