target_id,latex_label,aux_locator,baseline_pdf_destination,expose,context,kind,title,compiled_page,source_relpath,source_line,source_occurrence_count,compiled_status,final_aux_present,final_aux_number,final_aux_page,final_aux_destination,stable_destination_present,baseline_destination_present,delivered_pdf_destination,delivered_pdf_page
ega4.c04.sec.1,section:IV.1,1,section.1,IV,c04,sec,Relative finiteness conditions. Constructible sets in preschemes,6,ega4-1.source_aligned_r1.tex,2,1,baseline_aux_present,true,1,6,section.1,true,true,ega4.c04.sec.1,6
ega4.c04.subsec.1-1,subsection:IV.1.1,1.1,subsection.1.1,IV,c04,subsec,Quasi-compact morphisms,6,ega4-1.source_aligned_r1.tex,12,1,baseline_aux_present,true,1.1,6,subsection.1.1,true,true,ega4.c04.subsec.1-1,6
ega4.c04.def.1-1-1,IV.1.1.1,1.1,subsection.1.1,IV,c04,def,1.1.1,6,ega4-1.source_aligned_r1.tex,15,1,baseline_aux_present,true,1.1,6,subsection.1.1,true,true,ega4.c04.def.1-1-1,6
ega4.c04.prop.1-1-2,IV.1.1.2,1.1,subsection.1.1,IV,c04,prop,1.1.2,6,ega4-1.source_aligned_r1.tex,29,1,baseline_aux_present,true,1.1,6,subsection.1.1,true,true,ega4.c04.prop.1-1-2,6
ega4.c04.prop.1-1-3,IV.1.1.3,1.1,Item.6,IV,c04,prop,1.1.3,6,ega4-1.source_aligned_r1.tex,53,1,baseline_aux_present,true,1.1,6,Item.6,true,true,ega4.c04.prop.1-1-3,6
ega4.c04.cor.1-1-4,IV.1.1.4,1.1,Item.6,IV,c04,cor,1.1.4,6,ega4-1.source_aligned_r1.tex,64,1,baseline_aux_present,true,1.1,6,Item.6,true,true,ega4.c04.cor.1-1-4,6
ega4.c04.prop.1-1-5,IV.1.1.5,1.1,Item.6,IV,c04,prop,1.1.5,7,ega4-1.source_aligned_r1.tex,85,1,baseline_aux_present,true,1.1,7,Item.6,true,true,ega4.c04.prop.1-1-5,7
ega4.c04.prop.1-1-6,IV.1.1.6,1.1,Item.9,IV,c04,prop,1.1.6,7,ega4-1.source_aligned_r1.tex,102,1,baseline_aux_present,true,1.1,7,Item.9,true,true,ega4.c04.prop.1-1-6,7
ega4.c04.subsec.1-2,subsection:IV.1.2,1.2,subsection.1.2,IV,c04,subsec,Quasi-separated morphisms,7,ega4-1.source_aligned_r1.tex,111,1,baseline_aux_present,true,1.2,7,subsection.1.2,true,true,ega4.c04.subsec.1-2,7
ega4.c04.def.1-2-1,IV.1.2.1,1.2,subsection.1.2,IV,c04,def,1.2.1,7,ega4-1.source_aligned_r1.tex,114,1,baseline_aux_present,true,1.2,7,subsection.1.2,true,true,ega4.c04.def.1-2-1,7
ega4.c04.prop.1-2-2,IV.1.2.2,1.2,subsection.1.2,IV,c04,prop,1.2.2,7,ega4-1.source_aligned_r1.tex,124,1,baseline_aux_present,true,1.2,7,subsection.1.2,true,true,ega4.c04.prop.1-2-2,7
ega4.c04.cor.1-2-3,IV.1.2.3,1.2,Item.15,IV,c04,cor,1.2.3,8,ega4-1.source_aligned_r1.tex,166,1,baseline_aux_present,true,1.2,8,Item.15,true,true,ega4.c04.cor.1-2-3,8
ega4.c04.prop.1-2-4,IV.1.2.4,1.2,Item.17,IV,c04,prop,1.2.4,8,ega4-1.source_aligned_r1.tex,179,1,baseline_aux_present,true,1.2,8,Item.17,true,true,ega4.c04.prop.1-2-4,8
ega4.c04.eq.1-2-4-1,IV.1.2.4.1,{1.2.4.1},AMS.2,IV,c04,eq,Quasi-separated morphisms,8,ega4-1.source_aligned_r1.tex,193,1,baseline_aux_present,true,{1.2.4.1},8,AMS.2,true,true,ega4.c04.eq.1-2-4-1,8
ega4.c04.prop.1-2-5,IV.1.2.5,1.2,AMS.2,IV,c04,prop,1.2.5,8,ega4-1.source_aligned_r1.tex,203,1,baseline_aux_present,true,1.2,8,AMS.2,true,true,ega4.c04.prop.1-2-5,8
ega4.c04.prop.1-2-6,IV.1.2.6,1.2,AMS.2,IV,c04,prop,1.2.6,8,ega4-1.source_aligned_r1.tex,217,1,baseline_aux_present,true,1.2,8,AMS.2,true,true,ega4.c04.prop.1-2-6,8
ega4.c04.prop.1-2-7,IV.1.2.7,1.2,AMS.2,IV,c04,prop,1.2.7,8,ega4-1.source_aligned_r1.tex,240,1,baseline_aux_present,true,1.2,8,AMS.2,true,true,ega4.c04.prop.1-2-7,8
ega4.c04.cor.1-2-8,IV.1.2.8,1.2,Item.20,IV,c04,cor,1.2.8,9,ega4-1.source_aligned_r1.tex,263,1,baseline_aux_present,true,1.2,9,Item.20,true,true,ega4.c04.cor.1-2-8,9
ega4.c04.prop.1-2-9,IV.1.2.9,1.2,Item.20,IV,c04,prop,1.2.9,9,ega4-1.source_aligned_r1.tex,270,1,baseline_aux_present,true,1.2,9,Item.20,true,true,ega4.c04.prop.1-2-9,9
ega4.c04.subsec.1-3,subsection:IV.1.3,1.3,subsection.1.3,IV,c04,subsec,Morphisms locally of finite type,9,ega4-1.source_aligned_r1.tex,283,1,baseline_aux_present,true,1.3,9,subsection.1.3,true,true,ega4.c04.subsec.1-3,9
ega4.c04.statement.1-3-1,IV.1.3.1,1.3,subsection.1.3,IV,c04,statement,1.3.1,9,ega4-1.source_aligned_r1.tex,286,1,baseline_aux_present,true,1.3,9,subsection.1.3,true,true,ega4.c04.statement.1-3-1,9
ega4.c04.def.1-3-2,IV.1.3.2,1.3,subsection.1.3,IV,c04,def,1.3.2,9,ega4-1.source_aligned_r1.tex,299,1,baseline_aux_present,true,1.3,9,subsection.1.3,true,true,ega4.c04.def.1-3-2,9
ega4.c04.prop.1-3-3,IV.1.3.3,1.3,subsection.1.3,IV,c04,prop,1.3.3,9,ega4-1.source_aligned_r1.tex,309,1,baseline_aux_present,true,1.3,9,subsection.1.3,true,true,ega4.c04.prop.1-3-3,9
ega4.c04.prop.1-3-4,IV.1.3.4,1.3,subsection.1.3,IV,c04,prop,1.3.4,9,ega4-1.source_aligned_r1.tex,317,1,baseline_aux_present,true,1.3,9,subsection.1.3,true,true,ega4.c04.prop.1-3-4,9
ega4.c04.cor.1-3-5,IV.1.3.5,1.3,Item.26,IV,c04,cor,1.3.5,9,ega4-1.source_aligned_r1.tex,335,1,baseline_aux_present,true,1.3,9,Item.26,true,true,ega4.c04.cor.1-3-5,9
ega4.c04.prop.1-3-6,IV.1.3.6,1.3,Item.26,IV,c04,prop,1.3.6,10,ega4-1.source_aligned_r1.tex,346,1,baseline_aux_present,true,1.3,10,Item.26,true,true,ega4.c04.prop.1-3-6,10
ega4.c04.prop.1-3-7,IV.1.3.7,1.3,Item.26,IV,c04,prop,1.3.7,10,ega4-1.source_aligned_r1.tex,355,1,baseline_aux_present,true,1.3,10,Item.26,true,true,ega4.c04.prop.1-3-7,10
ega4.c04.statement.1-3-8,IV.1.3.8,1.3,Item.26,IV,c04,statement,1.3.8,10,ega4-1.source_aligned_r1.tex,364,1,baseline_aux_present,true,1.3,10,Item.26,true,true,ega4.c04.statement.1-3-8,10
ega4.c04.prop.1-3-9,IV.1.3.9,1.3,Item.26,IV,c04,prop,1.3.9,10,ega4-1.source_aligned_r1.tex,371,1,baseline_aux_present,true,1.3,10,Item.26,true,true,ega4.c04.prop.1-3-9,10
ega4.c04.statement.1-3-10,IV.1.3.10,1.3,Item.30,IV,c04,statement,1.3.10,10,ega4-1.source_aligned_r1.tex,394,1,baseline_aux_present,true,1.3,10,Item.30,true,true,ega4.c04.statement.1-3-10,10
ega4.c04.prop.1-3-11,IV.1.3.11,1.3,Item.30,IV,c04,prop,1.3.11,10,ega4-1.source_aligned_r1.tex,404,1,baseline_aux_present,true,1.3,10,Item.30,true,true,ega4.c04.prop.1-3-11,10
ega4.c04.subsec.1-4,subsection:IV.1.4,1.4,subsection.1.4,IV,c04,subsec,Morphisms locally of finite presentation,10,ega4-1.source_aligned_r1.tex,417,1,baseline_aux_present,true,1.4,10,subsection.1.4,true,true,ega4.c04.subsec.1-4,10
ega4.c04.statement.1-4-1,IV.1.4.1,1.4,subsection.1.4,IV,c04,statement,1.4.1,10,ega4-1.source_aligned_r1.tex,420,1,baseline_aux_present,true,1.4,10,subsection.1.4,true,true,ega4.c04.statement.1-4-1,10
ega4.c04.def.1-4-2,IV.1.4.2,1.4,subsection.1.4,IV,c04,def,1.4.2,11,ega4-1.source_aligned_r1.tex,430,1,baseline_aux_present,true,1.4,11,subsection.1.4,true,true,ega4.c04.def.1-4-2,11
