decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-EQ1-L25-TERM-001,terminology,corrected_french_tex,SGA2-VIII-EQ1-L25-COND,respectivement équivalentes,French2751,opening sentence,respectively equivalent to,logic_register,none,equivalent respectively,idiomatic English while preserving pairing,applied_self_reviewed,high,1,French line2796,register revision
SGA2-VIII-EQ1-L25-TERM-002,register,corrected_french_tex,SGA2-VIII-EQ1-L25-IMPL,pour mémoire,French2766,a-prime implication,recorded for completeness,formal_register,minor expansion,is trivial,source records the implication without judging it,applied_self_reviewed,high,1,French line2796,register revision
SGA2-VIII-EQ1-L25-TERM-003,terminology,corrected_french_tex,SGA2-VIII-EQ1-L25-EQ25,donne la codimension,French2768 and2779,d-to-a and c-to-d arguments,realizes the codimension,dimension_theory_register,none,gives or defines the codimension,states that the selected point attains the defining dimension,applied_self_reviewed,high,1,French line2796,SGA-wide terminology revision
SGA2-VIII-EQ1-L25-TERM-004,terminology,corrected_french_tex_plus_mathematical_register,SGA2-VIII-EQ1-L25-SPEC,x suit y,French2779 and2784,explanatory sentence and Lemma2.5,y is an immediate specialization of x,specialization_register,English subject order differs from French,x follows y,standard topology relation with direction fixed by y-in-closure-x and dimension1,applied_self_reviewed_pending_independent_terminology_review,high,1,French line2796,SGA-wide terminology revision
SGA2-VIII-EQ1-L25-TERM-005,terminology,corrected_french_tex,SGA2-VIII-EQ1-L25-L25,préschéma,French2784,Lemma2.5,prescheme,historical_SGA_register,none,scheme,preserve source-era category and prior SGA2 convention,applied_self_reviewed,high,1,French line2796,SGA-wide terminology revision
SGA2-VIII-EQ1-L25-TERM-006,terminology,corrected_french_tex,SGA2-VIII-EQ1-L25-L25,partie fermée,French2784,Lemma2.5,closed subset,topological_register,none,closed subscheme,source gives a subset and no scheme structure,applied_self_reviewed,high,1,French line2796,source revision
SGA2-VIII-EQ1-L25-TERM-007,terminology,corrected_french_tex,SGA2-VIII-EQ1-L25-C2D,admettons provisoirement,French2776,c-prime-to-d argument,assume provisionally,proof_register,none,suppose without qualification,preserves temporary-assumption structure,applied_self_reviewed,high,1,French line2796,register revision
SGA2-VIII-EQ1-L25-TERM-008,terminology,corrected_french_tex,SGA2-VIII-EQ1-L25-PROOF,de telle sorte que tout z,French2792,Lemma2.5 proof,by the choice of x every z,proof_register,none,by minimality every z,avoids asserting more than the source while preserving causal link,applied_self_reviewed,high,1,French line2796,independent proof review
SGA2-VIII-EQ1-L25-TERM-009,notation,corrected_french_tex_plus_established_english_register,SGA2-VIII-EQ1-L25,Oo macro renders calligraphic O,French2762-2792,all local rings,calligraphic O,SGA2_English_structure_sheaf_typography,none,plain O,preserves established English notation and mathematical identity,applied_self_reviewed,high,1,French line2796,SGA-wide notation policy revision
SGA2-VIII-EQ1-L25-TERM-010,orthography,corrected_french_tex,SGA2-VIII-EQ1-L25-L25,noethérien,French2784,Lemma2.5,Noetherian,US_mathematical_spelling,none,noetherian,proper-name capitalization follows current SGA2 usage,applied_self_reviewed,high,1,French line2796,SGA-wide spelling revision
SGA2-VIII-EQ1-L25-TERM-011,comparison_disposition,comparison_only_not_authority,SGA2-VIII-EQ1-L25-CAND,jcreinhold lines402-466,current candidate,comparison controls only,retain comparison-only status,candidate_adverse_control,candidate uses follows and mislabels running page74 as original,promote candidate wording or locator,all accepted content is rederived from French authority,recorded_not_promoted,high,1,French line2796,candidate revision
SGA2-VIII-EQ1-L25-TERM-012,source_branch_control,corrected_french_tex,SGA2-VIII-EQ1-L25-PROOF,sisi corrected branch,French2792,Lemma2.5 proof,use z in Spec of local ring,corrected_rescribe_branch,departure from original branch z in closure of x,use original branch without disclosure,current corrected French authority explicitly selects the Spec branch,applied_disclosed_pending_independent_review,high,1,French line2796,authority branch revision
