comparison_id,evidence_class,authority_role,unit_id,object_type,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,target_locator,parent_id,cross_references,critical_controls,decision,result,status,confidence,adverse_or_choice,rejected_alternative,record_revision,continuation_cursor
SGA2-VIII-EQ1-L25-CMP-001,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25,unit_boundary,French2751-2796,2751-2796,92-93,81-82,authority box and cursor,,SGA2-VIII-EQ1-L25-BOUND,lines2751-2794 included line2795 blank line2796 excluded,retain exact boundary,pass,self_reviewed_structure_pass,high,same physical page continues,extend unit,1,French line2796
SGA2-VIII-EQ1-L25-CMP-002,source_logic,corrected_french_tex,SGA2-VIII-EQ1-L25-COND,condition_equivalences,French2751-2764,2751-2764,92,81,conditions a-prime c-prime d,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-IMPL,respective equivalence to a and c plus all q x y quantifiers and inequalities,preserve labels and quantifiers,pass,self_reviewed_logic_pass,high,none,merge conditions,1,French line2796
SGA2-VIII-EQ1-L25-CMP-003,source_logic,corrected_french_tex,SGA2-VIII-EQ1-L25-IMPL,implication_directions,French2766-2768,2766-2768,92,81,implication prose,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-EQ25,a-prime implies c-prime then d implies a-prime,preserve direction and register,pass,self_reviewed_logic_pass,high,pour mémoire translated recorded for completeness,call trivial,1,French line2796
SGA2-VIII-EQ1-L25-CMP-004,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-EQ25,equation2.5,French2768-2770,2768-2770,92,81,equation2.5,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-NOTE6;SGA2-VIII-EQ1-L25-EQ26,dimension local ring equals ordered codimension equals c-x,preserve all terms braces subscripts and order,pass,self_reviewed_formula_pass,high,none,use codimension of closure in X,1,French line2796
SGA2-VIII-EQ1-L25-CMP-005,source_note,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-NOTE6,editor_note6,French2768,2768,92,81,marked footnote after realizes codimension,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-EQ25,explicit marker6 and closures of points endowed with reduced structure,preserve exact scope marker and editor-note number,pass,independent_review_pass_after_target_marker_repair,high,ordinary footnote initially rendered automatic marker1,drop note or retain marker1,2,French line2796
SGA2-VIII-EQ1-L25-CMP-006,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-EQ26,equation2.6,French2771-2774,2771-2774,92,81,equation2.6 and conclusion,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-C2D,dimension O-X-y equals d-x reference2.2 then y-in-Z-q,preserve identity reference and membership chain,pass,self_reviewed_formula_pass,high,none,omit regularity premise or Z-q conclusion,1,French line2796
SGA2-VIII-EQ1-L25-CMP-007,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-C2D,provisional_specialization_display,French2776-2782,2776-2782,92-93,81,both unnumbered displays and conclusion,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-SPEC;SGA2-VIII-EQ1-L25-L25,y-in-closure-x dimension local ring1 then q+i not-equal d-x,preserve display conjunction and d-x identity,pass,self_reviewed_formula_pass,high,subject reorder only in explanatory prose,reverse specialization relation,1,French line2796
SGA2-VIII-EQ1-L25-CMP-008,source_terminology,corrected_french_tex_plus_mathematical_register,SGA2-VIII-EQ1-L25-SPEC,immediate_specialization,French2779 and2784,2779-2785,92-93,81-82,explanatory sentence and Lemma2.5,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-C2D;SGA2-VIII-EQ1-L25-L25,y is immediate specialization of x iff y in closure and local dimension1,use standard topology orientation plus defining display,pass,self_reviewed_terminology_pass,high,English subject order differs from French,literal x follows y,1,French line2796
SGA2-VIII-EQ1-L25-CMP-009,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-L25,Lemma2.5,French2784-2789,2784-2789,93,82,Lemma2.5 and application,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-PROOF,locally Noetherian prescheme closed subset dense complement universal y existential x and application,preserve every hypothesis and application,pass,self_reviewed_source_pass,high,none,change subset to subscheme,1,French line2796
SGA2-VIII-EQ1-L25-CMP-010,source_proof,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-PROOF,Lemma2.5_proof,French2791-2794,2791-2794,93,82,proof paragraph,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-BOUND,minimize r corrected Spec quantifier all z not x in Y singleton open conclusion,preserve corrected branch and all logical steps,pass,self_reviewed_proof_pass,high,corrected rescribe branch,original z-in-closure-x branch,1,French line2796
SGA2-VIII-EQ1-L25-CMP-011,page_coordinate_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-PAGE,printed_marker93,French2782,2782,92-93,81,authority box and source render,SGA2-VIII-EQ1-L25,SGA2-VIII-EQ1-L25-C2D,marker occurs after D'où before conclusion observation,retain distinct coordinate systems,pass,self_reviewed_page_mapping_pass,high,marker is mid-line,move boundary to lemma,1,French line2796
