alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-EQ1-L25-ALIGN-001,source_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25,,2751-2794,92-93,81-82,73-74,complete bounded target,complete,include first equivalence step Lemma2.5 application and proof then stop,self_gated_production_pending_independent_review,high,none,extend into second step at2796,OUTBOUND:SGA2-VIII-P2-STEP2,French line2796,independent source review,1
SGA2-VIII-EQ1-L25-ALIGN-002,source_structure,corrected_french_tex,SGA2-VIII-EQ1-L25-COND,SGA2-VIII-EQ1-L25,2751-2764,92,81,73,conditions a-prime c-prime and d,complete,preserve quantifiers hypotheses inequalities and equivalence claim,self_reviewed_source_pass,high,none,merge conditions or drop respective equivalence,SGA2-VIII-EQ1-L25-IMPL,French line2796,independent logic review,1
SGA2-VIII-EQ1-L25-ALIGN-003,source_logic,corrected_french_tex,SGA2-VIII-EQ1-L25-IMPL,SGA2-VIII-EQ1-L25,2766-2768,92,81,73,implications a-prime to c-prime and d to a-prime,complete,preserve direction and for-completeness register,self_reviewed_logic_pass,high,none,call implication trivial or reverse it,SGA2-VIII-EQ1-L25-EQ25,French line2796,independent logic review,1
SGA2-VIII-EQ1-L25-ALIGN-004,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-EQ25,SGA2-VIII-EQ1-L25,2768-2770,92,81,73,equation2.5,complete,preserve local ring closure codimension ordered pair and c-x,self_reviewed_formula_pass,high,none,reverse codimension arguments or omit closure intersection,SGA2-VIII-EQ1-L25-EQ26,French line2796,independent formula review,1
SGA2-VIII-EQ1-L25-ALIGN-005,source_note,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-NOTE6,SGA2-VIII-EQ1-L25,2768,92,81,73,editor note6,complete,retain explicit marker6 and reduced structure convention for closures of points,independent_review_pass_after_target_marker_repair,high,ordinary footnote initially rendered automatic marker1,drop note or generalize to all closures,SGA2-VIII-EQ1-L25-EQ25,French line2796,target marker or source-note revision,2
SGA2-VIII-EQ1-L25-ALIGN-006,formula_alignment,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-EQ26,SGA2-VIII-EQ1-L25,2771-2774,92,81,73,equation2.6 and conclusion,complete,preserve regularity hypothesis d-x identity reference2.2 and y-in-Z-q,self_reviewed_formula_pass,high,none,drop reference or replace d-x with dimension alone,SGA2-VIII-EQ1-L25-C2D,French line2796,independent formula review,1
SGA2-VIII-EQ1-L25-ALIGN-007,source_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-C2D,SGA2-VIII-EQ1-L25,2776-2782,92-93,81,73,c-prime implies d argument,complete,preserve provisional existence both displays c-x argument and equation2.6 use,self_reviewed_logic_formula_pass,high,none,collapse the provisional hypothesis or reverse specialization,SGA2-VIII-EQ1-L25-L25,French line2796,independent logic review,1
SGA2-VIII-EQ1-L25-ALIGN-008,source_terminology,corrected_french_tex_plus_mathematical_register,SGA2-VIII-EQ1-L25-SPEC,SGA2-VIII-EQ1-L25,2778-2785,92-93,81-82,73-74,x suit y definition and lemma wording,complete,render by y is an immediate specialization of x and preserve defining display,self_reviewed_terminology_pass,high,subject reordered to standard English topology register,literal x follows y,SGA2-VIII-EQ1-L25-C2D;SGA2-VIII-EQ1-L25-L25,French line2796,SGA-wide terminology revision,1
SGA2-VIII-EQ1-L25-ALIGN-009,source_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-L25,SGA2-VIII-EQ1-L25,2784-2789,93,82,74,Lemma2.5 and application,complete,preserve prescheme closed subset density quantifier formula and exact application,self_reviewed_source_pass,high,none,replace closed subset with closed subscheme or omit application,SGA2-VIII-EQ1-L25-PROOF,French line2796,independent lemma review,1
SGA2-VIII-EQ1-L25-ALIGN-010,source_proof,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-PROOF,SGA2-VIII-EQ1-L25,2791-2794,93,82,74,proof of Lemma2.5,complete,preserve minimal r corrected Spec quantifier openness and conclusion,self_reviewed_source_formula_pass,high,corrected authority branch used,original branch z-in-closure-x,SGA2-VIII-EQ1-L25-SRCDEF;SGA2-VIII-EQ1-L25-BOUND,French line2796,independent proof review,1
SGA2-VIII-EQ1-L25-ALIGN-011,page_coordinate_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-PAGE,SGA2-VIII-EQ1-L25,2751-2794,92-93,81-82,73-74,authority box and source renders,complete,keep printed physical and running pages distinct,self_reviewed_page_mapping_pass,high,printed marker93 inside2782 after Whence,collapse page systems,SGA2-VIII-EQ1-L25-C2D;SGA2-VIII-EQ1-L25-L25,French line2796,source repagination,1
SGA2-VIII-EQ1-L25-ALIGN-012,comparison_control,comparison_only_not_authority,SGA2-VIII-EQ1-L25-CAND,SGA2-VIII-EQ1-L25,jcreinhold402-466 compared with French2751-2794,92-93,81-82,73-74,comparison ledger,complete_comparison_only,accept no wording or formula without direct French check,comparison_audited_not_promoted,high,candidate page74 means running page and uses follows calque,promote candidate as independent English authority,COMPARISON:jcreinhold_e7a259f,French line2796,candidate revision,1
SGA2-VIII-EQ1-L25-ALIGN-013,boundary_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-EQ1-L25-BOUND,SGA2-VIII-EQ1-L25,2794-2796,93,82,74,outbound cursor,complete,stop after Lemma2.5 proof skip blank2795 and continue at second-step line2796,self_reviewed_boundary_pass,high,physical82 continues beyond boundary,extend because source shares a page,OUTBOUND:SGA2-VIII-P2-STEP2,French line2796,next-unit integration,1
