"field","value","label"
"packet","R3_E58A9EF5_SOURCE_ROUTING_AND_PDF_RECOVERY_20260706","b3-uploader-ready"
"local_path","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\outputs\R3_E58A9EF5_SOURCE_ROUTING_AND_PDF_RECOVERY_20260706\R3_E58A9EF5_SOURCE_ROUTING_AND_PDF_RECOVERY_20260706T121927Z","local-output-path"
"prior_frontier","81db4ba945379e7c267ac6b5049f207e5746e65e","branch-comparison"
"current_head","e58a9ef51299cd4ac39263ec88ec697fd379ae91","branch-comparison"
"observed_remote_head","e58a9ef51299cd4ac39263ec88ec697fd379ae91","branch-observation"
"branch_delta_rows","131","branch-delta"
"literal_source_body_canon_rows","143","source-body-canon"
"source_witness_rows","13","source-witness"
"source_checked_micro_evidence_rows","148","source-gated-micro-evidence"
"pdf_files_audited","12","pdf-layer-recovery"
"pdf_occurrence_hit_rows","342","pdf-layer-recovery"
"zero_hit_resolved_rows","2","zero-hit-resolution"
"blocker_rows","225","active-recovery-blocker"
"b3_target_path","interlanguage-sidecar/rtl-persianate-arabic-e58a9ef5-source-routing-pdf-recovery-20260706/","suggested-upload-target"
"claim_guard","No bridge promotion, cross-gate merge, native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion.","boundary"
