metric,count,source,classification,count_effect
blank_slot_return_evidence_files,3,SLOT_RETURN_PACKAGE_EVIDENCE_FAA2.csv,review-only infrastructure,mapping/translation/approval zero
blank_slot_return_csv_rows,54,SLOT_RETURN_PACKAGE_EVIDENCE_FAA2.csv,blank slot/template rows only,mapping/translation/approval zero
body_backed_handoff_manifest_rows,95,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\handoff-bodies\olp-relation-function-support-20260706\MANIFEST.csv,source-use/body support labels,not reviewer return or approval
source_terminology_rows_consumed,125,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_RELATION_FUNCTION_SOURCE_USE_EXTENSION_20260706,source-use support evidence,not translation count
formula_neighboring_rows_consumed,96,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_RELATION_FUNCTION_SOURCE_USE_EXTENSION_20260706,formula-neighboring support,not translation count
relation_function_context_sample_rows,17,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_RELATION_FUNCTION_SOURCE_USE_EXTENSION_20260706,relation/function context support,not reviewer return
source_gated_noncanonical_support_slots,17,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_RELATION_FUNCTION_SOURCE_USE_EXTENSION_20260706,generated-draft permission only,not native review
fable_source_use_adverse_rows,89,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_RELATION_FUNCTION_SOURCE_USE_EXTENSION_20260706,Fable/source-use/adverse support,not approval
authority_ethics_blocker_rows,14,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_AUTHORITY_ETHICS_REVIEW_BOUNDARY_20260706,authority/ethics blocker,no consent/review claim
exact_recovery_search_rows,5,C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_FAA2_AUTHORITY_ETHICS_REVIEW_BOUNDARY_20260706,recovery/search state,gap rows only
real_reviewer_return_rows,0,all reviewed ledgers in this pass,no direct reviewer return found,mapping/translation/approval zero
