branch_head,claim,value,evidence_basis
b4660802e7a2464b6a9c65c2429109e02e1eabdb,mapping,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,translation,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,approval,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,native_review,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,accepted_terminology,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,license_clearance,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,gate_promotion,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,source_certification,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,final_status,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,bridge_pilot,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
b4660802e7a2464b6a9c65c2429109e02e1eabdb,translation_completion,zero_or_false,No direct reviewer/source-return evidence changed counts in this pass.
