volume,book_page,source_pdf_page,image_file,source_pdf_offset_rule,notes
I,1,19,page_images/book_p001_pdf_p019.png,source_pdf_page = book_page + 18,source scan for checking
I,2,20,page_images/book_p002_pdf_p020.png,source_pdf_page = book_page + 18,source scan for checking
I,3,21,page_images/book_p003_pdf_p021.png,source_pdf_page = book_page + 18,source scan for checking
I,4,22,page_images/book_p004_pdf_p022.png,source_pdf_page = book_page + 18,source scan for checking
I,5,23,page_images/book_p005_pdf_p023.png,source_pdf_page = book_page + 18,source scan for checking
I,6,24,page_images/book_p006_pdf_p024.png,source_pdf_page = book_page + 18,source scan for checking
I,7,25,page_images/book_p007_pdf_p025.png,source_pdf_page = book_page + 18,source scan for checking
I,8,26,page_images/book_p008_pdf_p026.png,source_pdf_page = book_page + 18,source scan for checking
I,9,27,page_images/book_p009_pdf_p027.png,source_pdf_page = book_page + 18,source scan for checking
I,10,28,page_images/book_p010_pdf_p028.png,source_pdf_page = book_page + 18,source scan for checking
I,11,29,page_images/book_p011_pdf_p029.png,source_pdf_page = book_page + 18,source scan for checking
I,12,30,page_images/book_p012_pdf_p030.png,source_pdf_page = book_page + 18,source scan for checking
I,13,31,page_images/book_p013_pdf_p031.png,source_pdf_page = book_page + 18,source scan for checking
I,14,32,page_images/book_p014_pdf_p032.png,source_pdf_page = book_page + 18,source scan for checking
I,15,33,page_images/book_p015_pdf_p033.png,source_pdf_page = book_page + 18,source scan for checking
I,16,34,page_images/book_p016_pdf_p034.png,source_pdf_page = book_page + 18,source scan for checking
I,17,35,page_images/book_p017_pdf_p035.png,source_pdf_page = book_page + 18,source scan for checking
I,18,36,page_images/book_p018_pdf_p036.png,source_pdf_page = book_page + 18,source scan for checking
I,19,37,page_images/book_p019_pdf_p037.png,source_pdf_page = book_page + 18,source scan for checking
I,20,38,page_images/book_p020_pdf_p038.png,source_pdf_page = book_page + 18,source scan for checking
I,21,39,page_images/book_p021_pdf_p039.png,source_pdf_page = book_page + 18,source scan for checking
I,22,40,page_images/book_p022_pdf_p040.png,source_pdf_page = book_page + 18,source scan for checking
I,23,41,page_images/book_p023_pdf_p041.png,source_pdf_page = book_page + 18,source scan for checking
I,24,42,page_images/book_p024_pdf_p042.png,source_pdf_page = book_page + 18,source scan for checking
I,25,43,page_images/book_p025_pdf_p043.png,source_pdf_page = book_page + 18,source scan for checking
I,26,44,page_images/book_p026_pdf_p044.png,source_pdf_page = book_page + 18,source scan for checking
I,27,45,page_images/book_p027_pdf_p045.png,source_pdf_page = book_page + 18,source scan for checking
I,28,46,page_images/book_p028_pdf_p046.png,source_pdf_page = book_page + 18,source scan for checking
I,29,47,page_images/book_p029_pdf_p047.png,source_pdf_page = book_page + 18,source scan for checking
I,30,48,page_images/book_p030_pdf_p048.png,source_pdf_page = book_page + 18,source scan for checking
I,31,49,page_images/book_p031_pdf_p049.png,source_pdf_page = book_page + 18,source scan for checking
I,32,50,page_images/book_p032_pdf_p050.png,source_pdf_page = book_page + 18,source scan for checking
I,33,51,page_images/book_p033_pdf_p051.png,source_pdf_page = book_page + 18,source scan for checking
I,34,52,page_images/book_p034_pdf_p052.png,source_pdf_page = book_page + 18,source scan for checking
I,35,53,page_images/book_p035_pdf_p053.png,source_pdf_page = book_page + 18,source scan for checking
I,36,54,page_images/book_p036_pdf_p054.png,source_pdf_page = book_page + 18,source scan for checking
I,37,55,page_images/book_p037_pdf_p055.png,source_pdf_page = book_page + 18,source scan for checking
I,38,56,page_images/book_p038_pdf_p056.png,source_pdf_page = book_page + 18,source scan for checking
I,39,57,page_images/book_p039_pdf_p057.png,source_pdf_page = book_page + 18,source scan for checking
I,40,58,page_images/book_p040_pdf_p058.png,source_pdf_page = book_page + 18,source scan for checking
I,41,59,page_images/book_p041_pdf_p059.png,source_pdf_page = book_page + 18,source scan for checking
I,42,60,page_images/book_p042_pdf_p060.png,source_pdf_page = book_page + 18,source scan for checking
I,43,61,page_images/book_p043_pdf_p061.png,source_pdf_page = book_page + 18,source scan for checking
I,44,62,page_images/book_p044_pdf_p062.png,source_pdf_page = book_page + 18,source scan for checking
I,45,63,page_images/book_p045_pdf_p063.png,source_pdf_page = book_page + 18,source scan for checking
I,46,64,page_images/book_p046_pdf_p064.png,source_pdf_page = book_page + 18,source scan for checking
I,47,65,page_images/book_p047_pdf_p065.png,source_pdf_page = book_page + 18,source scan for checking
I,48,66,page_images/book_p048_pdf_p066.png,source_pdf_page = book_page + 18,source scan for checking
I,49,67,page_images/book_p049_pdf_p067.png,source_pdf_page = book_page + 18,source scan for checking
I,50,68,page_images/book_p050_pdf_p068.png,source_pdf_page = book_page + 18,source scan for checking
I,51,69,page_images/book_p051_pdf_p069.png,source_pdf_page = book_page + 18,source scan for checking
I,52,70,page_images/book_p052_pdf_p070.png,source_pdf_page = book_page + 18,source scan for checking
I,53,71,page_images/book_p053_pdf_p071.png,source_pdf_page = book_page + 18,source scan for checking
I,54,72,page_images/book_p054_pdf_p072.png,source_pdf_page = book_page + 18,source scan for checking
I,55,73,page_images/book_p055_pdf_p073.png,source_pdf_page = book_page + 18,source scan for checking
I,56,74,page_images/book_p056_pdf_p074.png,source_pdf_page = book_page + 18,source scan for checking
I,57,75,page_images/book_p057_pdf_p075.png,source_pdf_page = book_page + 18,source scan for checking
I,58,76,page_images/book_p058_pdf_p076.png,source_pdf_page = book_page + 18,source scan for checking
I,59,77,page_images/book_p059_pdf_p077.png,source_pdf_page = book_page + 18,source scan for checking
I,60,78,page_images/book_p060_pdf_p078.png,source_pdf_page = book_page + 18,source scan for checking
I,61,79,page_images/book_p061_pdf_p079.png,source_pdf_page = book_page + 18,source scan for checking
I,62,80,page_images/book_p062_pdf_p080.png,source_pdf_page = book_page + 18,source scan for checking
I,63,81,page_images/book_p063_pdf_p081.png,source_pdf_page = book_page + 18,source scan for checking
I,64,82,page_images/book_p064_pdf_p082.png,source_pdf_page = book_page + 18,source scan for checking
I,65,83,page_images/book_p065_pdf_p083.png,source_pdf_page = book_page + 18,source scan for checking
I,66,84,page_images/book_p066_pdf_p084.png,source_pdf_page = book_page + 18,source scan for checking
I,67,85,page_images/book_p067_pdf_p085.png,source_pdf_page = book_page + 18,source scan for checking
I,68,86,page_images/book_p068_pdf_p086.png,source_pdf_page = book_page + 18,source scan for checking
I,69,87,page_images/book_p069_pdf_p087.png,source_pdf_page = book_page + 18,source scan for checking
I,70,88,page_images/book_p070_pdf_p088.png,source_pdf_page = book_page + 18,source scan for checking
I,71,89,page_images/book_p071_pdf_p089.png,source_pdf_page = book_page + 18,source scan for checking
I,72,90,page_images/book_p072_pdf_p090.png,source_pdf_page = book_page + 18,source scan for checking
I,73,91,page_images/book_p073_pdf_p091.png,source_pdf_page = book_page + 18,source scan for checking
I,74,92,page_images/book_p074_pdf_p092.png,source_pdf_page = book_page + 18,source scan for checking
I,75,93,page_images/book_p075_pdf_p093.png,source_pdf_page = book_page + 18,source scan for checking
I,76,94,page_images/book_p076_pdf_p094.png,source_pdf_page = book_page + 18,source scan for checking
I,77,95,page_images/book_p077_pdf_p095.png,source_pdf_page = book_page + 18,source scan for checking
I,78,96,page_images/book_p078_pdf_p096.png,source_pdf_page = book_page + 18,source scan for checking
I,79,97,page_images/book_p079_pdf_p097.png,source_pdf_page = book_page + 18,source scan for checking
I,80,98,page_images/book_p080_pdf_p098.png,source_pdf_page = book_page + 18,source scan for checking
I,81,99,page_images/book_p081_pdf_p099.png,source_pdf_page = book_page + 18,source scan for checking
I,82,100,page_images/book_p082_pdf_p100.png,source_pdf_page = book_page + 18,source scan for checking
I,83,101,page_images/book_p083_pdf_p101.png,source_pdf_page = book_page + 18,source scan for checking
I,84,102,page_images/book_p084_pdf_p102.png,source_pdf_page = book_page + 18,source scan for checking
I,85,103,page_images/book_p085_pdf_p103.png,source_pdf_page = book_page + 18,source scan for checking
I,86,104,page_images/book_p086_pdf_p104.png,source_pdf_page = book_page + 18,source scan for checking
I,87,105,page_images/book_p087_pdf_p105.png,source_pdf_page = book_page + 18,source scan for checking
I,88,106,page_images/book_p088_pdf_p106.png,source_pdf_page = book_page + 18,source scan for checking
I,89,107,page_images/book_p089_pdf_p107.png,source_pdf_page = book_page + 18,source scan for checking
I,90,108,page_images/book_p090_pdf_p108.png,source_pdf_page = book_page + 18,source scan for checking
I,91,109,page_images/book_p091_pdf_p109.png,source_pdf_page = book_page + 18,source scan for checking
I,92,110,page_images/book_p092_pdf_p110.png,source_pdf_page = book_page + 18,source scan for checking
I,93,111,page_images/book_p093_pdf_p111.png,source_pdf_page = book_page + 18,source scan for checking
I,94,112,page_images/book_p094_pdf_p112.png,source_pdf_page = book_page + 18,source scan for checking
I,95,113,page_images/book_p095_pdf_p113.png,source_pdf_page = book_page + 18,source scan for checking
I,96,114,page_images/book_p096_pdf_p114.png,source_pdf_page = book_page + 18,source scan for checking
I,97,115,page_images/book_p097_pdf_p115.png,source_pdf_page = book_page + 18,source scan for checking
I,98,116,page_images/book_p098_pdf_p116.png,source_pdf_page = book_page + 18,source scan for checking
I,99,117,page_images/book_p099_pdf_p117.png,source_pdf_page = book_page + 18,source scan for checking
I,100,118,page_images/book_p100_pdf_p118.png,source_pdf_page = book_page + 18,source scan for checking
I,101,119,page_images/book_p101_pdf_p119.png,source_pdf_page = book_page + 18,source scan for checking
I,102,120,page_images/book_p102_pdf_p120.png,source_pdf_page = book_page + 18,source scan for checking
I,103,121,page_images/book_p103_pdf_p121.png,source_pdf_page = book_page + 18,source scan for checking
I,104,122,page_images/book_p104_pdf_p122.png,source_pdf_page = book_page + 18,source scan for checking
I,105,123,page_images/book_p105_pdf_p123.png,source_pdf_page = book_page + 18,source scan for checking
I,106,124,page_images/book_p106_pdf_p124.png,source_pdf_page = book_page + 18,source scan for checking
I,107,125,page_images/book_p107_pdf_p125.png,source_pdf_page = book_page + 18,source scan for checking
I,108,126,page_images/book_p108_pdf_p126.png,source_pdf_page = book_page + 18,source scan for checking
I,109,127,page_images/book_p109_pdf_p127.png,source_pdf_page = book_page + 18,source scan for checking
