"branch_head","corpus_scope","term_family","source_rows","unique_entry_paths","total_occurrences_in_scanned_entries","formula_neighboring_rows","source_use_label","draft_status","mapping_translation_approval_delta"
"faa2c330deb886098750dafb5c500e244e1333fe","Gauss source corpus","inverse","2","2","2","2","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Gauss source corpus","relation","6","6","12","5","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","domain/range","4","4","39","2","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","function","9","9","50","4","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","image/kernel","1","1","2","1","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","inverse","2","2","2","2","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","mapping","5","5","15","2","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","morphism","6","6","33","2","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","relation","8","8","42","6","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","function","4","4","6","3","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","functor","13","13","77","10","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","graph","2","2","2","2","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","image/kernel","13","13","74","11","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","inverse","8","8","12","8","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","mapping","12","12","35","9","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","morphism","15","15","274","13","source-backed relation/function support row","support-only/noncanonical","0/0/0"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","relation","15","15","86","14","source-backed relation/function support row","support-only/noncanonical","0/0/0"
