"branch_head","blocker_id","scope","path","finding","next_action","boundary"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-001","R3 0D/1233 source-gated boundary","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-002","R3 0D/1233 source-gated boundary","interlanguage-sidecar/rtl-persianate-arabic-0d148231-1233-current-head-source-gated-boundary-20260706/R3_0D148231_1233_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T144535Z/R3_0D148231_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-003","R3 1233/C33 source-gated boundary","interlanguage-sidecar/rtl-persianate-arabic-1233d6f-c33-current-head-source-gated-boundary-20260706/R3_1233D6F_C33_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T143733Z/R3_1233D6F_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-004","R3 1233/C33 source-gated boundary","interlanguage-sidecar/rtl-persianate-arabic-1233d6f-c33-current-head-source-gated-boundary-20260706/R3_1233D6F_C33_CURRENT_HEAD_SOURCE_GATED_BOUNDARY_20260706_20260706T143733Z/R3_1233D6F_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-005","R3 C33 token-reset source-gated row refresh","interlanguage-sidecar/rtl-persianate-arabic-c33e09eb-token-reset-source-gated-row-refresh-20260706/R3_C33E09EB_TOKEN_RESET_SOURCE_GATED_ROW_REFRESH_20260706_20260706T142043Z/R3_C33E09EB_BLOCKERS_ACTIVE_RECOVERY_ROWS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-006","R3 C33 token-reset source-gated row refresh","interlanguage-sidecar/rtl-persianate-arabic-c33e09eb-token-reset-source-gated-row-refresh-20260706/R3_C33E09EB_TOKEN_RESET_SOURCE_GATED_ROW_REFRESH_20260706_20260706T142043Z/R3_C33E09EB_CURRENT_HEAD_BLOCKERS_NEXT_ACTIONS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-007","Old-B post-1233 readonly/delta audit","transfer-audits/old-b/OLD_B_A7D70DEA_READONLY_DELTA_AUDIT_20260706/BLOCKERS_AND_B3_ACTIONS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-008","Old-B post-1233 readonly/delta audit","transfer-audits/old-b/OLD_B_DE6C1348_READONLY_DELTA_AUDIT_20260706/BLOCKERS_AND_B3_ACTIONS.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-009","B3 session12 0D/1233/A7D transfer audit","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_0D148231_R6_R3_OLDB_1233_A7D_BATCH_20260706_PLACEHOLDER_REVIEW.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
"faa2c330deb886098750dafb5c500e244e1333fe","FAA2-BRANCH-GAP-010","B3 session12 0D/1233/A7D transfer audit","transfer-audits/session12-20260705/B3_WHOLE_CORPUS_33B23_PACKAGE_QUEUE_20260706/B3_POST_1233D6F1_R3_C33_TOKEN_RESET_SOURCE_GATED_ROW_REFRESH_20260706_PLACEHOLDER_REVIEW.csv","branch-visible blocker/gap/recovery path","route to owning lane/B3; do not promote to reviewer return or approval","gap/recovery only"
