"branch_head","corpus_scope","term_family","term_id","entry_path","entry_sha256","first_line_number","formula_neighboring","context_excerpt","source_use_label","draft_status","boundary"
"faa2c330deb886098750dafb5c500e244e1333fe","Gauss source corpus","inverse","inverse","modern-latex-manuscripts-20260609-174659/sources/gauss/band-ii-pilot-current/gauss-band-ii-pilot/cumulative-current/english_translation/tex/Gauss Band II - Theorematis Arithmetici Demonstratio Nova Articles 5-7 - English Translation.tex","f0cb302c79f40e3931e3883f89010c43f78e64bd3acaed9efc83f9ab8a6cef82","25","true","h$. From this it is readily concluded that among the multiples of the reciprocal quantity $\dfrac{1}{x}$, $\dfrac{2}{x}$, $\dfrac{3}{x},\dots$ up to $","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Gauss source corpus","relation","relation","modern-latex-manuscripts-20260609-174659/sources/gauss/band-ii-pilot-current/gauss-band-ii-pilot/cumulative-current/english_translation/tex/Gauss Band II - Theorematis Arithmetici Demonstratio Nova Articles 5-7 - English Translation.tex","f0cb302c79f40e3931e3883f89010c43f78e64bd3acaed9efc83f9ab8a6cef82","126","true","t necessarily be even and the other odd. Thus, in the former case the relation of $k$ to $p$ and the relation of $p$ to $k$ - insofar as one is or is","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","domain/range","domain_range","modern-latex-manuscripts-20260609-174659/sources/noether/final-numbered-papers-audit-with-table-restoration/Noether_Batch51_Paper43_Idealdifferentiation_complete_English_Translation_MODERN_TEX.tex","79c5e04d37aee87f431520522ebc5402fe7bee56962ef43f1f8e98054380e173","52","true","er when $e$ is not divisible by the characteristic of the coefficient domain, and by a higher power when $e$ is divisible by the characteristic. I sh","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","function","function","modern-latex-manuscripts-20260609-174659/sources/noether/final-numbered-papers-audit-with-table-restoration/Noether_Batch51_Paper43_Idealdifferentiation_complete_English_Translation_MODERN_TEX.tex","79c5e04d37aee87f431520522ebc5402fe7bee56962ef43f1f8e98054380e173","76","false","dulo a prime-power, relative differents, and differents for algebraic functions of several indeterminates. The agreement of this differential definit","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","image/kernel","image_kernel","modern-latex-manuscripts-20260609-174659/sources/noether/final-numbered-papers-audit-with-table-restoration/Noether_Batch51_Paper43_Idealdifferentiation_complete_English_Translation_MODERN_TEX.tex","79c5e04d37aee87f431520522ebc5402fe7bee56962ef43f1f8e98054380e173","109","true","frak o$ with these two factors commuting elementwise is a homomorphic image of the direct product. \paragraph{2. Criterion for existence.} The direct","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","inverse","inverse","modern-latex-manuscripts-20260609-174659/sources/noether/final-numbered-papers-audit-with-table-restoration/Noether_Batch51_Paper43_Idealdifferentiation_complete_English_Translation_MODERN_TEX.tex","79c5e04d37aee87f431520522ebc5402fe7bee56962ef43f1f8e98054380e173","336","true",")_{i,j} \quad\text{and}\quad (A_j^{(i)})_{i,j} \] are reciprocal: \[ (\alpha_j^{(i)})(A_j^{(i)})^{t}=E_n. \] The complement of","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","mapping","mapping_map","modern-latex-manuscripts-20260609-174659/sources/noether/paper-level-edition/paper23-complete/Noether_Batch33_Paper23_algebraic_and_differential_invariants_English_Translation_MODERN_TEX.tex","74a8f881571b48f4f57c37bca69ad174bfa11f87fab3afc83d2af04734abc44b","69","true","tes $a,b,\ldots,x,y,\ldots$ --- where also $y=S(y')$ --- which, under application of the transformations, reproduces itself up to a factor, a power of","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","morphism","morphism","modern-latex-manuscripts-20260609-174659/sources/noether/final-numbered-papers-audit-with-table-restoration/Noether_Batch51_Paper43_Idealdifferentiation_complete_English_Translation_MODERN_TEX.tex","79c5e04d37aee87f431520522ebc5402fe7bee56962ef43f1f8e98054380e173","74","true","by all differences $x-\xi$, where $x$ and $\xi$ correspond under the isomorphism from $\mathfrak O$ to $\mathfrak o$; the difference quotient is the","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","Noether source corpus","relation","relation","modern-latex-manuscripts-20260609-174659/sources/noether/final-numbered-papers-audit-with-table-restoration/Noether_Batch51_Paper43_Idealdifferentiation_complete_English_Translation_MODERN_TEX.tex","79c5e04d37aee87f431520522ebc5402fe7bee56962ef43f1f8e98054380e173","54","true","\mathfrak o$. The defining ideal $\mathfrak M$ is the totality of the relations among the $\omega_i$, namely all integral polynomials $f(x)$ such that","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
"faa2c330deb886098750dafb5c500e244e1333fe","SGA source corpus","function","function","modern-latex-manuscripts-20260609-174659/sources/sga/00 SGA - Current Sources and SGA 5 High-Fidelity Edition/sga6-diagram-audited-through-page-353/English/SGA6_Expose_V_pages_331_353_English.tex","ce5a1491a501d9618cf2247e5748742b2e421ad5c5ea6b28e9cae592744c17a3","293","true","1\le k\le n\), \(\gamma^k(x-n)\) is the \(k\)-th elementary symmetric function of the \(y_i-1\). This follows from \[ \gamma_t(x-n)=\prod_{i=1}^{n}\","source-backed relation/function support row","support-only/noncanonical","sample source context for owner-lane review; not accepted terminology"
