table,source_page,row,column_or_columns,current_reading,status,audit_origin,evidence,notes
I,91,"u=0,x=15","u=0,x=15","H_k(k·ϑ,ηx)^4",carried_forward_prior_source_repair,RA31,prior_tableI_checks_RA31.csv,Inserted source-visible middle dot between k and ϑ.
I,91,"u=0,x=17","u=0,x=17","θ_l(ϑ·k,lx)^5",carried_forward_prior_source_repair,RA31,prior_tableI_checks_RA31.csv,Inserted source-visible middle dot.
I,91,"u=10,x=1","u=10,x=1",L_j; (jσx); a_η(aH^2u)^3,carried_forward_prior_source_repair,RA31,prior_tableI_checks_RA31.csv,Removed erroneous square on L_j.
I,91,"u=12,x=1","u=12,x=1",a_l(aLu)^2L_j,carried_forward_prior_source_repair,RA31,prior_tableI_checks_RA31.csv,Corrected subscript η to lower-case ell l.
I,91,"u=13,x=2","u=13,x=2",(θH^2u)^3,carried_forward_prior_source_repair,RA31,prior_tableI_checks_RA31.csv,Corrected exponent on H from 3 to 2.
I,91,"u=14,x=1","u=14,x=1","(a,H·L,u)^4",carried_forward_prior_source_repair,RA31,prior_tableI_checks_RA31.csv,"Corrected to source transvectant argument a, not a_η."
II,92,0,"6,13,15","s_vartheta^2, row-13 two-line theta/nu block, and theta_eta exponent/subscript restored",carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,1,"7,8,9,10,14","s_vartheta; s_k^2/(Delta su); s_nu(Nsu); ((k nu x)^3,s,u)s_nu; exponent 3 restored",carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,2,"6,7,9,11,13",Delta su squared; row 7 two-line s_nu cell; theta_eta(vartheta eta x)^2; k nu/k eta entries restored,carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,3,"4,6,7,8,9,10",a_nu^2 restored; a_eta^2 su; missing s_k(Ksu); k-nu exponent in transvectant restored,carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,4,"3,5,7",theta_nu^3 su; s_k(Ksu)^2; Delta_nu su and a_eta su restored,carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,5,"4,5,6",theta_nu(vartheta nu x) transvectant parentheses; (j nu x)^3; s_l restored,carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,6,"3,5,7",a_eta(aHu) cells restored; removed spurious s_eta(asu); theta Hu/s_eta cell restored,carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,7,"2,3,4,5,6",product a_nu^2 dot a_nu1^2; s_j(asu)^2; (jnu x)s_nu cell; theta_eta su line; split aLu/as u lines,carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slice1
II,92,8-23,all,not touched in this tranche; next target,carried_forward_prior_source_repair,RA33,prior_tableII_top_checks_RA33.csv,p92 slices2-3
II,92,8,see prior ledger,"Corrected a_nu^2 dot product, s_k(Ks^2u)^6, (vartheta nu x) not j, row cell exponents, a_lsu, K_nu su/K_eta su.",carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice2
II,92,9,see prior ledger,"Corrected K_nu^2su, Lsu block, (Ks^2u)^6 block, K_nu su, a_nu(jnu x) block.",carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice2
II,92,10,see prior ledger,Corrected row alignment/column position; K_nu su^4 block moved to source column; restored H_j su and aLu block.,carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice2
II,92,11,see prior ledger,"Corrected K_eta(KHu)^2 block, a_nu dot H, H^2su, theta_l(thetaLu)^2, and (KHu)^2 exponent 2.",carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice2
II,92,12,see prior ledger,"Corrected a_eta(aHu)^2 dot H, ((thetaLu)^2,s,u)^2 and retained untagged ((thetaLu)^3,s,u).",carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice2/3
II,92,13,see prior ledger,"Corrected KHu exponent, theta_nu dot H, (jnu x)^2 dot H, and aHu^2 dot H block.",carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,14,see prior ledger,Corrected dot-H notation and KLu placement; no extra invented separators.,carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,15,see prior ledger,"Corrected a_l(aLu)^2 dot H (not power 3), theta H^2u line, and thetaHu^2 dot H.",carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,16,see prior ledger,Corrected a_nu dot H_j replacing sigma dot H_j; preserved source row of jeta/H_j/aLu dot-H terms.,carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,17,see prior ledger,Corrected theta_l(thetaLu)^2 dot H and KH^3u exponent 4.,carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,18,see prior ledger,Corrected aHu^2 dot H_j in row 18.,carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,19,see prior ledger,Source-visible row retained with dot-H notation.,carried_forward_prior_checked,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,20,see prior ledger,Corrected KLu dot-H exponent 4 and aLu dot H_j exponent 2.,carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,21,see prior ledger,"Corrected theta H^2u, not theta H^3u; retained aLu^2 dot H_j.",carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,22,see prior ledger,Row is source-empty.,carried_forward_prior_checked_empty,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
II,92,23,see prior ledger,Corrected KH^2u and aH^2u final row entries.,carried_forward_prior_fixed,RA34,prior_tableII_lower_checks_RA34.csv,p092 slice3
I,91,title,n/a,TABELLE I (s. S. 90).,new_source_backed_fix,Web 20260718,p091 full/strips,source capitalization and terminal period
I,91,header,top-left,blank,new_source_backed_fix,Web 20260718,p091 strip1,removed diagbox not present in source
I,91,15,x0,"L_vartheta(theta,H dot L,u)^4",new_source_backed_fix,Web 20260718,p091 strip2,subscript 9 corrected to vartheta
I,91,16,x0,"(theta,H dot L,u)^4",new_source_backed_fix,Web 20260718,p091 strip2,exponent 5 corrected to 4
II,92,title,n/a,TABELLE II (s. S. 90).,new_source_backed_fix,Web 20260718,p092 full/strips,source capitalization and terminal period
II,92,header,top-left,blank,new_source_backed_fix,Web 20260718,p092 strip1,removed diagbox not present in source
II,92,6,x5,"s_j(asu); ((vartheta nu x),s,u)^3; (theta_nu su)",new_source_backed_fix,Web 20260718,p092 strip1,restored missing first line and unsquared theta_nu
II,92,8,x1,... (theta_nu su)^3,new_source_backed_fix,Web 20260718,p092 strip2,eta corrected to nu
I,91,0,all columns 0-21,live TeX row 0; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,title/header and row geometry also reopened
I,91,1,all columns 0-21,live TeX row 1; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,2,all columns 0-21,live TeX row 2; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,3,all columns 0-21,live TeX row 3; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,4,all columns 0-21,live TeX row 4; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,Greek-nu family retained
I,91,5,all columns 0-21,live TeX row 5; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,6,all columns 0-21,live TeX row 6; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,7,all columns 0-21,live TeX row 7; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,8,all columns 0-21,live TeX row 8; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,9,all columns 0-21,live TeX row 9; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,10,all columns 0-21,live TeX row 10; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,body L_j^2 remains distinct from table L_j
I,91,11,all columns 0-21,live TeX row 11; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,12,all columns 0-21,live TeX row 12; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
I,91,13,all columns 0-21,live TeX row 13; populated and empty cells checked,current_head_row_reopened_no_new_delta,local integration lane 20260718,p091 full 650dpi; p091 1000dpi strips; current output p41 1000dpi,no new delta
