source_page_or_leaf,kind,current_output_page_or_range,mapping_basis,notes
58,printed_page,22,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
59,printed_page,22-23,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
60,printed_page,23-24,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
61,printed_page,24,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
62,printed_page,24-25,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
63,printed_page,25-26,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
64,printed_page,25-26,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
65,printed_page,26-27,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
66,printed_page,26-27,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
67,printed_page,27-28,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
68,printed_page,28-29,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
69,printed_page,29-30,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
70,printed_page,30-31,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
71,printed_page,30-31,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
72,printed_page,31-32,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
73,printed_page,31-32,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
74,printed_page,32-33,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
75,printed_page,32-33,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
76,printed_page,32-33,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
77,printed_page,33-34,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
78,printed_page,33-34,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
79,printed_page,34-35,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
80,printed_page,35,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
81,printed_page,35-36,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
82,printed_page,36,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
83,printed_page,37,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
84,printed_page,37-38,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
85,printed_page,38,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
86,printed_page,38-39,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
87,printed_page,39,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
88,printed_page,39,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
89,printed_page,39-40,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
90,printed_page,40,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
91,table_leaf,41,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
92,table_leaf,42,"section/formula/table anchors plus current PDF text/layout; locator mapping, not facsimile pagination",Output locator range derived from current rendered anchors; source page remains authority.
93,next_article_boundary_leaf,,no P02 output page,Excluded from P02 body.
94,next_article_boundary_leaf,,no P02 output page,Excluded from P02 body.
95,next_article_boundary_leaf,,no P02 output page,Excluded from P02 body.
96,next_article_boundary_leaf,,no P02 output page,Excluded from P02 body.
