check,result,status
web_base_sha256,83598E8EA60C0DA49E8BD8A937E7DDF70F5AE413DA43BE45CEFC11AEBE938225,recorded
web_candidate_first_sha256,E03ED9F8B2EBC041D56309CDD1528CA5DF0EDD09BFD31952B201914A086F58F5,recorded
web_candidate_second_partial_sha256,ED8D8F6C621C202D59727457642A6A82844A1DD8F567E5D6E94D48A069C09701,recorded
current_premerge_sha256,5D159B7457F2ACBAD583C82D391476659101F9519E7A4B45C97D4BD8A48C7AFD,recorded
final_tex_sha256,9545884841ECEFDE816A31D4B69B17C2A7F6635AC82D0E14AE8DE60E2E7C063A,recorded
final_pdf_sha256,CC1D7A54C4889FDC4765A0F89E69E9B2A93B5E885B193DFCB8C63C9324C65BED,recorded
exact_diff_sha256,41BF153FCAB0B6410697D7F16581C2541FE9B2B4400DD1E6A252E4139F84E44C,recorded
diff_hunks,53,pass
diff_added_removed_lines,262 added; 249 removed,pass
merge_scope,P02 only; P04 and later-head sentinels preserved,pass
genuine_latin_v_survival,variables y and v retained; 30 residual genuine Latin-v contexts,pass
P04_sentinels,sigma>=tau; rho<=n; q_{rho-(tau-sigma)}; p_{tau-(tau-sigma)} all present,pass
P21_prime_cluster,opening f'(dx); unprimed Hessian; formula140 f(x'); delta f'; f_delta numerator unprimed,no_patch_source_confirmed
