check,result,status
pdf_pages,466,pass
xelatex_passes,2,pass
fatal_or_emergency,0,pass_if_zero
undefined_control_or_reference,0,pass_if_zero
box_warnings,0,pass_if_zero
rerun_warnings,0,pass_if_zero
visual_QA_pages,"24,35,36,37,38,39,40,41,42",opened_and_inspected
table_output_1000dpi,"41,42",opened_and_row_rechecked
final_recompile_pixel_check,output p35 SHA identical before/after final two-pass compile,pass
tex_sha256,9545884841ECEFDE816A31D4B69B17C2A7F6635AC82D0E14AE8DE60E2E7C063A,recorded
pdf_sha256,CC1D7A54C4889FDC4765A0F89E69E9B2A93B5E885B193DFCB8C63C9324C65BED,recorded
