guard_id,page,locus,tempting_change,controlling_reading,basis,status
P02-GUARD-001,66,body L_j^2,remove square,retain L_j^2,RA65 direct 1000-dpi source trap,no_patch
P02-GUARD-002,91,Table I u10 x1,L_j^2,L_j,Table I source witness and RA31,retain_current
P02-GUARD-003,92,Table II u8 x0,regularize repeated a_nu^2 family,retain source-visible repeated a_nu^2 dot a_nu^2,Web full table audit/source page,no_patch
P02-GUARD-004,92,Table II u15 x2,normalize exponent structure,retain current source-attested exponent structure,Web full table audit/source page,no_patch
P02-GUARD-005,92,Table II row u22,populate row from pattern,source-empty row,RA34 and Web table audit,no_patch
P02-GUARD-006,93-96,post-table leaves,include in P02,following article boundary,Web boundary check and source PDF,exclude_from_P02
P02-GUARD-007,opening setup before assigned band,phrase variables y and v,inherit Web-base Greek nu at the final variable,retain genuine Latin variable v,"live premerge head and mathematical variable pairing x,u versus y,v; Web second candidate carried an inherited over-normalization",survival_guard_retain_current
P02-GUARD-008,60-83,polar and variable Latin-v contexts,replace every remaining v globally,retain 30 source-controlled genuine Latin-v contexts,family-count audit and direct source distinctions; only linked invariant-form compounds become Greek nu,no_blind_global_replacement
P02-GUARD-009,65,line-broken word modulo,read the split mod u / lo as u_10,"retain modulo (s,varrho,t,i,J)",full p65 source page and 1000-dpi strips,rejected_provisional_reading
P02-GUARD-010,"80,82",matrix continuation marker glyph,treat filled-star typography as a mathematical entry,continuation marker function is controlling; current big-star marker preserves the two source continuation joins,source matrix geometry and current rendered output,apparatus_geometry_guard
