row,status,source_slice,notes
8,fixed,p092 slice2,"Corrected a_nu^2 dot product, s_k(Ks^2u)^6, (vartheta nu x) not j, row cell exponents, a_lsu, K_nu su/K_eta su."
9,fixed,p092 slice2,"Corrected K_nu^2su, Lsu block, (Ks^2u)^6 block, K_nu su, a_nu(jnu x) block."
10,fixed,p092 slice2,Corrected row alignment/column position; K_nu su^4 block moved to source column; restored H_j su and aLu block.
11,fixed,p092 slice2,"Corrected K_eta(KHu)^2 block, a_nu dot H, H^2su, theta_l(thetaLu)^2, and (KHu)^2 exponent 2."
12,fixed,p092 slice2/3,"Corrected a_eta(aHu)^2 dot H, ((thetaLu)^2,s,u)^2 and retained untagged ((thetaLu)^3,s,u)."
13,fixed,p092 slice3,"Corrected KHu exponent, theta_nu dot H, (jnu x)^2 dot H, and aHu^2 dot H block."
14,fixed,p092 slice3,Corrected dot-H notation and KLu placement; no extra invented separators.
15,fixed,p092 slice3,"Corrected a_l(aLu)^2 dot H (not power 3), theta H^2u line, and thetaHu^2 dot H."
16,fixed,p092 slice3,Corrected a_nu dot H_j replacing sigma dot H_j; preserved source row of jeta/H_j/aLu dot-H terms.
17,fixed,p092 slice3,Corrected theta_l(thetaLu)^2 dot H and KH^3u exponent 4.
18,fixed,p092 slice3,Corrected aHu^2 dot H_j in row 18.
19,checked,p092 slice3,Source-visible row retained with dot-H notation.
20,fixed,p092 slice3,Corrected KLu dot-H exponent 4 and aLu dot H_j exponent 2.
21,fixed,p092 slice3,"Corrected theta H^2u, not theta H^3u; retained aLu^2 dot H_j."
22,checked empty,p092 slice3,Row is source-empty.
23,fixed,p092 slice3,Corrected KH^2u and aH^2u final row entries.
