fix_id,source_page,tex_anchor,old_text,new_text,source_reading,mathematical_or_editorial_impact,finder,adjudicator,evidence_path,replacement_count,integration_status
P02-WEB-001-p058-formula14-left-number,58,formula (14.),"\[
\tag{14.}
s_\vartheta^2(\theta su)=\frac45\theta_\varrho(\vartheta\varrho x)+\frac25(atu).
\]","\srcnumdisplay{(14.)}{%
s_\vartheta^2(\theta su)=\frac45\theta_\varrho(\vartheta\varrho x)+\frac25(atu).
}",left-margin equation number (14.),source-layout fidelity and formula navigation,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_p058_slice1of3_1000dpi.png,1,promoted_into_current_head
P02-WEB-002-p071-german-quotes,71,phrase höhere Formen,Als ``höhere Formen'' definieren,Als \glqq{}höhere Formen\grqq{} definieren,German source quotation marks,prose/source punctuation,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_printed_p069_650dpi.png; original PDF p71,1,promoted_into_current_head
P02-WEB-003-p060-083-linked-form-nu-family,60-83,linked invariant-form symbol family,standalone form-letter v in §§12–24,\nu,Greek nu throughout the linked family; genuine polar Latin v retained,mathematical symbol-family identity across definitions and proofs,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,"02_source_selected/p060,p069,p083 witnesses; web_base_to_web_candidate.diff",508,promoted_into_current_head
P02-WEB-004-p091-tableI-title,91,Table I title,\begin{center}\bfseries Tabelle I (s. S. 90)\end{center},\begin{center}\bfseries TABELLE I (s. S. 90).\end{center},TABELLE I (s. S. 90).,table identity/layout,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_printed_p091_650dpi.png,1,promoted_into_current_head
P02-WEB-005-p091-tableI-blank-corner,91,Table I top-left corner,\diagbox{$u$}{$x$} & 0 & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13 & 14 & 15 & 16 & 17 & 18 & 19 & 20 & 21 \\ \hline,{} & 0 & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13 & 14 & 15 & 16 & 17 & 18 & 19 & 20 & 21 \\ \hline,source-empty corner,table geometry,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_p091_slice1of3_1000dpi.png,1,promoted_into_current_head
P02-WEB-006-p091-tableI-r15c0-vartheta,91,Table I u15 x0,"15 & \mcell{L_9(\theta,H\!\cdot L,u)^4}","15 & \mcell{L_\vartheta(\theta,H\!\cdot L,u)^4}",L_vartheta,mathematical subscript identity,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_p091_slice2of3_1000dpi.png,1,promoted_into_current_head
P02-WEB-007-p091-tableI-r16c0-exponent,91,Table I u16 x0,"16 & \mcell{(\theta,H\!\cdot L,u)^5}","16 & \mcell{(\theta,H\!\cdot L,u)^4}",exponent 4,mathematical exponent,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_p091_slice2of3_1000dpi.png,1,promoted_into_current_head
P02-WEB-008-p092-tableII-title,92,Table II title,\begin{center}\bfseries Tabelle II (s. S. 90)\end{center},\begin{center}\bfseries TABELLE II (s. S. 90).\end{center},TABELLE II (s. S. 90).,table identity/layout,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_printed_p092_650dpi.png,1,promoted_into_current_head
P02-WEB-009-p092-tableII-blank-corner,92,Table II top-left corner,\diagbox{$u$}{$x$} & 0 & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13 & 14 & 15 & 16 \\ \hline,{} & 0 & 1 & 2 & 3 & 4 & 5 & 6 & 7 & 8 & 9 & 10 & 11 & 12 & 13 & 14 & 15 & 16 \\ \hline,source-empty corner,table geometry,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_p092_slice1of3_1000dpi.png,1,promoted_into_current_head
P02-WEB-010-p092-tableII-r6c5-linked-cell,92,Table II u6 x5,"\mcell{((\vartheta\nu x),s,u)^3\\(\theta_\nu^2su)}","\mcell{s_j(asu)\\((\vartheta\nu x),s,u)^3\\(\theta_\nu su)}","three-line cell with s_j(asu), transvectant, and unsquared theta_nu",missing mathematical term and wrong exponent,external proposal lane P02 assigned lane,local integration lane exact rebase plus direct source inspection for p58/p60/p69/p83/p91/p92; remaining page-level source audit attributed to Web,02_source_selected/noether_paper02_p092_slice1of3_1000dpi.png,1,promoted_into_current_head
