concept_id,source_unit_id,language_tag,script_profile,term_form,register,sense_window,excluded_senses,trap_class,basin_membership,evidence_channel,source_provenance,dominant_standard_risk,dominance_debt_note,underrepresented_cohort_effect,decision_status,review_status,decision_record_path
noe.p27.hilbert_numbers,Noether-P27,ko-KR,Hangul-first with German control,힐베르트 수 (Hilbertsche Anzahlen),historical commutative algebra,"아이디얼의 잉여류를 세며 대응 소 아이디얼의 잉여류체에 관해 선형 독립인 잉여류의 수",힐베르트 다항식; 현대의 독립된 힐베르트 함수 명칭,historical_eponym_term,mixed_or_contested,candidate,"ko/Noether_Paper27_Korean_v001.tex SHA256 7B67FFBE9A350E3CD06730A807ABF5AF4C4712B095E36983911611DBE79D8B73; KO-P27-E04 is near only",risk,"Mandarin-Simplified material may dominate a broader CJK shelf but is not counted here; exact Korean and DPRK witnesses remain missing",potentially_distorted,held,internally_reviewed,decisions/NOE-P27-HILBERT_NUMBERS.ko.json
noe.p27.characteristic_function,Noether-P27,ko-KR,Hangul-first with German control,특성 함수 (charakteristische Funktion),historical commutative algebra,"힐베르트가 다항식환 아이디얼의 충분히 높은 차수에서 독립 잉여류 수를 주도록 제시한 인용부호 속 함수",현대 지시 함수; 일반적인 특성 함수,indicator_collision,modern_sino_xenic_coinage_or_calque,adverse,"terminology/ADVERSE_EVIDENCE_LEDGER.csv#KO-P27-A03; Korean TeX SHA256 7B67FFBE9A350E3CD06730A807ABF5AF4C4712B095E36983911611DBE79D8B73",risk,"No exact independent Korean historical witness; Mandarin-Simplified terminology is barred from filling the Korean channel",potentially_distorted,held,internally_reviewed,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.characteristic_function
noe.p27.residue_class,Noether-P27,ko-KR,Hangul-first,잉여류,historical ideal theory,"아이디얼에 관해 나눈 뒤 세는 선형 독립 잉여류",부분군의 좌잉여류/우잉여류만을 뜻하는 군론 문맥,group_coset_vs_ideal,modern_sino_xenic_coinage_or_calque,candidate,"KO-P27-E06; source SHA256 126630EACFF9760F464331A29A6B01C5A620A39EFF880EDFEDDB4BA41DD17C0F",risk,"Only Korean group-coset near evidence was recovered; no Mandarin-Simplified substitute is admitted",potentially_distorted,candidate_after_context_check,context_checked,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.residue_class
noe.p27.polynomial_domain,Noether-P27,ko-KR,Hangul-first,다항식환,commutative algebra,"힐베르트의 함수가 적용되는 다항식환의 아이디얼",다항식 집합 일반; 함수 공간,none,modern_sino_xenic_coinage_or_calque,support,"KO-P27-E08; source SHA256 4908F61BE470329B2D34B8ADF71E1D17E3E7A2800409358791D9827A0C8FCBCD",clear,"Independent Korean row evidence exists; Mandarin-Simplified evidence contributes no support mass",not_applicable,row_verified_witness,sense_checked,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.polynomial_domain
noe.p27.generating_function,Noether-P27,ko-KR,Hangul-first,생성 함수,historical algebra and combinatorics,"매콜리가 낮은 차수 값을 보완하기 위해 도입하고 오스트롭스키가 명시적으로 계산한 함수",함수를 생성하는 일반 절차; 소프트웨어 생성기,none,modern_sino_xenic_coinage_or_calque,absence,"terminology/ADVERSE_EVIDENCE_LEDGER.csv#KO-P27-A09; Korean TeX SHA256 7B67FFBE9A350E3CD06730A807ABF5AF4C4712B095E36983911611DBE79D8B73",risk,"No exact local Korean row was recovered; Mandarin-Simplified evidence is not allowed to close the gap",potentially_distorted,held,internally_reviewed,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.generating_function
noe.p27.primary_ideal,Noether-P27,ko-KR,Hangul-first,으뜸 아이디얼,commutative algebra,"일반 분해 정리에 따라 힐베르트 수의 정의를 그 경우로 환원하는 아이디얼 q",소 아이디얼; 주 아이디얼,ideal_type,mixed_or_contested,support,"KO-P27-E01; source SHA256 5E43EE8C26920DB9CDAF9A65D196378A4D9A949B1C9BB06ED28D71363E17F4A5",clear,"Independent Korean source evidence exists; Mandarin-Simplified evidence is not counted",not_applicable,internally_reviewed_for_use,sense_checked,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.primary_ideal
noe.p27.prime_ideal,Noether-P27,ko-KR,Hangul-first,소 아이디얼,commutative algebra,"으뜸 아이디얼 q에 대응하고 잉여류체를 정하는 소 아이디얼 p",으뜸 아이디얼; 주 아이디얼,ideal_type,mixed_or_contested,support,"KO-P27-E02; source SHA256 C495ECF1F47A5693A0DFC02DD83F0D279257FE546D1B88D15D2B1484B616EBC2",clear,"Independent Korean source evidence exists; Mandarin-Simplified evidence is not counted",not_applicable,internally_reviewed_for_use,sense_checked,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.prime_ideal
noe.p27.residue_field,Noether-P27,ko-KR,Hangul-first with English and German controls,잉여류체 (residue field; Restklassenkörper),historical ideal theory,"대응 소 아이디얼 p에 대한 몫으로 얻어 선형 독립성을 재는 체",일반 몫환; 군의 잉여류 집합,quotient_ring_vs_field,modern_sino_xenic_coinage_or_calque,absence,"terminology/ADVERSE_EVIDENCE_LEDGER.csv#KO-P27-A05; Korean TeX SHA256 7B67FFBE9A350E3CD06730A807ABF5AF4C4712B095E36983911611DBE79D8B73",risk,"No exact independent Korean witness; Mandarin-Simplified terminology cannot fill the Korean support channel",potentially_distorted,held,internally_reviewed,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.residue_field
noe.p27.irreducible_components,Noether-P27,ko-KR,Hangul-first with German control,기약 성분 (irreduzible Komponenten),historical ideal theory,"q와 q/p^i 계열의 각 부분계 수를 주는 기약 성분",대수기하학적 공간의 기약 성분,geometry_vs_composition,modern_sino_xenic_coinage_or_calque,adverse,"terminology/ADVERSE_EVIDENCE_LEDGER.csv#KO-P27-A06; Korean TeX SHA256 7B67FFBE9A350E3CD06730A807ABF5AF4C4712B095E36983911611DBE79D8B73",risk,"Historical Korean sense evidence is absent; Mandarin-Simplified parallels are comparison-only",potentially_distorted,held,internally_reviewed,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.irreducible_components
noe.p27.composition_series,Noether-P27,ko-KR,Hangul-first,합성열,module and ideal theory,"q/p^i에서 q/p^(i-1)까지 이어지며 항 수가 i번째 부분계 수를 특징짓는 열",임의의 수열; 함수 합성의 열,none,modern_sino_xenic_coinage_or_calque,support,"KO-P27-E03; source SHA256 F7494F0E16679373A9D4D8A5489C898533FA62BDF6C7C98D1B9EA2DD8C1C2092",clear,"Independent Korean module-theory evidence exists; Mandarin-Simplified evidence is not counted",not_applicable,row_verified_witness,sense_checked,terminology/TERMINOLOGY_LEDGER.csv#noe.p27.composition_series
