unit_id,scope,source_tex_path,source_tex_line_start,source_tex_line_end,printed_volume_page_start,printed_volume_page_end,source_pdf_page_start,source_pdf_page_end,target_tex_path,target_tex_line_start,target_tex_line_end,external_candidate_md_line_start,external_candidate_md_line_end,alignment_status,notes
SGA2-I2-000,"Section heading, Definition 2.1, and derived-functor introduction","source_control/french_arxiv/smf_doc-math_4_01.tex",280,288,13,13,18,18,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",73,90,743,759,pass,"Underlined sheaf H/Gamma distinguished from global H/Gamma; candidate loses the definition's second underline/subscript."
SGA2-I2-001,"Excision, Proposition 2.2, Corollary 2.3; equations (19)-(20)","source_control/french_arxiv/smf_doc-math_4_01.tex",290,306,13,13,18,18,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",92,118,761,790,pass,"Plain source arrow, restriction functor, injective preservation, and open case retained."
SGA2-I2-002,"Proposition 2.3 bis and Corollary 2.4; equations (21), (21 bis), presheaf","source_control/french_arxiv/smf_doc-math_4_01.tex",308,327,13,14,18,18,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",119,149,791,825,pass,"Corrected 2.3-bis numbering/editor note and global versus underlined Ext preserved."
SGA2-I2-003,"Corollary 2.5, Theorem 2.6, Remarks 2.7; equations (22), (23), (23 bis)","source_control/french_arxiv/smf_doc-math_4_01.tex",329,355,14,15,18,19,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",150,192,826,877,pass,"i^* restored; closure bars, boundary support, E2 term, and corrected 23-bis label retained."
SGA2-I2-004,"Theorem 2.8 and construction of the long exact sequence; equations (24)-(25)","source_control/french_arxiv/smf_doc-math_4_01.tex",357,372,15,15,19,19,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",194,236,879,906,pass,"Corrected reference to (18) recorded; missing central support subscript in source equation (25) transparently restored."
SGA2-I2-005,"Closed-support reduction and Corollary 2.9; equations (26)-(27)","source_control/french_arxiv/smf_doc-math_4_01.tex",374,390,16,16,20,20,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",238,268,908,935,pass,"Restrictions, primes, support subsets, connecting maps, and printed-page transition checked."
SGA2-I2-006,"Relative interpretation and Corollaries 2.10-2.11; equations (24 bis), (28)-(29)","source_control/french_arxiv/smf_doc-math_4_01.tex",392,422,16,16,20,20,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",270,321,937,983,pass,"Every sheaf H underlined; f^* restored; omitted (F) in source equation (28) transparently supplied."
SGA2-I2-007,"Corollary 2.12 and flasque criterion","source_control/french_arxiv/smf_doc-math_4_01.tex",424,429,17,17,20,21,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",323,347,985,999,pass,"Corrected references to equation (27) and both vanishing directions preserved."
SGA2-I2-008,"Proposition 2.13, Corollary 2.14, and equivalence proof","source_control/french_arxiv/smf_doc-math_4_01.tex",430,468,17,18,21,21,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",349,402,1001,1055,pass,"Corrected second branch at line 466 used; inequalities, bijective/injective boundary, and both corrected 23-bis notes retained."
SGA2-I2-009,"Normal orientation sheaf, Gysin homomorphism, and corrected bibliography; equations (30)-(32)","source_control/french_arxiv/smf_doc-math_4_01.tex",470,503,18,18,22,22,"working/unit_I_2/SGA2_Expose_I_section_2_English_SourceAligned.tex",404,451,1057,1095,pass,"Source R^n retained; lowercase-x and grammatical anomalies documented; underlined T/H and one-way Gysin arrow preserved. Source line 482's second Theorem 2.6 to (23 bis) correction is consolidated in the target editorial note at lines 385-387."
