id,french_source,accepted_english,rejected_choice,scope,authority_basis,rationale,status
SGA2-T001,"partie fermée / partie localement fermée","closed subset / locally closed subset","closed part / locally closed part","SGA2 global","French mathematical usage plus SGA-wide English policy","Subset is idiomatic and does not modernize the mathematical category.",adopted
SGA2-T002,"faisceau abélien","sheaf of abelian groups","abelian sheaf where ambiguity matters","SGA2 global","SGA-wide clarity convention","Makes the object category explicit while retaining shorter phrasing only where harmless.",adopted
SGA2-T003,"immersion canonique","canonical immersion","canonical embedding","SGA2 global","French authority","Preserves the source term; no topological embedding claim is added.",adopted
SGA2-T004,"homomorphisme","homomorphism","map","SGA2 global","French authority and SGA-wide morphism policy","Use homomorphism for group/sheaf homomorphisms; reserve map for informal exposition.",adopted
SGA2-T005,"faisceau déduit de G en prolongeant par 0","sheaf obtained from G by extension by zero","zero-extended sheaf","SGA2 global","French authority and established English terminology","Extension by zero is the standard controlled term.",adopted
SGA2-T007,"flasque","flasque","flabby","SGA2 global","SGA5 lane usage and recovered SGA controls","Retains the established lane technical term; a later global policy merge may revisit consistently.",adopted
SGA2-T008,"Module","module","Module","SGA2 global","US mathematical prose policy","Ordinary mathematical nouns are lowercase except sentence/title position.",adopted
SGA2-T009,"faisceautisé / foncteur à valeurs faisceaux","underlined sheaf-valued functor","plain Gamma Z or calligraphic approximation","SGA2 global","French source notation and editor note","Underline is a mathematical decoration and must not be replaced silently.",adopted
SGA2-T010,"Hom global / Hom faisceautisé","Hom / underlined Hom","Hom / calligraphic Hom","SGA2 global","French source notation","The source explicitly distinguishes global Hom from internal/sheaf Hom by underlining.",adopted
SGA2-T011,"support","support","carrier","SGA2 global","SGA-wide English policy","Matches standard terminology and the recovered native controls.",adopted
SGA2-T012,"préfaisceau","presheaf","pre-sheaf","SGA2 global","Established English mathematical usage","Use the closed compound consistently.",adopted
SGA2-T013,"schéma / préschéma","scheme / prescheme, source-sensitive","modernize prescheme to scheme","SGA2 global","SGA-wide English policy","The volume uses prescheme materially; modernization is prohibited unless source-led.",adopted
SGA2-T014,"noethérien","noetherian","Noetherian in running prose","SGA2 global","SGA-wide English policy","Lowercase except sentence/title position.",adopted
SGA2-T015,"fibre / voisinage","fiber / neighborhood","fibre / neighbourhood","SGA2 global","SGA-wide English policy","US spelling is the lane default except quotations, titles, and documented exceptions.",adopted
SGA2-T016,"foncteurs dérivés en F","derived functors in the variable F","derivatives in F","Exposé I §2","French authority and homological-algebra usage","The phrase identifies the variable of derivation and must not be read analytically.",adopted
SGA2-T017,"suite spectrale aboutissant à","spectral sequence abutting to","spectral sequence leading to","SGA2 global","French authority and established spectral-sequence register","Abutting preserves the technical convergence claim without paraphrasing it away.",adopted
SGA2-T018,"faisceautiser","sheafify / sheafifying, in quotation marks at first source occurrence","turn into a sheaf","SGA2 global","French authority and source's own quotation marks","Retains the historical technical coinage while making its operation explicit.",adopted
SGA2-T019,"groupe de cohomologie relative de X modulo X-A","relative cohomology group of X modulo X-A","relative cohomology on X minus A","Exposé I §2","French authority","Modulo preserves the ordered pair interpretation and does not collapse support data.",adopted
SGA2-T020,"porté par la frontière","supported on the boundary","carried by the frontier","SGA2 global","French sheaf-theoretic usage","Supported on is the controlled sheaf-theoretic term; boundary is standard topological English.",adopted
SGA2-T021,"faisceau d'orientation normale","normal orientation sheaf","normal-orienting sheaf","SGA2 global","French authority and SGA index terminology","Matches the source index term and the conventional English noun phrase.",adopted
SGA2-T022,"homomorphisme de Gysin","Gysin homomorphism","Gysin map where source says homomorphism","SGA2 global","French authority and source index","Preserves the stated algebraic morphism type and the indexed English term.",adopted
