"relative_path","bytes","last_write","sha256","archive_entries","tex_like_entries","pdf_entries","language_hint","listing_error"
"20260628_chinese_japanese_native_math\source_repositories\archives\lbwang__CINTA-cn__master.zip","14629000","2026-06-28T23:13:49","3941C7C70DDC1204687B5DE021612DB8F26788CFE259DF79C9773C2E35A0E540","150","34","27","cjk",
"20260628_chinese_japanese_native_math\source_repositories\archives\Seasawher__hartshorne__master.zip","801921","2026-06-28T23:14:01","A09DC6B571A0656A40001A2F14E7FAC873099CF4569815532A8DE1F46CDC4AF8","18","13","1","cjk",
"20260628_chinese_japanese_native_math\source_repositories\archives\Seasawher__matsumura__master.zip","421533","2026-06-28T23:13:55","11AF615C02C5973C110FF9337E38B052D97F9C49498560E8A442AFFBA8535E2B","16","11","1","cjk",
"20260628_chinese_japanese_native_math\source_repositories\archives\wenweili__AlJabr-1__master.zip","6048109","2026-06-28T23:11:41","6E026C3E9B7BD1CC20335BE488BBA7A4CEE459334EAAA58684A9C60CC1EB47FB","37","24","6","cjk",
"20260628_chinese_japanese_native_math\source_repositories\archives\wenweili__AlJabr-2__master.zip","6252349","2026-06-28T23:12:18","1B4223DDCBCDD51FF813070229F01D8FA56B7EB866EE9851C42FC2AEC7CEB9E7","36","26","3","cjk",
"20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_alexey-beshenov_cimat-tna_aacf7b6d3d53.zip","20456407","2026-06-28T23:49:48","9693A241D02233EBD961B121C35FCF031CA59BC823F780C52EFEDBFC2EF1897A","121","60","0","unknown",
"20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_alexey-beshenov_notas-san-salvador_1af5935f72a3.zip","882100","2026-06-28T23:49:43","CB36231487863BC0AF7225259DFB27F0951B583776427743CFC70B380C790629","102","51","0","unknown",
"20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_jltabara_Apuntes-Teoria-Galois_2651d2b49ca8.zip","350141","2026-06-28T23:49:32","C112BDC8285E840F703A4875494582A10B0AC6DD5AB813E66DC9B0F1DB890BEA","5","2","1","unknown",
"20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github_extra\github_NunoSempere_Apuntes_d1eb04a6b972.zip","43125837","2026-06-28T23:49:41","68E26774A95E900722213730B91B6B665507D05E18FA57BBFB48DE39ECB928A3","1413","562","63","unknown",
"20260628_french_spanish_native_math_register\downloaded_source_packages_external\spanish_github\apuntes-uam-infomat_apuntes_c67591e4e78a.zip","44749099","2026-06-28T23:32:30","2C908F3635E6BDE6F4E1FF0D245487FABAC1992E226DD1DCA0F73D8A8BDA3755","1425","567","66","unknown",
"20260628_french_spanish_native_math_register\french_spanish_tex_corpus_20260628.zip","586246","2026-06-28T23:11:56","79E23FDEE261D61767AA5EF68E9E5FB6F0DE643B953A8720873C740DDF1036E2","63","45","0","unknown",
"20260628_french_spanish_native_math_register\french_spanish_tex_corpus_expanded_validated_20260628.zip","2991015","2026-06-28T23:50:26","5DC9699BFF91854DB0BFF56881521FCE798DD27F22834921E76B26F1CC652670","240","221","0","unknown",
"20260628_french_spanish_native_math_register\source_listing\added_sources\french-0911.2903v2\0911.2903.tar","163840","2010-02-16T19:30:46","5A9CA43DA28BDFFAB190BF6857F6084DD3D422903B2B93CA2D5064FA9D601D45","3","3","0","unknown",
"20260628_french_spanish_native_math_register\unpacked_source_packages\french\0611861v1\raw\0611861.tar","194560","2006-11-28T14:14:50","276AE1B51F1AD48A2B80FB801CFCE971D55D9E7092F4D3A0BDAA0D0806707FDA","13","12","0","unknown",
"20260628_french_spanish_native_math_register\unpacked_source_packages\french\0911.2903v2\raw\0911.2903.tar","163840","2010-02-16T19:30:46","5A9CA43DA28BDFFAB190BF6857F6084DD3D422903B2B93CA2D5064FA9D601D45","3","3","0","unknown",
"20260628_south_american_adjacent_math_register\south_american_adjacent_tex_corpus_validated_20260628.zip","22","2026-06-28T23:53:37","8739C76E681F900923B900C9DF0EF75CF421D39CABB54650C4B9AD19B6A76D85","0","0","0","cjk",
"20260628T211448Z_persian_arabic_tex_source_first\arabic\arabi\arabi.zip","5341677","2026-06-28T23:14:53","CF3B7B3F0A4CFBC84BF499289DDD297AE4D269E46C5818F4F9E1B898B29DF063","288","20","8","arabic_persianate_rtl",
"20260628T211448Z_persian_arabic_tex_source_first\arabic\arabtex\arabtex.zip","2717990","2026-06-28T23:14:55","9B23210D0BFA3B8616509FBA94BEC057C14D4C80B6D0D27333F41F6F8468B5E1","245","94","2","arabic_persianate_rtl",
"20260628T211448Z_persian_arabic_tex_source_first\arabic\arabtex\source\arabtex\arab311.tgz","582121","2026-06-28T23:14:55","E34900F65BF4EF32B431A4DA90A0993EC494E8D103E01EF0BBA6110E162518CA","195","78","0","arabic_persianate_rtl",
"20260628T211448Z_persian_arabic_tex_source_first\arabic\arabtex\source\arabtex\tex311.tgz","143597","2026-06-28T23:14:55","16B2A1099C87FA51FC1788B7FB53616EE4FFFC2F9CBAF9EAE43DFC3458E56FB5","90","81","0","arabic_persianate_rtl",
"20260628T211448Z_persian_arabic_tex_source_first\arabic\arabtex\source\arabtex\tex312.tgz","126558","2026-06-28T23:14:55","0150FC84DE0E8B5068C6B39865C56F2AF290D3CE17404A270279479ADA67E668","93","83","0","arabic_persianate_rtl",
"20260628T211448Z_persian_arabic_tex_source_first\persian_farsi\thesis-qom\thesis-qom.zip","1496659","2026-06-28T23:14:49","9FD85AA1E996263D3EB3E5F7112FCDE239C90491D5A60CF91F842CFCC1F81B45","35","16","1","arabic_persianate_rtl",
"20260628T211448Z_persian_arabic_tex_source_first\persian_farsi\xepersian\xepersian.zip","1113494","2026-06-28T23:14:52","F1C7230199A887920AD97F90C335BB965478BD40E43985FF0BB859C7A939FC11","25","10","2","arabic_persianate_rtl",
