"group","path","bytes","sha256","zip_entries","tex_family_entries","pdf_entries","md_entries","json_entries","duplicate_sha","duplicate_of","public_status"
"interlanguage-cjk","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip","2853626","22B8BE98F7B75EF5C28719646B680C2B2307438FCD0992ABFB4D1B4ED6D44613","196","168","0",,,"False","","source-body feed; not native approval or translation completion"
"interlanguage-direct-gated-slavic-romance","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","5815800","BFC4CEE167D6A0BCEE39DB603CBEEE5845A9F63852CAC382C5D9CED3707FE968","529","523","0",,,"False","","source-body feed; direct-gated upload; not native approval or translation completion"
"interlanguage-persian-rtl-arabic","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip","1384193","8978D3D969823FADB262246C170C7033223837CEDC8260FE42D50791045EE383","1253","1239","0",,,"False","","source-body feed; not native approval or translation completion"
"interlanguage-romance","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Romance_ES_FR_20260704.zip","10440464","2AD0B89274D12B30BAE0D4C60AEA5120EA1F1A178F6A7BBF62CBB352A273F4D5","1526","1503","0",,,"False","","source-body feed; not native approval or translation completion"
"interlanguage-romance-live-arxiv","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Romance_LiveArxivCandidates_20260705.zip","251149","700A6D7C40FF2994E7B5ABFD985F65343EDED6407A3EE9298858427AE842EF3C","22","10","0",,,"False","","candidate source-body feed; live arXiv candidates; not approved terminology"
"interlanguage-slavic-github-residue","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_GitHub_OpenLicenseResidue_20260705.zip","22691","3BEB5BCAF49533E01C0D3DFC1AFDEE378E718D6C4624D85B4FD3F3F539EC2D60","6","4","0",,,"False","","small Slavic GitHub/open-license residue source-body feed; not enough by itself"
"interlanguage-slavic-github-urlonly-public","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_GitHub_URLOnly_PublicCandidates_20260705.zip","2740089","FE296EF42A8FDF3DAE696F9DF9B39A29A4251FB25B84041D1349D2597F3EAE08","218","204","0",,,"False","","public GitHub URL-only Slavic TeX candidate source-body feed; commit-pinned raw downloads; not license clearance, native approval, or translation completion"
"interlanguage-slavic-interslavic-support","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Interslavic_Support_20260704.zip","6406302","1A7416747F1AD814734FE9EE1A096D2D0A43EEA94D64E2B6E6106854FE1EA73B","1194","1187","0",,,"False","","source-body/support feed for Slavic/Interslavic work; not native approval"
"interlanguage-slavic-linguistics-arxiv","interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Slavic_Linguistics_Arxiv_20260705.zip","14439157","613880CF5327B60657E2352BA7856D693A3E04F934EDC187E924E03AC54346F5","54","36","0",,,"False","","linguistics/source-body feed; not mathematical translation completion"
"slavic-focused-algebra","noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","4359432","13D541E748A9BC324F732784BDD27931DBF3010265AC0DBDFE968D48D396575A","378","378","0",,,"False","","focused Slavic algebra source-body payload; source-reference feed only"
