"zip_path","language_hint","tex_like_entries","sample_paths"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip","ar","21","sources/xepersian_support/xepersian/xepersian-doc-basics.ltx | sources/xepersian_support/xepersian/xepersian-doc-boolean.ltx | sources/xepersian_support/xepersian/xepersian-doc-pkgs.ltx | sources/xepersian_support/xepersian/xepersian-doc-preamble.ltx | sources/xepersian_support/xepersian/xepersian-doc-envcs.ltx"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part01.zip","ar","167","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/arabic/arabi/source/arabi/arabi/texmf/doc/latex/arabi/big2.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/arabic/arabi/source/arabi/arabi/texmf/doc/latex/arabi/lppl.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/arabic/arabi/source/arabi/arabi/texmf/doc/latex/arabi/samplebook.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/arabic/arabi/source/arabi/arabi/texmf/latex/arabi/PPRarabic.sty | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260628T211448Z_persian_arabic_tex_source_first/arabic/arabi/source/arabi/arabi/texmf/latex/arabi/arabicfnt.sty"
"noether-source-corpus-provenance\20260704\NOETHER_SOURCE_LINK_PROVENANCE_INDEX_20260704T153636\payload_zips\NOETHER_SOURCE_CORPUS_LATEX_PAYLOAD_20260704T153636_part02.zip","ar","2","source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260630T060636Z_controlled_arabic_invariant_specialist_retry/arxiv_source/20260311.tex | source_roots/noether_slavic_canonical_sources/non_slavic_reference_corpus/20260702T185300Z_controlled_arabic_invariant_covariant_register_refresh/raw_tex_rejections/github_Ag-ilies_pfe_chapter1_false_positive.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","be","64","slavic_source_canon/be/Harrix_Harrix-LaTeXDocumentTemplate/Example1.tex | slavic_source_canon/be/Harrix_Harrix-LaTeXDocumentTemplate/Example2.tex | slavic_source_canon/be/Harrix_Harrix-LaTeXDocumentTemplate/Example3.tex | slavic_source_canon/be/be/amotrak_Latex-DSTU3008-2015/config.tex | slavic_source_canon/be/be/FUlyankin_matstat_lec/lecture_distributions.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","be","54","be/be/agarmirus_psm_md/docs/conclusion.tex | be/be/agolovynskyi1_latex-ukrainian-diser/diser/abreviations.tex | be/be/aipyth_organisms-genetic-evolution/tex/03_data.tex | be/be/aivn_aiwlib/doc/C/alloc.tex | be/be/aivn_aiwlib/doc/C/angem.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","be","11","be/BlackSamorez_mipt_lab/1.3.2/Koltakov_M/main.tex | be/BlackSamorez_mipt_lab/3.2.6/Ivanov_K/326.tex | be/BlackSamorez_mipt_lab/3.4.1/Joker_B/3.4.1.tex | be/GOS-Book_GOS-Book.github.io/include/macros.tex | be/Harrix_Harrix-LaTeXDocumentTemplate/Example1.tex"
"interlanguage-sidecar\20260704\latex_source_body_bundles\Interlanguage_LaTeX_SourceBodies_DirectGated_Slavic_Romance_20260705.zip","bg","16","slavic_source_canon/bg/boki1_tex-doc-template/src/main.tex | slavic_source_canon/bg/NoHomey_logic-programming-2019-2020/ex1/ex1.tex | slavic_source_canon/bg/NoHomey_logic-programming-2019-2020/ex1/ex1_dup1.tex | slavic_source_canon/bg/v--_notebook/text/integral_domain_hierarchy.tex | slavic_source_canon/bg/v--_notebook/text/polynomial_factorization.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_FOCUSED_ALGEBRA_20260704T203400Z\payload_zips\NOETHER_SLAVIC_FOCUSED_ALGEBRA_OPEN_LICENSE_TEX_PAYLOAD_20260704T203400Z.zip","bg","4","bg/bg/NoHomey_logic-programming-2019-2020/ex1/ex1.tex | bg/bg/v--_notebook/text/rings.tex | bg/bg/v--_notebook/text/semiring_ideals.tex | bg/bg/v--_se2018/topics/03/index.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T192100Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T192100Z.zip","bg","5","bg/boki1_tex-doc-template/src/main.tex | bg/NoHomey_logic-programming-2019-2020/ex1/ex1.tex | bg/v--_notebook/text/rings.tex | bg/v--_notebook/text/semiring_ideals.tex | bg/v--_se2018/topics/03/index.tex"
"noether-slavic-source-canon\20260704\NOETHER_SLAVIC_SOURCE_CANON_GITHUB_TEX_20260704T211000Z\payload_zips\NOETHER_SLAVIC_GITHUB_TEX_OPEN_LICENSE_PAYLOAD_20260704T211000Z.zip","bg","7","bg/NoHomey_logic-programming-2019-2020/ex1/ex1.tex | bg/v--_notebook/text/integral_domain_hierarchy.tex | bg/v--_notebook/text/polynomial_factorization.tex | bg/v--_notebook/text/rings.tex | bg/v--_notebook/text/semiring_ideals.tex"
