structural_id,unit_type,parent_id,order_index,source_path,source_line_start,source_line_end,source_char_start,source_char_end,source_fragment_sha256,target_path,target_line_start,target_line_end,target_char_start,target_char_end,target_fragment_sha256,completion_state,review_state,publication_state,boundary_confidence,continuation_cursor
NOE-P27-KO-ROOT-001,work,,0,source/Noether_Paper27_German_P31Canonical_20260718.tex,14,20,,,E5333298126A7B58A00DA0A9042283FF9DCDC048258361B31227C13C896D4A32,ko/Noether_Paper27_Korean_v001.tex,12,18,,,D9541F3E7DE8F9C5125C376D1323BBA670AD829A26E719ABFE08AF4B0CBD496C,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-SEC-001,section,NOE-P27-KO-ROOT-001,1,source/Noether_Paper27_German_P31Canonical_20260718.tex,14,14,,,41D6D7761D7CBE3204EA1A38EE2FEEC2BBD2D87AA7D8D0E3687200B4DD4F2FCB,ko/Noether_Paper27_Korean_v001.tex,12,12,,,1F5E8D1723AEBF8FDD8A1563638E30108A65E9F7671D2989585FB3CAC97D60EC,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-BIB-001,bibliography_item,NOE-P27-KO-SEC-001,1,source/Noether_Paper27_German_P31Canonical_20260718.tex,17,17,,,1E90500790C656827368A2E0FF197FF78B5E88689ADB2E060F312E3A603BFF66,ko/Noether_Paper27_Korean_v001.tex,15,15,,,1E90500790C656827368A2E0FF197FF78B5E88689ADB2E060F312E3A603BFF66,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-PARA-001,paragraph,NOE-P27-KO-SEC-001,2,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,,,D496C8F5F83868C7ED66C4AEB089AE6840ED0A7CB77208BA00A9AA867C69DEFE,ko/Noether_Paper27_Korean_v001.tex,18,18,,,E201A9DCD7AF9BD3DAACC50A34FF43F20BFF08A4C05802B24279A2752708DE7E,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-CPU-001,closed_prose_unit,NOE-P27-KO-PARA-001,1,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,1,66,502911DE3E07378B9139A745D6CDD85EF01BD8F304491456C6CA0B5073DB9B45,ko/Noether_Paper27_Korean_v001.tex,18,18,1,41,1D01855803C173330F64EB1F580D7F532E946C26D065365DA64D69607E432AE0,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-CPU-002,closed_prose_unit,NOE-P27-KO-PARA-001,2,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,68,201,B648F1AECAB5EC236A441384FE372988DEB361C67725261E2C106577044BA815,ko/Noether_Paper27_Korean_v001.tex,18,18,43,106,D26C1D388A4AF1B930DA96A244FAD7B3094B9F5784B12B9000DD565D7C02872E,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-CPU-003,closed_prose_unit,NOE-P27-KO-PARA-001,3,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,203,432,FA0BF0C4B48BBF67FFA9C0FC5451BF139934EEAF3BCB550046E176AC3879C288,ko/Noether_Paper27_Korean_v001.tex,18,18,108,221,8337786011E13CC2F8E6DDFE4069B3B754550CCADFAEBDD4E93F53CAE74AAFB9,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-CPU-004,closed_prose_unit,NOE-P27-KO-PARA-001,4,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,434,572,520441A7F1ECE8954AD04EC57EF649F68F6DB0C1B5D64815D6F74CFB03E8CD6D,ko/Noether_Paper27_Korean_v001.tex,18,18,223,293,8C238E68CD2C23A1646F18943BBAEE4DCAF33F21F26717633A5735DADD085890,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-CPU-005,closed_prose_unit,NOE-P27-KO-PARA-001,5,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,574,632,1067CC8B568FF9C849820DAF4A21C011FBC8C4CA57DE9D2AC1C8BABCE575781F,ko/Noether_Paper27_Korean_v001.tex,18,18,295,321,2607F79E8664576886C8E4BA6F98301C03207D7F165316C20E07BC70A4FCB36D,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-CPU-006,closed_prose_unit,NOE-P27-KO-PARA-001,6,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,634,747,92852D0FFB7788515F1186B895ABF34D34F9DDF54F8C0DB064BA9530633583C0,ko/Noether_Paper27_Korean_v001.tex,18,18,323,377,0DAE295BC078207E79A7FBB5DD060D8883640DECBCA2AF6D84D7BB3541357564,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
NOE-P27-KO-CPU-007,closed_prose_unit,NOE-P27-KO-PARA-001,7,source/Noether_Paper27_German_P31Canonical_20260718.tex,20,20,749,839,C0CBECA4F5F1A77CB24D52DB364C76B2C02E12D725896CDA6FC22C47BAC336A9,ko/Noether_Paper27_Korean_v001.tex,18,18,379,429,F8A6A2C72A86BD285D85E068C305534D6FCE501F4138C128DCA3AE32BD5F5C61,complete,internally_source_checked,handoff_ready_unpublished,high,Noether Paper 29 after fresh sealed-authority and live-claim checks
