reader	pdf_page	printed_page	content_bbox_pt	page_size_pt	outside_media_box	status
readers/PAPER_IV_FR_PP065_086.pdf	1	65	62.362,63.685,535.050,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	2	66	61.980,38.790,535.035,432.406	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	3	67	62.362,38.790,534.720,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	4	68	62.362,38.790,535.041,646.084	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	5	69	62.362,38.790,534.422,586.879	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	6	70	62.113,38.790,535.050,524.625	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	7	71	61.980,38.790,534.716,784.073	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	8	72	61.937,38.790,534.427,684.786	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	9	73	61.937,38.790,534.425,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	10	74	62.113,38.790,534.714,543.492	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	11	75	61.937,38.790,535.032,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	12	76	62.113,38.790,533.121,595.763	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	13	77	62.079,38.790,534.430,485.446	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	14	78	62.113,38.790,535.042,435.100	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	15	79	61.937,38.790,532.914,526.600	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	16	80	61.937,38.790,534.431,494.603	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	17	81	61.937,38.790,534.430,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	18	82	61.980,38.790,534.421,535.473	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	19	83	62.362,38.790,534.430,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	20	84	62.079,38.790,535.041,424.864	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	21	85	61.937,38.790,535.031,510.178	595.280,841.890	NO	PASS
readers/PAPER_IV_FR_PP065_086.pdf	22	86	61.086,38.790,535.037,525.675	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	1	65	61.969,63.685,535.041,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	2	66	61.969,38.790,534.430,432.406	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	3	67	61.969,38.790,535.035,802.228	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	4	68	61.969,38.790,535.041,646.717	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	5	69	61.969,38.790,535.039,571.524	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	6	70	61.969,38.790,534.431,540.068	595.280,841.890	NO	PASS
readers/PAPER_IV_EN_PP065_086.pdf	7	71	61.969,38.790,534.473,784.071	595.280,841.890	NO	PASS
