layer	printed_page	current_reader	s01_reader	render_dpi	width	height	current_pixel_sha256	s01_pixel_sha256	text_equal	raster_equal	page_source_apparatus_record_byte_identity
fr	65	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	CA6CFFC22713F5191700477709D97EECF085C895BBB1401C8BEB41D328D98691	CA6CFFC22713F5191700477709D97EECF085C895BBB1401C8BEB41D328D98691	PASS	PASS	PASS
fr	66	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	A240E0506ABE89CC7E4C2107A900B5367EB7B4E6C9ABD653867F9C1F188629F5	A240E0506ABE89CC7E4C2107A900B5367EB7B4E6C9ABD653867F9C1F188629F5	PASS	PASS	PASS
fr	67	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	8203DE11EFBA57042CCA7534D942EEC14AE12A24D1A67EF76AA178FE0A0C8E79	8203DE11EFBA57042CCA7534D942EEC14AE12A24D1A67EF76AA178FE0A0C8E79	PASS	PASS	PASS
fr	68	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	671C5694883299FB71FBD12ADDBCC50D1FC708E2B082B3B6DA59CB5498A135F3	671C5694883299FB71FBD12ADDBCC50D1FC708E2B082B3B6DA59CB5498A135F3	PASS	PASS	PASS
fr	69	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	CB4FFC46136AB5A4ABCC44C092B2A5442184E34F00A1653D15DF7E73073B4FD9	CB4FFC46136AB5A4ABCC44C092B2A5442184E34F00A1653D15DF7E73073B4FD9	PASS	PASS	PASS
fr	70	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	DBD9D00A9C9837FA9D3AB28172470369BEB2F68FF9882696DACF3A436C241486	DBD9D00A9C9837FA9D3AB28172470369BEB2F68FF9882696DACF3A436C241486	PASS	PASS	PASS
fr	71	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	286AC1070D6B96378444AFD2D079374FDDF9D8A47B3636535C5A50DDB0FDA8C8	286AC1070D6B96378444AFD2D079374FDDF9D8A47B3636535C5A50DDB0FDA8C8	PASS	PASS	PASS
fr	72	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	C0DF29E5AE594FA6FACF28AEE007E64232EEEC487374DCFB1592EBB9B7ED76F2	C0DF29E5AE594FA6FACF28AEE007E64232EEEC487374DCFB1592EBB9B7ED76F2	PASS	PASS	PASS
fr	73	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	B4E98ABB793FAF101397EE9D33C7C626774BF50D993F5714B44D1A5D540D1A8A	B4E98ABB793FAF101397EE9D33C7C626774BF50D993F5714B44D1A5D540D1A8A	PASS	PASS	PASS
fr	74	readers/PAPER_IV_FR_PP065_086.pdf	readers/PAPER_IV_FR_PP065_074.pdf	126	1042	1474	545CCAA58EEEDE662E27D6EE70BBD1FE4AA0ABB2AD5EDE1CC7E8CC9D6F4F0A56	545CCAA58EEEDE662E27D6EE70BBD1FE4AA0ABB2AD5EDE1CC7E8CC9D6F4F0A56	PASS	PASS	PASS
en	65	readers/PAPER_IV_EN_PP065_086.pdf	readers/PAPER_IV_EN_PP065_074.pdf	126	1042	1474	540B17FF1141FDA1B5DB8AFB0A3A1CDA881EB3F68D043CAF42B58B2DD8052AE1	540B17FF1141FDA1B5DB8AFB0A3A1CDA881EB3F68D043CAF42B58B2DD8052AE1	PASS	PASS	PASS
en	66	readers/PAPER_IV_EN_PP065_086.pdf	readers/PAPER_IV_EN_PP065_074.pdf	126	1042	1474	102A930F50175B85900999C4BB391F24D8173069228290A47ABC80EEC5C345CC	102A930F50175B85900999C4BB391F24D8173069228290A47ABC80EEC5C345CC	PASS	PASS	PASS
en	67	readers/PAPER_IV_EN_PP065_086.pdf	readers/PAPER_IV_EN_PP065_074.pdf	126	1042	1474	8A2948992858DFED13ED2D17997F8D06DF0CFED2641427FD51B42244244A9D0B	8A2948992858DFED13ED2D17997F8D06DF0CFED2641427FD51B42244244A9D0B	PASS	PASS	PASS
en	68	readers/PAPER_IV_EN_PP065_086.pdf	readers/PAPER_IV_EN_PP065_074.pdf	126	1042	1474	18EFD06A47203B7769F0865295D82B80C7D66835D430DAC6670256E7E79C93F4	18EFD06A47203B7769F0865295D82B80C7D66835D430DAC6670256E7E79C93F4	PASS	PASS	PASS
en	69	readers/PAPER_IV_EN_PP065_086.pdf	readers/PAPER_IV_EN_PP065_074.pdf	126	1042	1474	51688B2AF74C7C423999B0F576E973C8F7F572C56BEA0141BCDCA861E0378E34	51688B2AF74C7C423999B0F576E973C8F7F572C56BEA0141BCDCA861E0378E34	PASS	PASS	PASS
en	70	readers/PAPER_IV_EN_PP065_086.pdf	readers/PAPER_IV_EN_PP065_074.pdf	126	1042	1474	6ECFFE599B48D3BA072A512AA2F994EA734BE17BF8D95869E613963380945C0B	6ECFFE599B48D3BA072A512AA2F994EA734BE17BF8D95869E613963380945C0B	PASS	PASS	PASS
