printed_page	authority_pdf_page	scope_leaf	dpi	sample_width	sample_height	projection_samples_sha256	full_volume_samples_sha256	exact_equality
74	91	12	72	646	827	451C9B6DF818BEEC3D9A037F347D6B662CC94D8B4231856D3C770243FFBCF204	451C9B6DF818BEEC3D9A037F347D6B662CC94D8B4231856D3C770243FFBCF204	PASS
75	92	13	72	646	827	2A238BCA15C2911B952E2B9539B9D3C000A570C52E435448ADAEB6D4C4570CFC	2A238BCA15C2911B952E2B9539B9D3C000A570C52E435448ADAEB6D4C4570CFC	PASS
76	93	14	72	646	827	3C2DCCFEC2D7EA728532E762B0B20EDACC04EC2B2902DC9597B540C5E197197C	3C2DCCFEC2D7EA728532E762B0B20EDACC04EC2B2902DC9597B540C5E197197C	PASS
77	94	15	72	646	827	663C455E9C419F25DD30BF6227314CF7D0D08D798CED1F3C2DE5F051D0257038	663C455E9C419F25DD30BF6227314CF7D0D08D798CED1F3C2DE5F051D0257038	PASS
78	95	16	72	646	827	A806E8A77CA095DE3C60E17725E3637129DBDFE511318557291506C988BECBAF	A806E8A77CA095DE3C60E17725E3637129DBDFE511318557291506C988BECBAF	PASS
79	96	17	72	646	827	F798E8948AC66B8484F7EE67803E9C70922AE2C24417C875DE9E2C10502E064F	F798E8948AC66B8484F7EE67803E9C70922AE2C24417C875DE9E2C10502E064F	PASS
80	97	18	72	646	827	C6DD966989A9EF8EF32CBCDDCEB8FE3139B3BBF991C5EFAF33C98E77B7A97AF9	C6DD966989A9EF8EF32CBCDDCEB8FE3139B3BBF991C5EFAF33C98E77B7A97AF9	PASS
81	98	19	72	646	827	5F4C5319808507DD6F3C15C9894D9D142C30F0FEB81ED7F4CDBAA9624D089DA6	5F4C5319808507DD6F3C15C9894D9D142C30F0FEB81ED7F4CDBAA9624D089DA6	PASS
82	99	20	72	646	827	4805D6EC1052794608E91829425FD77E6098B754A7F2D6E37E4702E8C3303435	4805D6EC1052794608E91829425FD77E6098B754A7F2D6E37E4702E8C3303435	PASS
83	100	21	72	646	827	A6B09E16E2DD12CD70BC63326FA38DC4237175214642DA56FB4821EBE561DB4E	A6B09E16E2DD12CD70BC63326FA38DC4237175214642DA56FB4821EBE561DB4E	PASS
84	101	22	72	646	827	D633719741087AF736ABD778ED3A119CD28C1A86DA6499C9DAF0BC9858EFE9FD	D633719741087AF736ABD778ED3A119CD28C1A86DA6499C9DAF0BC9858EFE9FD	PASS
85	102	23	72	646	827	8123D6FEC769CE59785A8357C4397C8643D55EC6DABCB8D9021FA5B1E0B85316	8123D6FEC769CE59785A8357C4397C8643D55EC6DABCB8D9021FA5B1E0B85316	PASS
86	103	24	72	646	827	D162ABCC624E39D9A64D724D382A10CD189A7DB04185F1C343649CB0CC464925	D162ABCC624E39D9A64D724D382A10CD189A7DB04185F1C343649CB0CC464925	PASS
