printed_page	authority_pdf_page	layer	before	after	evidence	disposition
75	92	FR_EN_STRUCTURE	R28 added display title and ‘1er Mémoire. Suite: pages imprimées 75–80.’ / corresponding English continuation title	No added title; p75 continues section 4 directly with the E/F coprimality proof, under the printed running head	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; Top of p75: running head, folio 75, then Il est très facile; no memoir title here	CORRECTED_FROM_ATTACHED_AUTHORITY
75;76;77;78;79;80	92;93;94;95;96;97	FR_EN_TOPOLOGY	R28 free-flow units build to 5 French / 5 English reader pages; no source-bounded folios or running heads	Six source-bounded page records p075–p080 in each edition, with folios 75–80 and alternating source running heads; cumulative readers retain p065–p074 before them	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; All six full leaves; English running heads translated	SOURCE_PAGE_BOUNDARIES_RESTORED
75	92	FR_EN_FURNITURE	No source signature in R28 editable author readers	Printed signature 10* retained at the foot of p75	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; Bottom signature below the delta-prime display	CORRECTED_FROM_ATTACHED_AUTHORITY
75;76	92;93	FR_EN_PAGE_SEAM	R28 continuous flow at (δ′) t±ψ≡0 (mod.b), ((t∓ψ)/b)=1. | Il résulte du théorème énoncé	(δ′) t±ψ≡0 (mod.b), ((t∓ψ)/b)=1. | EXPLICIT SOURCE PAGE BREAK | Il résulte du théorème énoncé	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
76;77	93;94	FR_EN_PAGE_SEAM	R28 continuous flow at (t/b)=1 ou (t/b)=−1. | Il suffira de chercher un nombre	(t/b)=1 ou (t/b)=−1. | EXPLICIT SOURCE PAGE BREAK | Il suffira de chercher un nombre	full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
77;78	94;95	FR_EN_PAGE_SEAM	R28 continuous flow at pour toutes les valeurs | de b, telles que	pour toutes les valeurs | EXPLICIT SOURCE PAGE BREAK | de b, telles que	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
78;79	95;96	FR_EN_PAGE_SEAM	R28 continuous flow at etc. | 5. / Désignons par a	etc. | EXPLICIT SOURCE PAGE BREAK | 5. / Désignons par a	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
79;80	96;97	FR_EN_PAGE_SEAM	R28 continuous flow at les nombres premiers h, | h′, h″, … sont en nombre pair ou impair.	les nombres premiers h, | EXPLICIT SOURCE PAGE BREAK | h′, h″, … sont en nombre pair ou impair.	full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; Last/first source lines; English breaks at the corresponding clause, including the split factor list	SOURCE_PAGE_SEAM_RESTORED
75;79;80	92;96;97	FR_EN_EQUATION_LABELS	(δ), (δ′), (ε), (ζ) inserted as ordinary material at the left of a centred display	Each label aligned at the left display margin; epsilon/zeta braces and every array entry retained	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; full PDF 96 = scope leaf 17: qa/s02/source/p079_authority.png; full PDF 97 = scope leaf 18: qa/s02/source/p080_authority.png; p75 delta and delta-prime; p79 epsilon brace; p80 zeta brace	CORRECTED_FROM_ATTACHED_AUTHORITY
75	92	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 1 occurrence(s)	(mod.b), with printed abbreviation point, at all 1 occurrence(s)	full PDF 92 = scope leaf 13: qa/s02/source/p075_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
76	93	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 4 occurrence(s)	(mod.b), with printed abbreviation point, at all 4 occurrence(s)	full PDF 93 = scope leaf 14: qa/s02/source/p076_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
77	94	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 2 occurrence(s)	(mod.b), with printed abbreviation point, at all 2 occurrence(s)	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
78	95	FR_EN_MODULAR_PUNCTUATION	R28 (mod b), without printed abbreviation point, at 1 occurrence(s)	(mod.b), with printed abbreviation point, at all 1 occurrence(s)	full PDF 95 = scope leaf 16: qa/s02/source/p078_authority.png; Congruences on this leaf; no congruence sign or modulus changed	CORRECTED_FROM_ATTACHED_AUTHORITY
77	94	FR_QUOTATION_MARKS	»c désignant … soit résoluble.«	„c désignant … soit résoluble.“	full PDF 94 = scope leaf 15: qa/s02/source/p077_authority.png; Quoted auxiliary theorem in the lower part of the leaf	CORRECTED_FROM_ATTACHED_AUTHORITY
