gate	status	evidence	note
ACCEPTED_S01_ACTUAL_BYTES	PASS	qa/s02/S01_INTAKE_VALIDATION.json	Correct131808818-byte S01 archive; all240 member and sibling hashes; exact65–74 acceptance and cursor2.
IMMUTABLE_INPUTS	PASS	qa/s02/INPUT_PRESERVATION.tsv	All21 packet members unchanged; raw authority and both inherited ZIPs preserved.
R28_PAGEWISE_REPLAY	PASS	qa/s02/INHERITED_TEX_LINE_AUDIT.tsv	All396 lines of two inherited editable files classified; 50 author/structure units per language replayed against92–97; no cumulative earlier-paper content ingested.
DIRECT_SOURCE_81_86	PASS	qa/s02/UNIT_ALIGNMENT.tsv	All six untouched leaves transcribed and translated from attached authority; no external text/OCR substituted.
FULL_BILINGUAL_MATH	PASS	qa/s02/FORMULA_AUDIT.tsv	499 paired new inline/display segments token-checked after visual source review; all85 new units aligned.
SOURCE_ERRORS_NOT_SILENTLY_REPAIRED	PASS	qa/s02/SOURCE_PRINT_ISSUES.json	Legible t,p²,ps readings retained in both editions; apparatus separate; no illegible-source uncertainty.
CUMULATIVE_EXACT_ONCE	PASS	ledgers/TOPOLOGY.tsv	Both readers22 pages65–86; apparatus22 page records; copy63–64 excluded,87–98 untouched.
OLD_ACCEPTANCE_PRESERVED	PASS	qa/s02/S01_READER_REGRESSION.tsv	Old page sources, apparatus page notes, state pages byte-identical;20 old output pages text/pixel-identical.
SEAMS_AND_NOTES	PASS	qa/s02/PAGE_SEAM_AUDIT.tsv; qa/s02/NOTE_AUDIT.tsv	74/75,80/81 and all intermediate joins reviewed. Author note71 retained; no new footnotes75–86.
SIX_CLEAN_FINAL_BUILDS	PASS	qa/s02/BUILD_AND_VISUAL_RECEIPT.json	Two XeLaTeX passes per current FR/EN/apparatus;22/22/3 pages; all six final runs without warnings, overfull/underfull boxes or missing glyphs.
ALL_CURRENT_OUTPUT_PAGES_REVIEWED	PASS	qa/s02/VISUAL_AUDIT.tsv	27 added/affected pages individually inspected;20 unchanged pages reviewed in pair sheets and exactly regressed; all47 rendered.
CURSOR_3_ONLY	PASS	qa/s02/SESSION_BOUNDARY.json	Stops at printed86; next87. Prompt03 and final cold audit remain unexecuted.
