printed_page	authority_pdf_page	layer	unit_id	edition_tex_line	tex_line	authority_evidence	status	note
75	92	fr	p075.r28.par.001	3	\par\noindent	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	4	Il est très facile de s'assurer que les nombres $E$ et $F$ sont premiers entre eux. En effet, soit	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	5	$\delta$ un facteur simple quelconque de $E$ (qui sera nécessairement impair, $E$ étant lui même	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	6	impair) et supposons que $\delta$ divise aussi $F$. L'inspection des équations précédentes fait	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	7	voir que $\delta$ serait, dans cette supposition, diviseur commun de $t+\psi$ et $t-\psi$, et	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	8	diviserait par conséquent le nombre $t$, qui est la demi-somme des précédents. Mais on voit d'un	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	9	autre côté que $\delta$, comme diviseur premier de $E$, divise $m^2$, et par conséquent $m$ et $u$	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	10	($u$ étant $=mu'$). Les nombres $t$ et $u$ auraient donc, dans cette supposition, le facteur	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	11	commun $\delta$, ce qui est absurde, $p=t^2-bu^2$ étant un nombre premier. Il est donc prouvé que	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	12	$E$ et $F$ ne sauraient avoir de diviseur commun, et comme le produit de ces nombres est un carré,	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	fr	p075.r28.par.001	13	chacun d'eux est pareillement un carré. On a donc:	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	CHECKED_AGAINST_PRINT	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	en	p075.r28.par.001	3	\par\noindent	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	FULL_STRUCTURAL_TRANSLATION_CHECKED	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	en	p075.r28.par.001	4	It is very easy to make sure that the numbers $E$ and $F$ are relatively prime. Indeed, let	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	FULL_STRUCTURAL_TRANSLATION_CHECKED	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	en	p075.r28.par.001	5	$\delta$ be any simple factor of $E$ (which will necessarily be odd, $E$ itself being odd) and	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	FULL_STRUCTURAL_TRANSLATION_CHECKED	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	en	p075.r28.par.001	6	suppose that $\delta$ also divides $F$. Inspection of the preceding equations shows that, under	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	FULL_STRUCTURAL_TRANSLATION_CHECKED	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	en	p075.r28.par.001	7	this supposition, $\delta$ would be a common divisor of $t+\psi$ and $t-\psi$, and consequently	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	FULL_STRUCTURAL_TRANSLATION_CHECKED	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
75	92	en	p075.r28.par.001	8	would divide the number $t$, which is the half-sum of the preceding two. But on the other hand one	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	FULL_STRUCTURAL_TRANSLATION_CHECKED	Editable TeX line, not a claimed physical scan-line number; control lines encode source structure. Manual source collation plus mechanical cross-layer math check.
