printed_page	authority_pdf_page	unit_id	formula_id	placement	french_tex	english_tex	cross_layer_tokens	authority_evidence	scan_comparison
75	92	p075.r28.par.001	p075.r28.par.001.m001	inline	E	E	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m002	inline	F	F	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m003	inline	\delta	\delta	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m004	inline	E	E	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m005	inline	E	E	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m006	inline	\delta	\delta	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m007	inline	F	F	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m008	inline	\delta	\delta	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m009	inline	t+\psi	t+\psi	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m010	inline	t-\psi	t-\psi	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m011	inline	t	t	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m012	inline	\delta	\delta	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m013	inline	E	E	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m014	inline	m^2	m^2	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m015	inline	m	m	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m016	inline	u	u	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m017	inline	u	u	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m018	inline	=mu'	=mu'	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m019	inline	t	t	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m020	inline	u	u	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
75	92	p075.r28.par.001	p075.r28.par.001.m021	inline	\delta	\delta	IDENTICAL_EXCEPT_EXPLICIT_OU_OR_TRANSLATION_AND_SPACING	qa/s02/source/p075_authority.png; full PDF 92; scope leaf 13; opening Il est très facile through On a donc	MANUALLY_VISUALLY_CHECKED
