layer	inherited_path	inherited_tex_line	inherited_unit	printed_pages	line	role	disposition	evidence
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	1			\documentclass[11pt]{article}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	2			\usepackage[a4paper,margin=30mm]{geometry}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	3			\usepackage{fontspec}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	4			\setmainfont{DejaVu Serif}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	5			\usepackage{amsmath,amssymb}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	6			\usepackage{microtype}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	7			\usepackage{enumitem}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	8			\usepackage{hyperref}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	9			\hypersetup{colorlinks=false,pdfborder={0 0 0}}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	10			\newcommand{\leg}[2]{\left(\frac{#1}{#2}\right)}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	11			\newcommand{\unitid}[1]{\hypertarget{#1}{}}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	12			\setlength{\parindent}{1.2em}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	13			\setlength{\parskip}{0.25em}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	14			\begin{document}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	15			\begin{center}	WRAPPER_OR_BLANK	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	16			{\Large\bfseries RECHERCHES SUR LES DIVISEURS PREMIERS D'UNE CLASSE\\	ADDED_EDITORIAL_TITLE	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
fr	inherited/R28/Dirichlet_R28_V1_IVb75_80_20260607/new/orig/tex/04b_div4_pp75_80_fr.tex	17			DE FORMULES DU QUATRIÈME DEGRÉ.}\\[1.2em]	ADDED_EDITORIAL_TITLE	PRESERVED_NOT_INGESTED_AS_AUTHOR_TEXT	
