printed_page	role	anchor	body	evidence	status
71	AUTHOR_NOTE_CARRIED_FROM_S01	*)	Complete author note remains byte-identical in each edition and pixel-identical in each cumulative reader.	qa/NOTE_AUDIT.tsv; qa/s02/S01_READER_REGRESSION.tsv	PASS
75	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p075_authority.png	PASS
76	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p076_authority.png	PASS
77	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p077_authority.png	PASS
78	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p078_authority.png	PASS
79	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p079_authority.png	PASS
80	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p080_authority.png	PASS
81	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p081_authority.png	PASS
82	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p082_authority.png	PASS
83	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p083_authority.png	PASS
84	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p084_authority.png	PASS
85	NO_NEW_AUTHOR_NOTE	NONE	No author footnote or anchor on controlling leaf; no editorial note inserted into body.	qa/s02/source/p085_authority.png	PASS
86	NO_NEW_AUTHOR_NOTE	NONE	Explicit cross-reference to the note near the start of section3 on p71 retained; no duplicate note inserted.	qa/s02/source/p086_authority.png	PASS
