book_page,source_pdf_page,image
307,325,img/v1_p307_src325.png
308,326,img/v1_p308_src326.png
309,327,img/v1_p309_src327.png
310,328,img/v1_p310_src328.png
311,329,img/v1_p311_src329.png
312,330,img/v1_p312_src330.png
313,331,img/v1_p313_src331.png
314,332,img/v1_p314_src332.png
315,333,img/v1_p315_src333.png
316,334,img/v1_p316_src334.png
317,335,img/v1_p317_src335.png
318,336,img/v1_p318_src336.png
319,337,img/v1_p319_src337.png
320,338,img/v1_p320_src338.png
321,339,img/v1_p321_src339.png
322,340,img/v1_p322_src340.png
323,341,img/v1_p323_src341.png
324,342,img/v1_p324_src342.png
325,343,img/v1_p325_src343.png
326,344,img/v1_p326_src344.png
327,345,img/v1_p327_src345.png
