"gap_id","gap_class","source_row_id","owner_or_consumer","target_language_or_access_target","source_title","source_url","local_path","sha256_or_expected_hash","blocker_or_drift","route_or_action","r3_policy_hint","sidecar_decision","boundary","created_utc"
"R3-GAP-ACTION-001","master_gap_or_blocker","r3_normalized_witness::dari_knu_linear_algebra_pdf_candidate_8809","Persianate/Tajik source-canon lane, prs_AF separate gate only","Dari/Afghan Persian, prs_AF","KNU OPAC candidate PDF 8809.PDF for جبر خطی","https://library.knu.edu.af/opac/temp/8809.PDF","","","If fetch fails, use OPAC record as provenance only. | Response status code does not indicate success: 404 (Not Found). | Dari/Afghan Persian PDF candidate, hash if retrievable. | Separate Dari gate; no Farsi inheritance.","Do not publish a missing payload; publish candidate URL, failure, and blocker only.","","blocker sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T114041Z"
"R3-GAP-ACTION-002","master_gap_or_blocker","r3_normalized_witness::gap_ar_invariant_theory_tex_arxiv","novel_or_blocked_gap_registry","Controlled Arabic / Arabic RTL","Arabic direct TeX/arXiv invariant-theory source package","","","","Search found Arabic mentions (e.g. Frank Grosshans/Wolf Prize) but not a direct Arabic TeX/arXiv/source archive for the invariant-theory term cluster. | Do not route invariant-theory Arabic bridge terms from weak mentions. | Arabic invariant theory direct specialist source remains open.","No source payload; publish gap row, URL/search notes where available, and blocker only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","20260705T114041Z"
"R3-GAP-ACTION-003","master_gap_or_blocker","r3_normalized_witness::gap_fa_invariant_theory_tex_arxiv","novel_or_blocked_gap_registry","Persian/Farsi (Iran), fa_IR","Persian/Farsi TeX/arXiv invariant-theory source package","","","","Persian invariant theory wikitext and one PDF mention found; no Persian TeX/arXiv/source archive found in this pass. | Persian wiki/PDF witnesses are review-only until specialist source closes. | No bridge promotion.","No source payload; publish gap row, URL/search notes where available, and blocker only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T114041Z"
"R3-GAP-ACTION-004","master_gap_or_blocker","r3_normalized_witness::gap_dari_tajik_tex_arxiv","novel_or_blocked_gap_registry","Dari/Tajik separate-gate gap row","Dari/Tajik direct TeX/arXiv source packages","","","","Tajik MediaWiki and Afghan/Dari PDF/catalog provenance found; no TeX/arXiv/source package found. | Dari and Tajik stay separate; Farsi cannot authorize them. | No merged Persianate bridge.","No source payload; publish gap row, URL/search notes where available, and blocker only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T114041Z"
"R3-GAP-ACTION-005","master_gap_or_blocker","external_lane_pointer::Persian Noether-topic TeX/arXiv source package","","Persian/Farsi (Iran)","Persian Noether-topic TeX/arXiv source package","","","","no Persian-language TeX/arXiv/source archive found for Noether-style algebra/invariant theory in this pass","","","gap sidecar only; no payload","do not infer from English-language Iranian publications; external pointer only; no R3 promotion or completion claim","20260705T114041Z"
"R3-GAP-ACTION-006","master_gap_or_blocker","external_lane_pointer::Dari TeX/arXiv/invariant-theory source packages","","Dari/Persian (Afghanistan)","Dari TeX/arXiv/invariant-theory source packages","","","","no Dari/Afghan Persian TeX/source archive or direct invariant-theory witness found in this pass","","","gap sidecar only; no payload","do not borrow fa_IR invariant-theory renderings; external pointer only; no R3 promotion or completion claim","20260705T114041Z"
"R3-GAP-ACTION-007","master_gap_or_blocker","external_lane_pointer::TGPU ring/field PDF candidate","","Tajik Cyrillic","TGPU ring/field PDF candidate","https://vestnik.tgpu.tj/Content/files/JournalsPDF/a5b992cf-3aca-4997-9e59-11bd0e34dc3d.pdf","outputs/source_canon_witness_cache_20260704/tg_cyrl_tgpu_ring_field_candidate_404.html","12EAFE6435F4C02A65306F1CF02F26798F9A46C3074608F51B51014C07FA6580","direct URL returned 404 HTML; do not cite as source evidence","","","gap sidecar only; no payload","failed candidate only; external pointer only; no R3 promotion or completion claim","20260705T114041Z"
"R3-GAP-ACTION-008","master_gap_or_blocker","external_lane_pointer::Tajik abstract algebra / TeX source package","","Tajik Cyrillic","Tajik abstract algebra / TeX source package","","","","no reliable Tajik Cyrillic ring/module/ideal/Galois/representation source package isolated","","","gap sidecar only; no payload","Tajik remains source-discovery only; external pointer only; no R3 promotion or completion claim","20260705T114041Z"
"R3-GAP-ACTION-009","master_gap_or_blocker","r3_gap_refresh::fa_researchgate_cartan_invariant_method_pdf_fetch_blocked","Persianate/Tajik source-canon lane, fa_IR review-only candidate","Persian/Farsi (Iran), fa_IR","کاربرد نظریه هم ارزی کارتان در معادلات دیفرانسیل / Application of Cartan equivalence method in differential equations","https://www.researchgate.net/profile/Mehdi-Nadjafikhah/publication/309668551_Hesamiarshad_-_Application_of_Cartan%27s_equivalence_method_in_differential_equations_-_PhD_Thesis_-_2014/links/581c4e8b08aea429b291a79e/Hesamiarshad-Application-of-Cartans-equivalence-method-in-differential-equations-PhD-Thesis-2014.pdf","","","Candidate Persian invariant-method PDF only; direct fetch is expected to fail under access controls and it does not close Persian algebraic invariant-theory TeX/source gap. | Response status code does not indicate success: 403 (Forbidden).","If fetch fails, publish URL/error as blocker only; no payload.","","blocker sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T114041Z"
"R3-GAP-ACTION-010","master_gap_or_blocker","r3_gap_refresh::gap_ar_invariant_theory_tex_source_still_open_20260704","novel_or_blocked_gap_registry","Controlled Arabic / Arabic RTL","Arabic invariant-theory TeX/arXiv/source archive","","","","Arabic searches found ring/Noetherian PDF provenance and weak invariant-theory phrase evidence, but no Arabic TeX/LaTeX/arXiv/source-package witness for invariant theory.","Publish gap row only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","20260705T114041Z"
