"row_id","row_type","scope","status","source_title","source_url","local_path","sha256","package_action","gap_or_next_gate","notes","non_claim_boundary"
"GOV-056-AGENTS","instruction_bus_read","GitHub governance","read","AGENTS.md","local GitHub checkout","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","E4E6A7422E118543E5ADAB00ACFB32E8C097FE6F40153745A9E5D9CCAF0DCE6B","control anchor only","Follow source-canon sufficiency transition and shared checks.","Source canon first; after sufficient baseline, produce draft/non-canonical support for covered rows; language lanes do not push.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-COPILOT","instruction_bus_read","GitHub governance","read",".github/copilot-instructions.md","local GitHub checkout","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","D553C306879C915C9B0132E6DF50F010FE8F9ADC9EB130C9295BC4DF9DBD50FF","control anchor only","Keep generated translations separate from source corpus.","Open-machine coordination via GitHub tracked artifacts; no raw source bodies, credentials, zip primaries, OCR caches, runtime files, or traineddata in rolling packages.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-OPEN-MACHINE-MD","instruction_bus_read","GitHub governance","read","NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.md","local GitHub checkout","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.md","D2B3A68F28C90C09A3BEAC978D78E336C375F9B44F13CD544771DCC7026BA127","control anchor only","Route cross-lane blockers/tasks through GitHub-visible artifacts.","Local side channels are non-authoritative unless GitHub-visible.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-OPEN-MACHINE-JSON","instruction_bus_read","GitHub governance","read","NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.json","local GitHub checkout","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_OPEN_MACHINE_GITHUB_COORDINATION_RULE_20260704.json","E01C2CBA3FAF4A16A87E493E71AF2C0159A4AC120A0E42F650ED40CF4FE7CE10","control anchor only","Preserve required labels and publication authority.","JSON marks source-canon sufficiency transition controlling and B3 publication authority.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-SUFFICIENCY","instruction_bus_read","GitHub governance","read","NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","local GitHub checkout","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SOURCE_CANON_SUFFICIENCY_TRANSLATION_TRANSITION_20260705.md","A6504AFF333D3B58866F19D95A39BE171F67002952A566A13BDDE8C25A0C0EA2","control anchor only","Covered rows get draft support; uncovered rows stay source-acquisition/gap.","Event 054 implements this for Turkish covered rows and gap/candidate rows.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-PARENT-LEDGER","shared_context_read","whole Noether program","consulted","NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","local workspace","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","A1474CE44F37E2C4E9D34F3D658D581614D07980F5004286392791931E8682EC","control anchor only","Continue aligning R2 outputs with parent/source-canon steering and B3 package frontier.","Parent ledger is large; consulted for source-canon, R2/Pan-Turkic, B3, and sufficiency-transition references.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-STEERING","shared_context_read","whole Noether program","read","NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","local workspace","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","control anchor only","Witness tables remain evidence, not approval.","Steering says source-canon witness tables first; language lanes do not push; no native/community/canonical/gate/blanket-license claims.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-B3-LOG","shared_context_read","B3 package steward","tail consulted","NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","local workspace","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","0A4F6C2FD0F0D341F879E2CAF45698FBBC27B51B604BDA3960DC6CDDCAD8344E","control anchor only","B3 packages coherent non-raw lane outputs.","Tail showed package history through 566 in the local log; GitHub checkout now has package632 untracked after package631.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"GOV-056-PACKAGE632","package_frontier_check","B3 package steward","observed untracked package metadata","NOETHER_SESSION_OUTPUT_PACKAGE632 README","local GitHub checkout","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE632_20260705T164734_ROLLING_DELTA_AFTER_PACKAGE631\README.md","90B1E229712097538B8D3CF8281E126CFECF96F8CD05ED026BE2EF6D8B7B2E7E","B3-owned; this lane does not stage","Package632 predates R2 Events 054 and 055; next B3 delta should consider those reviewable outputs.","Package632 relative to package631 at c8fd7219 copied 6 non-zip files, omitted 0 zip and 0 raw source bodies, combined SHA 88208B54B52DCF7A9669F60E1FB25819460B347248650BAA5093FB696080FB90.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
"R2-056-EVENT054-PACKAGE-ROUTE","b3_route","R2 Pan-Turkic","new local drift after Package632","Event 054 sufficiency draft slice","local lane outputs","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_SUFFICIENCY_DRAFT_SLICE_20260705T1620.md LanePath","see Event 054 SHA256 sidecar","B3 may package root-level md/csv/json/manifest/sha; no raw sources involved","Draft Turkish covered rows only; Tatar/Kyrgyz/Turkmen gaps and Uyghur candidate state preserved.","17 rows: source-supported Turkish draft, candidate Uyghur scaffolds, explicit no-rendering gaps, control anchors.","GitHub-instruction-bus aligned; source-canon/provenance first; draft/non-canonical only where supported; B3-only publication; no native-review, canonical-approval, accepted-terminology, license-clearance, gate-promotion, completion, bridge, pilot, or Git-push claim"
