"file_hint_id","source_frontier_id","route","query_or_source","record_index_within_manifest","recid","doi","record_title","record_html_url","record_archive_url","record_publication_date","record_resource_type","record_language_metadata","record_access_right","record_license_id","file_key","file_extension_hint","file_size_bytes","file_checksum_signal","file_download_url","local_query_metadata_path","local_query_metadata_sha256","source_fit_class","language_topic_tags","license_or_access_signal","blocker_or_reason","upload_policy","non_claim_boundary","created_utc"
"R3-ZENODO-FILE-0001","R3-ZENODO-001","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""linear algebra""","1","10074309","10.5281/zenodo.10074309","Linear Algebra","https://zenodo.org/records/10074309","https://zenodo.org/api/records/10074309/files-archive","2023-10-30","Book","","open","cc-by-4.0","WhatsApp Image 2023-11-06 at 12.36.39 PM.jpeg",".jpeg","366891","md5:3eb5c8e7764d9ffbbf48959aa1d3e78e","https://zenodo.org/api/records/10074309/files/WhatsApp%20Image%202023-11-06%20at%2012.36.39%20PM.jpeg/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","zenodo_metadata_topic_file_hint_needs_manual_screening","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0002","R3-ZENODO-001","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""linear algebra""","2","15067574","10.5281/zenodo.15067574","Linear Algebra","https://zenodo.org/records/15067574","https://zenodo.org/api/records/15067574/files-archive","2025-03-13","Book","","open","cc-by-4.0","Full cover.jpg",".jpg","1291510","md5:051b6c75c16c96599d680ed9695e379b","https://zenodo.org/api/records/15067574/files/Full%20cover.jpg/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","zenodo_metadata_topic_file_hint_needs_manual_screening","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0003","R3-ZENODO-001","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""linear algebra""","3","3367812","10.5281/zenodo.3367812","SLATE","https://zenodo.org/records/3367812","https://zenodo.org/api/records/3367812/files-archive","2019-04-04","Software","eng","open","bsd-3-clause","slate-2019-04-04.tar.gz",".tar.gz","953926","md5:2a2ea8bc1cd32ef1aa34919282760bae","https://zenodo.org/api/records/3367812/files/slate-2019-04-04.tar.gz/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","zenodo_source_archive_or_compressed_file_hint_needs_fetch_hash_language_license_screen","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=bsd-3-clause; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0004","R3-ZENODO-001","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""linear algebra""","4","8296796","10.5281/zenodo.8296796","Elementary Linear Algebra","https://zenodo.org/records/8296796","https://zenodo.org/api/records/8296796/files-archive","2023-08-25","Journal article","","open","cc-by-4.0","WhatsApp Image 2023-08-29 at 11.44.12 AM.jpeg",".jpeg","263422","md5:af5eb81893a81e9708fdf93b2851ab7a","https://zenodo.org/api/records/8296796/files/WhatsApp%20Image%202023-08-29%20at%2011.44.12%20AM.jpeg/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","zenodo_metadata_topic_file_hint_needs_manual_screening","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0005","R3-ZENODO-001","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""linear algebra""","5","10863548","10.5281/zenodo.10863548","Mathematics Linear Algebra","https://zenodo.org/records/10863548","https://zenodo.org/api/records/10863548/files-archive","2024-03-05","Book","","open","cc-by-4.0","WhatsApp Image 2024-03-23 at 1.20.16 PM (1).jpeg",".jpeg","400607","md5:7cecc2421a17c5889761d6c33bb094c5","https://zenodo.org/api/records/10863548/files/WhatsApp%20Image%202024-03-23%20at%201.20.16%20PM%20(1).jpeg/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_linear_algebra.json","1F15C90089E42F5CAB2481F2175A0AEE9F3CB750BC17D297153127BE18AE1555","zenodo_metadata_topic_file_hint_needs_manual_screening","Arabic; linear algebra; Zenodo; repository metadata; fallback/source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0006","R3-ZENODO-002","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""Noetherian ring""","7","6349906","10.156172/IAJCR2020","المجلة العربية الدولیة للبحوث الخلّاقة، المجلد الأول۲۰۲۰م","https://zenodo.org/records/6349906","https://zenodo.org/api/records/6349906/files-archive","2020-01-01","Journal article","abv","open","cc-by-4.0","IAJCR01 2020A.pdf",".pdf","6176014","md5:c1c47e9ade3ad81db66d2db358dd95bb","https://zenodo.org/api/records/6349906/files/IAJCR01%202020A.pdf/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0007","R3-ZENODO-002","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""Noetherian ring""","8","12755351","10.5281/zenodo.12755351","Arabic Poetry Analysis Datasets","https://zenodo.org/records/12755351","https://zenodo.org/api/records/12755351/files-archive","2024-07-19","Dataset","eng","open","cc-by-4.0","Arabic Poetry Analysis Datasets.zip",".zip","4328605","md5:608503da1995db314c89b28f0baa56fd","https://zenodo.org/api/records/12755351/files/Arabic%20Poetry%20Analysis%20Datasets.zip/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","zenodo_source_archive_or_compressed_file_hint_needs_fetch_hash_language_license_screen","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0008","R3-ZENODO-002","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""Noetherian ring""","9","11953658","10.5281/zenodo.11953658","Journal of Afro Asian Studies Eighth Issue February 2021","https://zenodo.org/records/11953658","https://zenodo.org/api/records/11953658/files-archive","2021-02-01","Journal","eng","open","cc-by-4.0","Journal-of-Afro-Asian-Studies-Eight-issue-February-2021.pdf",".pdf","2872925","md5:d924565e09a3b306722d73503d3bc6cd","https://zenodo.org/api/records/11953658/files/Journal-of-Afro-Asian-Studies-Eight-issue-February-2021.pdf/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0009","R3-ZENODO-002","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""Noetherian ring""","10","13375673","10.5281/zenodo.13375673","Journal of Afro-Asian Studies Twenty-First Issue May 2024","https://zenodo.org/records/13375673","https://zenodo.org/api/records/13375673/files-archive","2024-05-01","Journal","eng","open","cc-by-4.0","Journal-of-Afro-Asian-Studies-Twenty-First-Issue-–-May-2024.pdf",".pdf","5011165","md5:22e3a77149d04fe0df909a0563dffdda","https://zenodo.org/api/records/13375673/files/Journal-of-Afro-Asian-Studies-Twenty-First-Issue-%E2%80%93-May-2024.pdf/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_noetherian_ring.json","D6F89F587931BDA3A2B008F40399DF9593FB4B5A92F8B1F86D252F9D50F1550A","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","Arabic; Noetherian ring; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
"R3-ZENODO-FILE-0010","R3-ZENODO-003","Arabic RTL source-canon lane","Zenodo API query: ""Arabic"" ""invariant theory""","11","6349906","10.156172/IAJCR2020","المجلة العربية الدولیة للبحوث الخلّاقة، المجلد الأول۲۰۲۰م","https://zenodo.org/records/6349906","https://zenodo.org/api/records/6349906/files-archive","2020-01-01","Journal article","abv","open","cc-by-4.0","IAJCR01 2020A.pdf",".pdf","6176014","md5:c1c47e9ade3ad81db66d2db358dd95bb","https://zenodo.org/api/records/6349906/files/IAJCR01%202020A.pdf/content","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ZENODO_SOURCE_FRONTIER_PROBE_20260705T011609Z\queries\arabic_invariant_theory.json","60FE983E6242EB0E9DD87047966824C3D8C39678186869F0142F6396C3BA4F1D","zenodo_pdf_fallback_file_hint_needs_fetch_hash_language_license_screen","Arabic; invariant theory; Zenodo; repository metadata; source archive frontier; Zenodo record/file metadata; metadata-only","Zenodo record metadata access=open; license=cc-by-4.0; no R3 license clearance","Zenodo record/file metadata only. Query terms and file hints do not prove target-language mathematical source authority; no file was downloaded, independently hashed, language-screened, or license-cleared by R3.","manifest_zenodo_file_metadata_only_no_payload_until_fetch_hash_language_license_screen","Zenodo file-hints metadata only; no file download, source-body copy, translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push.","20260705T113801Z"
