identifier	role	expected_bytes	expected_sha256	expected_hash_source	runtime_original_bytes	hash_validation	crc_validation
DIRICHLET_PAPER_IV_INPUT_PACKAGE.zip	INPUT_PACKAGE			Not supplied in retrieved text	UNAVAILABLE	NOT_PERFORMED	NOT_PERFORMED
02_*	REQUIRED_GOVERNING_FILE			Filename not exposed by searches	UNAVAILABLE	NOT_PERFORMED	NOT_APPLICABLE
05_PAGE_MAP.tsv	CONTROLLING_PAGE_MAP			Not retrieved	UNAVAILABLE	NOT_PERFORMED	NOT_APPLICABLE
06_*	REQUIRED_GOVERNING_FILE			Filename not exposed by searches	UNAVAILABLE	NOT_PERFORMED	NOT_APPLICABLE
07_*	REQUIRED_GOVERNING_FILE			Filename not exposed by searches	UNAVAILABLE	NOT_PERFORMED	NOT_APPLICABLE
08_*	REQUIRED_GOVERNING_FILE			Filename not exposed by searches	UNAVAILABLE	NOT_PERFORMED	NOT_APPLICABLE
10_AUTHORITY_EXACT_SCOPE_PDF_PAGES_080_115_PRINTED_PP063_098.pdf	CONTROLLING_AUTHORITY			Not supplied in retrieved text	UNAVAILABLE	NOT_PERFORMED	NOT_APPLICABLE
11_AUTHORITY_FULL_DIRICHLET_GESAMMELTE_WERKE_BAND_I_1889.pdf	PROVENANCE_AUTHORITY	36067858	961E55A2D32DDC88191CDD8A99F877A06BB3E721D7705F5A96C6F80AD67F9F6C	03_SOURCE_HIERARCHY.md, retrieved text only	UNAVAILABLE	NOT_PERFORMED	NOT_APPLICABLE
12_UNVERIFIED_INHERITED_R27_PAPER_IV_CLAIMED_PP063_074.zip	UNVERIFIED_PRIOR_WORK	28099073	66E2236C71CA73919BC24F78CB736BD72C3B1236944345BA86B5D549DF68796D	03_SOURCE_HIERARCHY.md, retrieved text only	UNAVAILABLE	NOT_PERFORMED	NOT_PERFORMED
13_UNVERIFIED_INHERITED_R28_PAPER_IV_PP075_080.zip	UNVERIFIED_PRIOR_WORK	27826705	608683C67ACD4C0762B83D61DDD70EAE0F9F383E296A0E51DA65FF66C69D5090	03_SOURCE_HIERARCHY.md, retrieved text only	UNAVAILABLE	NOT_PERFORMED	NOT_PERFORMED
