printed_page	expected_scope_leaf	expected_authority_pdf_page	expected_role	mapping_evidence	source_inspected	french	english	apparatus
63	1	80	REPRINT_TITLE_COPY	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
64	2	81	BLANK_VERSO_COPY	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
65	3	82	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
66	4	83	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
67	5	84	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
68	6	85	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
69	7	86	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
70	8	87	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
71	9	88	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
72	10	89	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
73	11	90	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
74	12	91	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
75	13	92	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
76	14	93	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
77	15	94	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
78	16	95	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
79	17	96	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
80	18	97	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
81	19	98	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
82	20	99	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
83	21	100	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
84	22	101	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
85	23	102	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
86	24	103	AUTHOR_TEXT	Retrieved governing text only; 05_PAGE_MAP.tsv not read	NO	NOT_ACCEPTED	NOT_ACCEPTED	NOT_ACCEPTED
