"count","note","category"
"58","8BE81510 to 9D7DB086 compare files","branch_compare_files"
"34","filename filter for R6/Indigenous/Creole/Sign terms","r6_relevant_or_possible_branch_rows"
"True","remote branch head observed during build","observed_matches_9d7"
"12","previous 8BE support audit SHA rows verified","input_sha_rows"
"0","should remain zero","input_sha_failures"
"6","reviewer/ethics authority rows from source-gated support","authority_map_rows"
"12","source-start/blocker rows across R6 scopes","source_start_blocker_rows"
"6","reviewer/source-owner questions","reviewer_route_rows"
"6","source-use carry-forward rows","source_use_rows"
"6","Fable/adverse/do-not-use carry-forward rows","fable_rows"
