layer	physical_page	printed_page	text_sha256	record_sha256	source_record_sha256	status
source	1	80	1BDADC3908FE87859B019A01A12CD5B3BAD804E06F47AE9AF57D020CBABA1A69	674DC33503B22430D5ECEC192CFCE8036A8A49B9B5F889874A882ED1E213BDE7	674DC33503B22430D5ECEC192CFCE8036A8A49B9B5F889874A882ED1E213BDE7	VERIFIED_FROM_PACKET
english	1	80	CF64FA5BAB039B54AAF5F810D2540752C2C0A1F1A5B49E0E5D080C2CDF7DE71C	17D63D8DF80D472579BDB0692697C2D1FBB37956D85B6B4550906EEDF6331C67	674DC33503B22430D5ECEC192CFCE8036A8A49B9B5F889874A882ED1E213BDE7	VERIFIED_FROM_PACKET
apparatus	1	80	9DD20B8392A708BD5157CA824865284AC81170ED52138D7F43C795D543022E21	A2028685689FC3F861673D4B71FCD90E02AED2D8C9F23E140B6F49D122747FD5	674DC33503B22430D5ECEC192CFCE8036A8A49B9B5F889874A882ED1E213BDE7	VERIFIED_FROM_PACKET
source	2	81	4F24B62871FC61DDA9E322326AF6083CB357878980D90A3CD3D2836F4683E6F1	DF9E79A8A0A0C23F7AB683A8400BACF7BB88F630879445A24A906D58C381A2FF	DF9E79A8A0A0C23F7AB683A8400BACF7BB88F630879445A24A906D58C381A2FF	VERIFIED_FROM_PACKET
english	2	81	2AD802BA9E09BE810372B644B653E5AA673AA5C88AC58BF94ECFD8C78FFE892F	73F4B15EA14ECE31869C3CBF231AF3D23BC67206B04990A427912231A4972EFF	DF9E79A8A0A0C23F7AB683A8400BACF7BB88F630879445A24A906D58C381A2FF	VERIFIED_FROM_PACKET
apparatus	2	81	8196EE8C2145AA0BE9053F10B3360BC62EE61674D358AC0158C804580DFB2D55	B576FF70F6690627EF0AEA10AC8E75A08E6F52A5A540151A99ADD196043FEC56	DF9E79A8A0A0C23F7AB683A8400BACF7BB88F630879445A24A906D58C381A2FF	VERIFIED_FROM_PACKET
source	3	82	985B27AB1D99BFCCC12247675E23FA94C497CED67EE393A1C5F91F34B84677B8	74E81277FEC0DCAECE77F4A6497BC0A91FFC26E43EF560A88C3EC23D5274DCBA	74E81277FEC0DCAECE77F4A6497BC0A91FFC26E43EF560A88C3EC23D5274DCBA	VERIFIED_FROM_PACKET
english	3	82	E97C2474B979823144F8BE0DDEDEA16B3C11D5E659C2A7D19A69E8908DB19A1A	AF301AEA0B1B232971B56C0A4322C173DB9711E6050EDDD44711A5DB556691BC	74E81277FEC0DCAECE77F4A6497BC0A91FFC26E43EF560A88C3EC23D5274DCBA	VERIFIED_FROM_PACKET
apparatus	3	82	49628477C7CE9903DD6F36B15BC9A387354FFBF0835CCF319C820460C2FA011F	750490A23E7DBF77A09D9EA2FAC019C9663D3DA63F763F36E30E22DC236844F7	74E81277FEC0DCAECE77F4A6497BC0A91FFC26E43EF560A88C3EC23D5274DCBA	VERIFIED_FROM_PACKET
source	4	83	63FEABEF47B09C7CB9B41DB2E5A95900A3D379E1255B5B9641E00C5030F39C84	FD485662C7B292E164CB76A74807B42BDF716629ED11402DA21712F424BE7899	FD485662C7B292E164CB76A74807B42BDF716629ED11402DA21712F424BE7899	VERIFIED_FROM_PACKET
english	4	83	19AA7879CA9B7E89784A27DE7D670F962EA7A06A525E6E94387B301E98A6ECE9	21214A3E9B430792478F43E95E263C68E8DF7ECC2725B6E0C5EC42F91F908550	FD485662C7B292E164CB76A74807B42BDF716629ED11402DA21712F424BE7899	VERIFIED_FROM_PACKET
apparatus	4	83	63ED16C475F659C07B020DF45A526001A6B2D0F85BA597C19A3F4B3D49EFCE4F	9BF14623B4D89BC3A671FC23578C5D7DC6D501A3F4A7D56066D3F1001F62A1D7	FD485662C7B292E164CB76A74807B42BDF716629ED11402DA21712F424BE7899	VERIFIED_FROM_PACKET
source	5	84	FE69B2B5D99DBD8EE27EFCB219F2FF92EE081E99646309530776BE01ECDB6C59	477ED68FF572C31302E682D9CA21CF1BAAC8190DCA51C1B5950033A64E0BF0AC	477ED68FF572C31302E682D9CA21CF1BAAC8190DCA51C1B5950033A64E0BF0AC	VERIFIED_FROM_PACKET
english	5	84	3A782A7C7A8C920A6F1A328BFC786FBB6DFF955C4CAB2F51D96054BCC38FD510	1A131AFC058CA9BB2A83D90BFB6F960BADA9A85C60AE77DB6498EAE8434BB96A	477ED68FF572C31302E682D9CA21CF1BAAC8190DCA51C1B5950033A64E0BF0AC	VERIFIED_FROM_PACKET
apparatus	5	84	D8C996C08A14DF5B7EC792865FB1AC88B6A914E8A0A94DE758CB8CDE4DEB28CA	658F23E1D8495FC179DE63D8B7BC17FF25CE95992A194637DB4AC176CF25DE7C	477ED68FF572C31302E682D9CA21CF1BAAC8190DCA51C1B5950033A64E0BF0AC	VERIFIED_FROM_PACKET
source	6	85	43A005CCEC6CD9E14615BA188D4CD48571CA232939695C4EA395D524978D7AAD	7DD7F38B566767D438574FCF73A5D70BFD649397487732CA58816F6F51DB99EF	7DD7F38B566767D438574FCF73A5D70BFD649397487732CA58816F6F51DB99EF	VERIFIED_FROM_PACKET
english	6	85	6C0DA5D2296666FBAD2B856654E07356CEE0C35DDCD8DC9D38443917ADDEDB5B	BE77146B5B9396D60F4C7D5F76DBC4AAA1016144DE29DC0E5C7F904B0B3674DA	7DD7F38B566767D438574FCF73A5D70BFD649397487732CA58816F6F51DB99EF	VERIFIED_FROM_PACKET
apparatus	6	85	8047B0653070152A169CA9FF51B1D0B4FC17BA3B124D4D8F0662FEA51D84DC83	9AF12B9EE599386D8F0D0A69E77AE2C521D330DFC05C08556EB86203870D2D38	7DD7F38B566767D438574FCF73A5D70BFD649397487732CA58816F6F51DB99EF	VERIFIED_FROM_PACKET
source	7	86	96BF9B005B42E7D96F0EBDB4DE972C1B23336F637933CD3D52857272BEFF51C2	DDE72D96FE0CFE734D310939E377334E310F974CACE868EA43B052306BDD97A3	DDE72D96FE0CFE734D310939E377334E310F974CACE868EA43B052306BDD97A3	VERIFIED_FROM_PACKET
english	7	86	533EFB1EBA1C1673DEC8E813D8D3C208949E52FC0483AC22418258F51A958BAF	796590A0D0F106223000ECEF95415794D7E3DE58C7E92080DA50627B6662E612	DDE72D96FE0CFE734D310939E377334E310F974CACE868EA43B052306BDD97A3	VERIFIED_FROM_PACKET
apparatus	7	86	9A250F805455AC3A43ED895C566674197A3CB2ACBE5E5FEF4BB633945551F8B8	E97880664942BD46F73FEC5B879BE65A572F311F56F6187C3A79A05B672EF278	DDE72D96FE0CFE734D310939E377334E310F974CACE868EA43B052306BDD97A3	VERIFIED_FROM_PACKET
source	8	87	EFF1BC1B4F65F692FD699B57F08DC67A1D4551D8299BAD3918877490B6E4B3C3	1245D5222DC7A4C3F5CB53456F4278492A6A6B8F7C65F5B4FCFC76D845A9FB46	1245D5222DC7A4C3F5CB53456F4278492A6A6B8F7C65F5B4FCFC76D845A9FB46	VERIFIED_FROM_PACKET
english	8	87	BD4543AB510B0B802B6459C3101BFAD3FC1CA62590811CAA8CE1C66A2FDBFCE0	C3F615B06BB63EC696CC5D6D48A7F945897867D67A737C0AC52BFA82EF2100E5	1245D5222DC7A4C3F5CB53456F4278492A6A6B8F7C65F5B4FCFC76D845A9FB46	VERIFIED_FROM_PACKET
apparatus	8	87	84E871E37DD328075F5E402AF28BB77CC8743278D6B971438EC48AB2C16F6D89	8DA536FD5666E43761971D8FB3F70DDC2CD67553B7070DD98D6350B9CF9C5369	1245D5222DC7A4C3F5CB53456F4278492A6A6B8F7C65F5B4FCFC76D845A9FB46	VERIFIED_FROM_PACKET
source	9	88	C02B7BEA3958AF283A925F747723A2A7236397FA228AA210C8B1855C28E91EEA	DE796965F8A1F6CBA88623A04A25E603B96A6788FFAD9E9C54600A25E8A17720	DE796965F8A1F6CBA88623A04A25E603B96A6788FFAD9E9C54600A25E8A17720	VERIFIED_FROM_PACKET
english	9	88	1DD886AF71D8CA464C4874140ED7DD630B75FA951ADC18AAF5DC1722C67E5836	E31DE9A840C1F227F5CAAA8631711ABD42AE1F81A3F49B001006CFF754B0EE28	DE796965F8A1F6CBA88623A04A25E603B96A6788FFAD9E9C54600A25E8A17720	VERIFIED_FROM_PACKET
apparatus	9	88	2570A119A300DE12E09FBA8821B042FBA1C0481377E4DD95A6039574D328DE8A	213E4E772C1F02783AA33E866D302892DDF7315EE9F2D7569404E28C0C595E4C	DE796965F8A1F6CBA88623A04A25E603B96A6788FFAD9E9C54600A25E8A17720	VERIFIED_FROM_PACKET
source	10	89	1B4C802A63AB3783E5E12A65B226A5B00C8F5955050BE5AFE8EA92C1359655E7	5C3581DC856BEF9F5967B55F4E8F8AA449085A3A71BD29EE6FDDD6CC943F94BC	5C3581DC856BEF9F5967B55F4E8F8AA449085A3A71BD29EE6FDDD6CC943F94BC	VERIFIED_FROM_PACKET
english	10	89	FDF6BB1B4F379DC1859440CF38B219CABAC68815EB4EEE88B6913AF58B0851EB	790F7160DCFF5E97B3AFE9052D154F3491309157B3E588B67BE836C5671351B2	5C3581DC856BEF9F5967B55F4E8F8AA449085A3A71BD29EE6FDDD6CC943F94BC	VERIFIED_FROM_PACKET
apparatus	10	89	B8C5BE8E88106793A7E12CE1DE3167332DED86E32D01425A6BF20587506834E6	70E423D0D12A92D5E49D76DC88BF208712DDED42199C82E50FF4CB49017B039E	5C3581DC856BEF9F5967B55F4E8F8AA449085A3A71BD29EE6FDDD6CC943F94BC	VERIFIED_FROM_PACKET
source	11	90	30714E49BC9B4EE77D358C02929FB3CF4556089E4CFF2E19A21E0996C026741C	1611246B299FBCCD05F5B123D9C9D42A170944E12BE52DC91B4B5601C3C90718	1611246B299FBCCD05F5B123D9C9D42A170944E12BE52DC91B4B5601C3C90718	VERIFIED_FROM_PACKET
english	11	90	E9BF403628AF3ACC1C52EDC35B8EE0A29D02DF3C83B1CCBC7BBFCFB91ABF11F3	385A9257E4B84C6ABA288270FC66DD831E33BDD89458680F13797EC345EDFB21	1611246B299FBCCD05F5B123D9C9D42A170944E12BE52DC91B4B5601C3C90718	VERIFIED_FROM_PACKET
apparatus	11	90	72A8E8D66ADF6B10F68387AAD9BFFD37EF85EEC602FA14DD5D479C47807AF5BB	2CB6CDEFA7DDED8314B67F85903E58B1F74918E3F2E03ECB1BFDFEB609677124	1611246B299FBCCD05F5B123D9C9D42A170944E12BE52DC91B4B5601C3C90718	VERIFIED_FROM_PACKET
source	12	91	6911D3ACBBCC2C5763C1B25A3CB2C79535852C41BD1769F42126354D85451740	5C99A788EEF8D26350CA6B2522554D752C96073AC7AE1D692420F8904D2ABD3A	5C99A788EEF8D26350CA6B2522554D752C96073AC7AE1D692420F8904D2ABD3A	VERIFIED_FROM_PACKET
english	12	91	2BF49AABDAFA9BEAE1691BCBB784AC67D8668BE0ADF7CF5C9AC27F71492AF48D	1CD5DDCF71905ACFD5339E7E462A6601491A78F8BC489B00CA4A8DFCEDDC8758	5C99A788EEF8D26350CA6B2522554D752C96073AC7AE1D692420F8904D2ABD3A	VERIFIED_FROM_PACKET
apparatus	12	91	643AB85F6D144016522B2FDCE50B835D38D6622D495B2B5ECB5C90B87E3C60C1	4E392E894B0A7B0619B16A0BB916435ADD6A01262AC29FFA38D11A378EF06685	5C99A788EEF8D26350CA6B2522554D752C96073AC7AE1D692420F8904D2ABD3A	VERIFIED_FROM_PACKET
source	13	92	A287406B9959B9581A73D92E0752E13301D14CA57384512AEA5832AB9F3FA995	3E86CB3688D3210587A6DA0DDC24CA1258B200125C6E3B150CF7044FEC0A17B8	3E86CB3688D3210587A6DA0DDC24CA1258B200125C6E3B150CF7044FEC0A17B8	VERIFIED_FROM_PACKET
english	13	92	8EA2FED3F716CF13883DD19DC93825632BD7E8FDDA55A7AE8BFF57A6A1069495	572E50CF29F9EDFA9B97F392EE32CCBB111CC2361E53E37C53B1BDDFEE44F96A	3E86CB3688D3210587A6DA0DDC24CA1258B200125C6E3B150CF7044FEC0A17B8	VERIFIED_FROM_PACKET
apparatus	13	92	D8084A54F9461851D0FFB8745F62B73140A142D51AD98F0E8980B874039042FA	06FD6BAC6A0E735F77A97C5FC4139603BF82D1332F6B37926DCB5618A3BEF9E5	3E86CB3688D3210587A6DA0DDC24CA1258B200125C6E3B150CF7044FEC0A17B8	VERIFIED_FROM_PACKET
