physical_page	printed_page	relative_path	bytes	sha256	pixel_dimensions	role	accepted_editorial_bytes
1	80	assets/authority_pages/p001.png	26695	A43B48958006B19FD59CDF3608031505E3091E44D1915524211BE12E20615A59	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
2	81	assets/authority_pages/p002.png	67072	4B1DF95773FE725546A6E38CE234A7B5761DD42E411283A392C89CA18E6F144D	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
3	82	assets/authority_pages/p003.png	70003	BBB96F5512590FE8D50E449CB5FFD0D41EFCB66E577EC114B8464A94BE466DCA	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
4	83	assets/authority_pages/p004.png	51442	DDA6F67C0EA8AE28E2094FDB9ED691396A3EDD3DEB094A2FEBD7F0580F938586	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
5	84	assets/authority_pages/p005.png	55663	3362AB0EE4DE0A288A630881637FEFB51B47DD2724D27721C2A4F1E5E495EBA3	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
6	85	assets/authority_pages/p006.png	53209	BEC06913DE8E0B88AABF8B9B6FE2742F6C7A5DBF1EA7B5CFF7E4D988E4FB09F9	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
7	86	assets/authority_pages/p007.png	38528	2D5A93D726BE2FEA82D380DD29A3A6503E1EF21CD446BDA805FD945ACDE3C3E7	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
8	87	assets/authority_pages/p008.png	53773	92F80E99947E31DBCA7C75176AEABE87CDEB022D5DF782998469A877C92AB4D4	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
9	88	assets/authority_pages/p009.png	62869	13AA21F5CD8CBA2C9F6C029CB79A9DC9F05B1E52C2AAA17E4E9D55BFCD4E043B	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
10	89	assets/authority_pages/p010.png	54487	9366E9F0E1E2AE87603958BAF1A3EB738674731BE8C5D7682E78494068178D64	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
11	90	assets/authority_pages/p011.png	64601	E466E136DA4587029A67B9F2E1D95DB82D21F9DE144C6A6993CD5621C46E44CD	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
12	91	assets/authority_pages/p012.png	55027	8DBC98CCA34991D8B702826DAFC2EA67CB3ABDEF1003FE51782320387E0BC7FA	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
13	92	assets/authority_pages/p013.png	61011	986B4B58C3F15F54319A4EC60CE96BDAF33729EB677951A01277E96AC341A1D9	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
14	93	assets/authority_pages/p014.png	61672	5C4DBD61BB2631E57E94BF0A05C8A9A41BB070D5DF6DFF496A9059FAC350366E	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
15	94	assets/authority_pages/p015.png	51447	6C80F9C365E84C5E381FA7A8260A89318C13822FA66BCC8B1CA7F47B92FB97DB	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
16	95	assets/authority_pages/p016.png	60921	2FFD96C90AB072269ED854201CEC02D404A45BD08B4F6658A683F9095404B1E8	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
17	96	assets/authority_pages/p017.png	54821	605247414EDA84467C1E3C03B9A9C41CEFDCBF6E9CD2B90CDE2D4F58BFCF5FD3	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
18	97	assets/authority_pages/p018.png	52878	44F6B6C69DBFD645042CCB32238DFBE265BFEFD41202F61372CD277BF2181EC0	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
19	98	assets/authority_pages/p019.png	53406	DF03676C61418D82BC79565811317FBF51B9FDF590E258DB53C9A4DD0C5E786D	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
20	99	assets/authority_pages/p020.png	52649	0586E00C0B1537550DFEA75A890B090409EE004478CA1F11AB01F870FE306793	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
21	100	assets/authority_pages/p021.png	47869	311F25BD1E305CE70C2DC7305E666ABC9838C62759386B53935D900AB84CB8FD	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
22	101	assets/authority_pages/p022.png	50958	8DBDE26F85773BD5997C8A2D218D335F7E67963DD9301347DA1C1E79E5CF3659	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
23	102	assets/authority_pages/p023.png	52717	A213D0586333304C0413EE4F504DCF4D87515562E0E32C51D8152E745C7B1547	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
24	103	assets/authority_pages/p024.png	51374	2F9B0E15525E7D48F2FF05A52DE681FE488D37C9FDF925F0D6C29E1CEA992E09	1920x2850	AUTHORITY_LAYOUT_MATH_IMAGE_FALLBACK	0
