"branch_head","claim","value","evidence_basis"
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","mapping","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","translation","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","approval","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","native_review","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","accepted_terminology","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","license_clearance","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","gate_promotion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","source_certification","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","final_status","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","bridge_pilot","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
"45250d8fb6a9dd5ae477542c2613e50c13f3fcc6","translation_completion","zero_or_false","No direct reviewer/source-return evidence changed counts in this pass."
