relative_path,size_bytes,last_write_utc
00_doc/SCOPE_AND_AUTHORITY.md,1499,2026-07-18T21:10:52.2769608Z
01_german_current/cum_de_Local_20260718_P04S06S07_SourceFix_after_P02.aux,13352,2026-07-18T20:49:51.8719075Z
01_german_current/cum_de_Local_20260718_P04S06S07_SourceFix_after_P02.log,35204,2026-07-18T20:49:52.1023552Z
01_german_current/cum_de_Local_20260718_P04S06S07_SourceFix_after_P02.pdf,2649969,2026-07-18T20:49:52.0295821Z
01_german_current/cum_de_Local_20260718_P04S06S07_SourceFix_after_P02.tex,2152414,2026-07-18T20:48:11.8766673Z
01_german_current/xelatex_pass1.txt,11337,2026-07-18T20:49:42.4690837Z
01_german_current/xelatex_pass2.txt,10892,2026-07-18T20:49:52.1798655Z
02_slavic_current/section06/interslavic-cyrillic/Noether_Paper04_Section06_Interslavic_Cyrillic_v001.aux,32,2026-07-18T20:50:35.0474548Z
02_slavic_current/section06/interslavic-cyrillic/Noether_Paper04_Section06_Interslavic_Cyrillic_v001.log,20631,2026-07-18T20:50:35.1300928Z
02_slavic_current/section06/interslavic-cyrillic/Noether_Paper04_Section06_Interslavic_Cyrillic_v001.pdf,100997,2026-07-18T20:50:35.0810569Z
02_slavic_current/section06/interslavic-cyrillic/Noether_Paper04_Section06_Interslavic_Cyrillic_v001.tex,14729,2026-06-10T21:55:52.0000000Z
02_slavic_current/section06/interslavic-cyrillic/xelatex_pass1.txt,3754,2026-07-18T20:50:34.0765428Z
02_slavic_current/section06/interslavic-cyrillic/xelatex_pass2.txt,3746,2026-07-18T20:50:35.1381158Z
02_slavic_current/section06/interslavic/Noether_Paper04_Section06_Interslavic_v001.aux,32,2026-07-18T20:50:37.2835134Z
02_slavic_current/section06/interslavic/Noether_Paper04_Section06_Interslavic_v001.log,20447,2026-07-18T20:50:37.3699861Z
02_slavic_current/section06/interslavic/Noether_Paper04_Section06_Interslavic_v001.pdf,99442,2026-07-18T20:50:37.3212970Z
02_slavic_current/section06/interslavic/Noether_Paper04_Section06_Interslavic_v001.tex,10067,2026-06-10T21:54:48.0000000Z
02_slavic_current/section06/interslavic/xelatex_pass1.txt,3579,2026-07-18T20:50:36.3280524Z
02_slavic_current/section06/interslavic/xelatex_pass2.txt,3571,2026-07-18T20:50:37.3800197Z
02_slavic_current/section06/russian/Noether_Paper04_Section06_Russian_v001.aux,32,2026-07-18T20:50:39.4101850Z
02_slavic_current/section06/russian/Noether_Paper04_Section06_Russian_v001.log,23505,2026-07-18T20:50:39.4802663Z
02_slavic_current/section06/russian/Noether_Paper04_Section06_Russian_v001.pdf,102997,2026-07-18T20:50:39.4384455Z
02_slavic_current/section06/russian/Noether_Paper04_Section06_Russian_v001.tex,15360,2026-06-10T21:53:56.0000000Z
02_slavic_current/section06/russian/xelatex_pass1.txt,6634,2026-07-18T20:50:38.4200560Z
02_slavic_current/section06/russian/xelatex_pass2.txt,6626,2026-07-18T20:50:39.4882821Z
02_slavic_current/section06/ukrainian/Noether_Paper04_Section06_Ukrainian_v001.aux,32,2026-07-18T20:50:41.5549436Z
02_slavic_current/section06/ukrainian/Noether_Paper04_Section06_Ukrainian_v001.log,21750,2026-07-18T20:50:41.6255273Z
02_slavic_current/section06/ukrainian/Noether_Paper04_Section06_Ukrainian_v001.pdf,103344,2026-07-18T20:50:41.5826556Z
02_slavic_current/section06/ukrainian/Noether_Paper04_Section06_Ukrainian_v001.tex,14532,2026-06-10T21:53:56.0000000Z
02_slavic_current/section06/ukrainian/xelatex_pass1.txt,4879,2026-07-18T20:50:40.5553833Z
02_slavic_current/section06/ukrainian/xelatex_pass2.txt,4871,2026-07-18T20:50:41.6345509Z
02_slavic_current/section07/interslavic-cyrillic/Noether_Paper04_Section07_Interslavic_Cyrillic_v001.aux,32,2026-07-18T20:50:43.8819715Z
