gate_id,target_language_or_row,current_rollup_id,best_current_witness_ids,source_body_gate,url_gate,hash_or_commit_gate,license_access_gate,ocr_unicode_gate,language_topic_gate,archive_probe_gate,reviewer_source_return_gate,minimum_missing_evidence,current_blocker_summary,next_required_return,supporting_artifacts,source_gate_result,non_claim_boundary,promotion_allowed
R9-SGATE-001,Hausa,R9-LATEST-001,R9-SC-004; R9-SC-003,route_metadata_only_no_hashable_source_body,present_source_or_route_url,present_hash_or_commit_signal,metadata_signal_only_no_clearance,blocked_no_local_source_body_for_ocr,topic_language_tags_present_but_benchmark_or_context_only,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,hashable target-language mathematical source body; license/access review; metadata signal is not clearance; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,need book/app content source-owner license return or reviewer/source return | benchmark/source-data witness only; not native algebra/invariant-theory source canon,"source owner or reviewer return with cacheable content, license note, exact wording, and blockers",R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-002,Igbo,R9-LATEST-002,R9-SC-005; R9-SC-003,commercial_route_and_benchmark_context_only_no_source_body,present_source_or_route_url,present_hash_or_commit_signal,blocked_signal_only,blocked_page_render_proof_or_register_review,topic_language_tags_present_but_benchmark_or_context_only,candidate_metadata_deferred_not_admitted,required_not_returned,hashable target-language mathematical source body; clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,need source-cleared book/glossary text or reviewer/source return | benchmark/source-data witness only; not native algebra/invariant-theory source canon | no TeX/source archive witness; fallback route and benchmark-data provenance only; need source-cleared book/glossary text or reviewer/source return; Afri-MGSM is not native algebra/invariant-theory source canon; next=seek source-owner return for MBIDO/basic math text or a public source package with explicit license metadata,source-cleared book/glossary text or named Igbo reviewer return,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-003,Amharic,R9-LATEST-003,R9-SC-006; R9-SC-003,local_pdf_or_context_shelf_exists_but_not_source_gate_closed,present_source_or_route_url,present_hash_or_commit_signal,blocked_signal_only,blocked_ocr_font_or_nonunicode_text_layer,present_as_metadata_tag_not_source_gate,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,OCR/font-map repair needed; no source-level TeX/archive found | benchmark/source-data witness only; not native algebra/invariant-theory source canon,script-aware OCR/font-map repair page transcription and reviewer verification,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-004,Afar/Qafar,R9-LATEST-004,R9-SC-007,pdf_media_context_not_target_math_source_corpus,missing_public_source_url_or_ledger_only,present_hash_or_commit_signal,blocked_signal_only,blocked_transcript_or_source_wording_missing,needs_exact_language_variety_and_topic_tags,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,hashable target-language mathematical source body; stable public/source-owner URL; clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,need transcript/audio review and source permission return,transcript audio review source-owner permission or Qafar/Afar reviewer extraction,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-005,Somali,R9-LATEST-005,R9-SC-008,local_pdf_or_context_shelf_exists_but_not_source_gate_closed,present_source_or_route_url,present_hash_or_commit_signal,blocked_signal_only,blocked_page_render_proof_or_register_review,present_as_metadata_tag_not_source_gate,mixed_zero_result_and_deferred_metadata_leads_not_admitted,required_not_returned,clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,need source permission/attribution decision and proof-language reviewer/source return,source permission/attribution ledger plus proof-language reviewer return,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-006,Oromo/Afaan Oromo,R9-LATEST-006,R9-SC-009; R9-SC-003,local_pdf_or_context_shelf_exists_but_not_source_gate_closed,present_source_or_route_url,present_hash_or_commit_signal,blocked_signal_only,blocked_page_render_proof_or_register_review,topic_language_tags_present_but_benchmark_or_context_only,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,need page-image spelling source return and proof-language reviewer/source return | benchmark/source-data witness only; not native algebra/invariant-theory source canon,source permission/attribution ledger plus orthography/proof reviewer return,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-007,Tigrinya/Tigrigna,R9-LATEST-007,R9-SC-001; R9-SC-002; R9-SC-010,partial_source_package_for_number_register_only; textbook/source body still blocked,present_source_or_route_url,present_hash_or_commit_signal,blocked_signal_only,blocked_transcript_or_source_wording_missing,present_as_metadata_tag_not_source_gate,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,hashable target-language mathematical source body; clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,register/number morphology witness only; not algebra or invariant theory | source-code witness only; needs domain/community review before any term use | need render/text comparison script label and reviewer/source return,script label decision OCR/transcription and reviewer verification,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-008,Fulfulde/Fulani,R9-LATEST-008,R9-SC-011,ledger_or_glossary_or_packet_context_only,missing_public_source_url_or_ledger_only,present_hash_or_commit_signal,blocked_signal_only,blocked_page_render_proof_or_register_review,language_scope_or_variety_tag_unresolved,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,hashable target-language mathematical source body; stable public/source-owner URL; clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,"need variety-scoped reviewer/source return and attribution check | no TeX/source archive witness; glossary provenance only; need variety-scoped reviewer/source return and attribution check; next=acquire exact public glossary/source URL, license/access statement, variety label, and cacheable source body or owner-returned wording",variety-scoped reviewer return,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-009,Mandinka/Manding,R9-LATEST-009,R9-SC-012,ledger_or_glossary_or_packet_context_only,missing_public_source_url_or_ledger_only,present_hash_or_commit_signal,blocked_signal_only,blocked_page_render_proof_or_register_review,language_scope_or_variety_tag_unresolved,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,hashable target-language mathematical source body; stable public/source-owner URL; clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,need Mandinka reviewer/source return and Manding scope decision | no TeX/source archive witness; glossary provenance only; need Mandinka reviewer/source return and Manding scope decision; next=acquire exact public source URL/body or named reviewer return with Mandinka/Manding scope note and access signal,Mandinka-specific reviewer return and Manding scope note,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
R9-SGATE-010,Akan/Twi,R9-LATEST-010,R9-SC-013; R9-SC-003,glossary_and_blocked_benchmark_dataset_context_only,present_source_or_route_url,present_hash_or_commit_signal,blocked_signal_only,blocked_page_render_proof_or_register_review,topic_language_tags_present_but_benchmark_or_context_only,searched_metadata_gaps_no_source_archive_admitted,required_not_returned,hashable target-language mathematical source body; clear access/license/attribution signal; OCR/Unicode/transcript/page-render closure; exact language/variety and mathematical topic/domain tag; source-owner/reviewer/authority return; source archive admission or explicit owner-return alternative,need Twi reviewer/source return and separate Akan source return | benchmark/source-data witness only; not native algebra/invariant-theory source canon | no admitted TeX/source archive witness; one Twi-named HF candidate blocked before body capture; need Twi reviewer/source return and separate Akan source return; HF candidate needs card/license/language evidence before any data-body use; next=recheck for authoritative Twi/Akan math source package or dataset card with explicit license and language tags; otherwise keep as blocked candidate,Twi reviewer return and separate Akan-scope decision,R9_LATEST_SOURCE_CANON_ROLLUP_INDEX_20260704.csv; R9_SOURCE_LICENSING_CLOSURE_AUDIT_20260704.csv; R9_SOURCE_RETURN_OCR_STATUS_INVENTORY_REFRESH_20260704.csv; R9_ROUND2_CANDIDATE_METADATA_TRIAGE_20260704.csv; R9_ZENODO_DEFERRED_LEAD_RECORD_DETAIL_20260704.csv,blocked_not_source_canon_ready,"No translation, accepted term, native/community review, canonical approval, license clearance, gate promotion, completion claim, package upload, or Git push.",false
