probe_id,platform,target_language_or_access_target,query,source_url,http_status,result_count,local_metadata_path,metadata_sha256,header_metadata_path,header_sha256,rate_limit_metadata_path,rate_limit_sha256,topic_language_tags,top_metadata_summary,license_or_access_signal,source_gate_decision,gap_or_blocker_note,upload_policy,promotion_allowed
R9-R3-GH-01,GitHub repository search API,Hausa,lissafi hausa source textbook mathematics,https://api.github.com/search/repositories?q=lissafi+hausa+source+textbook+mathematics+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_01_hausa.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_01_hausa.headers.json,F0E79FD559E5EF781FC6FEFCBEEA5FB3A23CD7717FF0D345755ABB830903EC74,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Hausa; West Africa; mathematics; endonym=lissafi,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-02,GitHub repository search API,Igbo,igbo mgbakọ na mwepụ mathematics source,https://api.github.com/search/repositories?q=igbo+mgbak%E1%BB%8D+na+mwep%E1%BB%A5+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_02_igbo.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_02_igbo.headers.json,FFCC4F77967CA21ECA1648B271FD6DEB6BF5B50354463C8FE6DBC754D4BDECF7,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Igbo; West Africa; mathematics; endonym=mgbakọ na mwepụ,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-03,GitHub repository search API,Amharic,አማርኛ ሂሳብ mathematics source,https://api.github.com/search/repositories?q=%E1%8A%A0%E1%88%9B%E1%88%AD%E1%8A%9B+%E1%88%82%E1%88%B3%E1%89%A5+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,1,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_03_amharic.json,69E8F570CF91217D1D154E59EC272C07D45A36D5A8F641A1D561B0E44181D9B8,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_03_amharic.headers.json,C747838DCC5A9D1DBB3C9718765363C9A160F0205632C6B3C741D637C4D8D136,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Amharic; Horn of Africa; Ethiopic; mathematics; endonym=ሂሳብ,Damaph-sketch/Telagram_bot | lang=Python | license=missing | url=https://github.com/Damaph-sketch/Telagram_bot,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-04,GitHub repository search API,Afar/Qafar,qafar xisab afar mathematics source,https://api.github.com/search/repositories?q=qafar+xisab+afar+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_04_afar_qafar.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_04_afar_qafar.headers.json,618C9031140E19315CE4791B0C5EE52D8DE00D6E797013746C8306BE10D6125B,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Afar/Qafar; Horn of Africa; mathematics; endonym=xisab,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-05,GitHub repository search API,Somali,xisaab somali mathematics source,https://api.github.com/search/repositories?q=xisaab+somali+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_05_somali.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_05_somali.headers.json,4B50EE5954C152EB0776EF54D39D3576B8444DB55B1F53E14FBBBCBE55FDE16B,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Somali; Horn of Africa; mathematics; endonym=xisaab,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-06,GitHub repository search API,Oromo/Afaan Oromo,herrega afaan oromo mathematics source,https://api.github.com/search/repositories?q=herrega+afaan+oromo+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_06_oromo_afaan_oromo.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_06_oromo_afaan_oromo.headers.json,90D3418E6BDB75D2F2716243F20303AC36457BB2F5AF34C3028EF82E296A79DC,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Oromo/Afaan Oromo; Horn of Africa; mathematics; endonym=herrega,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-07,GitHub repository search API,Tigrinya/Tigrigna,ትግርኛ ሒሳብ mathematics source,https://api.github.com/search/repositories?q=%E1%89%B5%E1%8C%8D%E1%88%AD%E1%8A%9B+%E1%88%92%E1%88%B3%E1%89%A5+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_07_tigrinya_tigrigna.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_07_tigrinya_tigrigna.headers.json,E1C7719AAD10DD16C33B2B87C23FB3979F8CCA016CD3E22AFD6EEC2048C2938E,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Tigrinya/Tigrigna; Horn of Africa; Ethiopic; mathematics; endonym=ሒሳብ,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-08,GitHub repository search API,Fulfulde/Fulani,fulfulde hisaabu mathematics source,https://api.github.com/search/repositories?q=fulfulde+hisaabu+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_08_fulfulde_fulani.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_08_fulfulde_fulani.headers.json,2FFE1523C15705D4A0AF7E4D4B709DF1E70DBCE96F923380848D1C6061A50DF2,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Fulfulde/Fulani; West Africa; mathematics; endonym=hisaabu,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-09,GitHub repository search API,Mandinka/Manding,mandinka konto mathematics source,https://api.github.com/search/repositories?q=mandinka+konto+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_09_mandinka_manding.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_09_mandinka_manding.headers.json,888793A4818B8F3A9B13C33E315C4611CD196B6849D282E322CAECF71163752A,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Mandinka/Manding; West Africa; mathematics; register=math source,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
R9-R3-GH-10,GitHub repository search API,Akan/Twi,akontaabu twi mathematics source,https://api.github.com/search/repositories?q=akontaabu+twi+mathematics+source+in%3Aname%2Cdescription%2Creadme&per_page=5&sort=updated&order=desc,200,0,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_10_akan_twi.json,6A56DCF96C48887F7315291EEE2B4C374339C0405B50AA69C6FFD7D792EE7417,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_10_akan_twi.headers.json,2493DB201651EF999F36A9E0D1DA09D9390401468BEEECA395644ED9B96E3C3E,C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\work\source_canon_witnesses\20260704_r9_endonym_archive_probe_round3\github_rate_limit_before_round3.json,1ED469D36394E5A9AAD93C8894C130AE45A4BF47DB6A9C46485F29B014E5CE2D,Akan/Twi; West Africa; mathematics; endonym=akontaabu,no repository metadata results,metadata only; license missing or not inspected in top records,metadata_only_not_admitted,"Repository search metadata only; no source body was downloaded or inspected, and language/topic/license/source-owner gates remain open.",Do not upload as source corpus; metadata-only probe for R9/B3 packaging awareness.,false
