"lane","role","path","exists","files","csvs","manifest_rows","manifest_sha","sha256sums_sha"
"Romance","French/Spanish source-use gap carryforward","C:\Users\memo_\Documents\Codex\2026-07-04\noether-romance-source-evidence-draft-lane\outputs\ROMANCE_28019A34_FRONTIER_SOURCE_USE_GAP_20260707","True","19","12","16","AF34ABEBCCD552FD8F9F1D79F58DB0C9C5DB9AF104A48AA4075BD81E3704167F","E422BB70C02BABFA5767D0EDCE6AF64E9ADADAE14AA44B08F63A8F14E34CB968"
"Arabic RTL","Arabic source-use/gap recovery","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\ARABIC_RTL_28019A34_FRONTIER_CORRECTION_SOURCE_USE_GAP_RECOVERY_20260707","True","13","7","10","C0140A342928D81F5BFC3FEA06FD703692E93D776C50FFF985EF3FB77319C724","9B877BC058B1ECD7628578522DD084FA61673C22C82E0AE0B82820890976DE70"
"Persianate/Tajik","fa_IR/prs_AF/tg_Cyrl_TJ source-use/gap recovery","C:\Users\memo_\Documents\Codex\2026-07-04\noether-persianate-tajik-source-evidence-draft-lane\outputs\PERSIANATE_TAJIK_28019A34_FRONTIER_CORRECTION_RECOVERY_20260707","True","33","25","26","D67BA3AB95FC4E4B839ADB3EBF1933A8B71C3414A9E1103AD6DD09613FCF6D78","2D49C17C785C0AC00F16036655ECA29C72B13B060C13DB1FB875A4C809717263"
"CJK draft","Japanese/Chinese draft source-use recovery","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-source-evidence-draft-lane\outputs\CJK_DRAFT_28019A34_CURRENT_FRONTIER_RECOVERY_20260707","True","29","26","27","C617BD03FA51ABBCEDF24BC5F733ED263F9F8B00E471F403D39221D9C48C5C81","BE4745820A730807848D21C0FC61A76EA123129703834C1095A54FBD2F47136A"
"CJK native/source","CJK native codepoint/Fable pointers","C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\outputs\CJK_NATIVE_28019A34_FRONTIER_ADVANCE_SOURCE_USE_CODEPOINT_FABLE_20260707","True","22","15","19","029143B18634F446C3950412EC104E9521DE6272E1C1CDD719C18C119E80D84B","4A1B8D779DC4A097B1C28DEB2C57AA8BB7DA16FFC2FEFF31516DE41C44685A54"
"R2 Pan-Turkic","source-use/gap/Fable/adverse context","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\R2_28019A34_HEARTBEAT_FRONTIER_RECOVERY_20260707","True","25","19","23","48C84B712FB0E96B7C45D47256A1823B63E8ED348D2ED83B7AC58444760864F4","002F79FDDA11FD62D336C8B410AE15E399C17F3E8562B21A8E7974862B5C9DAA"
"R7 Malay/Sea/Pacific","frontier correction reverify","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r7-malay-sea-pacific\outputs\R7_28019A34_FRONTIER_CORRECTION_REVERIFY_20260707","True","8","5","6","10EF612D20BE9B8E7950682E05B28E3E68BA7E8DFC0DE5AC8AAEC3C8C4690FCA","8B023AC3E384D78B01FBE5F10EBBEBB9C6093BFBB7CBAF4B20B6862384916D5F"
"R9 Africa/Horn/West","same-frontier status check and wake target","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r9-africa-horn-west\outputs\R9_28019A34_SAME_FRONTIER_STATUS_CHECK_20260707","True","11","6","9","6E87D68DD33FCF852EA47C8F20A2AB7EBD2C0EFAB057E082F727FB85E3D9C12C","84896915C403948042791A4E1429744678FDFDDE02CA2B74927E2D462F41AF59"
"OLP support","review-boundary accounting","C:\Users\memo_\Documents\Codex\2026-07-04\noether-olp-relation-function-support\outputs\OLP_28019A34_FRONTIER_CORRECTION_REVIEW_BOUNDARY_ACCOUNTING_20260707","True","13","9","10","4EAA2BB3AFCB244169650F5A9B5F7E987459129CF3696BDE791D255494C26135","C71F0B8FD43685BC4E3E4C46D144F5F100CB9A3062ACA021D082523EAC168455"
"Interlanguage/Fable authority","source-use/adverse drift recovery","C:\Users\memo_\Documents\Codex\2026-07-04\noether-interlanguage-method-authority\outputs\INTERLANGUAGE_FABLE_28019A34_CURRENT_FRONTIER_DRIFT_RECOVERY_20260707","True","33","14","29","CD913D8FC62B3A482753B022FD54BFCAE605D103FAF77CA6935DE45D2A8AA1F5","4508BEB76E22879F0B6E69CA8616EFF5CC2F9E3F139B80BA293056CE37668936"
"Non-Slavic Core","280 correction child accounting","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_28019A34_FRONTIER_CORRECTION_CHILD_ACCOUNTING_20260707","True","14","10","11","8062C67A096F7E417BC6C7D7A1CC7B29A8F84DD85FD1A757A58EDB1B058D348A","1823367084E7B5BF54ED375C554CDEF2AE2F850DAD35D63AA6C55D560CB31D07"
