coverage_id,component_id,scope,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,cumulative_locator,coverage_state,boundary_control
SGA2-VII-CUM-C01-COVERAGE,SGA2-VII-CUM-C01,Opening and Lemma 1.1 statement,2274-2292,77,69,61,component marker SGA2-VII-CUM-C01,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C02-COVERAGE,SGA2-VII-CUM-C02,Lemma 1.1 proof,2294-2320,77-78,69-70,61-62,component marker SGA2-VII-CUM-C02,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C03-COVERAGE,SGA2-VII-CUM-C03,Proposition 1.2 statement and source note,2322-2349,78-79,70,62,component marker SGA2-VII-CUM-C03,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C04-COVERAGE,SGA2-VII-CUM-C04,Proposition 1.2 induction and Lemma 1.3 statement,2351-2375,79,70-71,62-63,component marker SGA2-VII-CUM-C04,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C05-COVERAGE,SGA2-VII-CUM-C05,"Lemma 1.3 proof, source note, and Proposition 1.2 close",2377-2384,80,71,63,component marker SGA2-VII-CUM-C05,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C06-COVERAGE,SGA2-VII-CUM-C06,Corollary 1.4 and proof,2386-2410,80,71,63,component marker SGA2-VII-CUM-C06,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C07-COVERAGE,SGA2-VII-CUM-C07,Transition and Lemma 1.5 with proof,2412-2425,81,71-72,63-64,component marker SGA2-VII-CUM-C07,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C08-COVERAGE,SGA2-VII-CUM-C08,Lemma 1.6 and Proposition 1.7,2427-2437,81,72,64,component marker SGA2-VII-CUM-C08,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C09-COVERAGE,SGA2-VII-CUM-C09,Section 2 opening and Proposition 2.1 statement,2439-2457,82,72,64,component marker SGA2-VII-CUM-C09,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C10-COVERAGE,SGA2-VII-CUM-C10,Proposition 2.1 proof and source notes,2459-2482,82-83,73,65,component marker SGA2-VII-CUM-C10,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C11-COVERAGE,SGA2-VII-CUM-C11,Definition D(P) and Lemma 2.2 with proof and source notes,2484-2493,83,73,65,component marker SGA2-VII-CUM-C11,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-C12-COVERAGE,SGA2-VII-CUM-C12,Proposition 2.3 and proof closing Expose VII,2495-2498,83,73-74,65-66,component marker SGA2-VII-CUM-C12,bounded_body_and_source_notes_integrated,
SGA2-VII-CUM-BOUNDARY-2501,OUTBOUND:SGA2-VIII,Exposé VII closing boundary and Exposé VIII cursor,2499-2501,83,74,66,after component SGA2-VII-CUM-C12,checked_and_excluded_from_body,blank line 2499; layout command 2500; Exposé VIII begins 2501
