choice_id,scope,source_term_or_issue,reader_choice,status,rationale,rejected_alternative
SGA2-VII-CUM-TERM-001,global,préschéma,prescheme,retained,period terminology,scheme
SGA2-VII-CUM-TERM-002,global,faisceau cohérent or quasi-cohérent,coherent or quasi-coherent sheaf/module according to syntax,retained,consistent English mathematical register,capitalized common nouns
SGA2-VII-CUM-TERM-003,global,Ext and Hom calligraphic operators,sheaf Ext and sheaf Hom operators,retained,distinguishes sheaf operators from global derived functors,plain Ext/Hom everywhere
SGA2-VII-CUM-TERM-004,global,cohomology with support,local cohomology with the source support subscript,retained,keeps support and degree explicit,drop the support
SGA2-VII-CUM-TERM-005,C01-C12,strict ranges i<n and i>n,strict inequalities,retained,matches the source statements,non-strict inequalities
SGA2-VII-CUM-TERM-006,C03-C04,Z versus Z-prime source inconsistency,retain the printed formula and identify the likely intended prime in a note,open_source_reading,transparent apparatus without silent emendation,silently replace Z
SGA2-VII-CUM-TERM-007,C05,M versus P source inconsistency,retain the printed reading and identify the inconsistency,open_source_reading,transparent apparatus,unmarked normalization
SGA2-VII-CUM-TERM-008,C06,source punctuation affecting readability,minimal English punctuation with an explanatory source note,reviewed_choice,clarity while preserving mathematical structure,reproduce ambiguous punctuation without notice
SGA2-VII-CUM-TERM-009,C07-C10,local Ext degree notation,retain the degree established by source controls and bounded-unit review,reviewed_choice,operator-degree consistency,inherit an unreviewed degree
SGA2-VII-CUM-TERM-010,C11,"X, b, and [a,b] printed ambiguity",retain the independently reviewed variable and interval reading,reviewed_choice,cross-checked against both source controls,silent variable substitution
SGA2-VII-CUM-TERM-011,C11-C12,closure bars,retain bars in the reviewed positions,reviewed_choice,topological closure is materially significant,drop bars as typography
SGA2-VII-CUM-TERM-012,C12,endpoint order alternatives,retain the reviewed order and record alternatives in the note,reviewed_choice,avoids concealing a source-reading issue,present an alternative as unqualified source text
SGA2-VII-CUM-TERM-013,global,approximately-shaped source glyph,isomorphism,retained,mathematical and typographic context,numerical approximation
SGA2-VII-CUM-TERM-014,global,editorial source notes,bounded notes separated from theorem and proof bodies,retained,distinguishes source reading from editorial apparatus,silent intervention
