comparison_id,component_id,source_tex_lines,control_type,source_feature,reader_rendering,result,authority_basis,caveat
SGA2-VII-CUM-CMP-001,SGA2-VII-CUM-C01,2284-2291,formula_and_quantifier,strict i<n setting; universal coherent-module hypothesis; supported Ext/Hom/local-cohomology isomorphism,"operators, supports, degrees, arguments, and containment direction retained",pass,corrected French TeX and direct French PDF,isomorphism glyph is not numerical approximation
SGA2-VII-CUM-CMP-002,SGA2-VII-CUM-C02,2294-2320,proof_formula_sequence,"support intersection, filtered colimits, two distinct ideals, and natural-map direction","all supports, exponents, colimit directions, and ideal roles retained",pass,corrected French TeX and direct French PDF,rendered reference IV.1.3 follows the current direct PDF
SGA2-VII-CUM-CMP-003,SGA2-VII-CUM-C03,2322-2349,source_issue_note,prose quantifies Z-prime while the printed display reads Z,printed Z retained with a transparent note distinguishing the likely intended Z-prime,pass_with_note,corrected French TeX and direct French PDF,no silent emendation
SGA2-VII-CUM-CMP-004,SGA2-VII-CUM-C04,2351-2375,induction_and_exact_sequence,"q-induction, equation (1.1), implication directions, and Lemma 1.3 exact sequence","degrees, primes, supports, and arrow order retained",pass,corrected French TeX and direct French PDF,equation (1.1) uses Z-prime
SGA2-VII-CUM-CMP-005,SGA2-VII-CUM-C05,2377-2384,printed_variable_issue,proof exhibits an M/P variable inconsistency,printed reading retained and the inconsistency identified in a source note,pass_with_note,corrected French TeX and direct French PDF,editorial note does not alter the theorem body
SGA2-VII-CUM-CMP-006,SGA2-VII-CUM-C06,2386-2410,statement_and_punctuation,"Corollary 1.4 statement, proof, and source punctuation",logical structure retained; punctuation issue recorded without changing the mathematics,pass_with_note,corrected French TeX and direct French PDF,punctuation is treated as a source-reading issue
SGA2-VII-CUM-CMP-007,SGA2-VII-CUM-C07,2412-2425,local_ext_notation,Lemma 1.5 transition and local Ext degree,"local Ext notation, degree, and hypotheses retained",pass,corrected French TeX and direct French PDF,documented bounded-unit correction incorporated
SGA2-VII-CUM-CMP-008,SGA2-VII-CUM-C08,2427-2437,lemma_proposition_structure,Lemma 1.6 followed by Proposition 1.7,"statement order, inequalities, and sheaf notation retained",pass,corrected French TeX and direct French PDF,none
SGA2-VII-CUM-CMP-009,SGA2-VII-CUM-C09,2439-2457,range_and_statement,section range i>n and Proposition 2.1 quantifiers,strict range and proposition structure retained,pass,corrected French TeX and direct French PDF,strict inequality retained
SGA2-VII-CUM-CMP-010,SGA2-VII-CUM-C10,2459-2482,proof_and_local_ext_degree,"Proposition 2.1 proof, local Ext degree, and source notes","operators, degrees, supports, and implication order retained",pass_with_notes,corrected French TeX and direct French PDF,bounded-unit local Ext correction incorporated
SGA2-VII-CUM-CMP-011,SGA2-VII-CUM-C11,2484-2493,symbols_and_interval_bars,"ambient X, point b, interval [a,b], and closure bars in Lemma 2.2","variables, brackets, and bars retained in their reviewed positions",pass_with_notes,"corrected French TeX, direct French PDF, and independent bounded-unit disposition",printed ambiguities remain identified in source notes
SGA2-VII-CUM-CMP-012,SGA2-VII-CUM-C12,2495-2498,closure_and_order,closure notation and endpoint order in Proposition 2.3,reviewed closure and order reading retained with alternatives documented,pass_with_notes,"corrected French TeX, direct French PDF, and independent bounded-unit disposition",no claim beyond the recorded source controls
SGA2-VII-CUM-CMP-013,SGA2-VII-CUM-ROOT,2274-2498,component_body_normalization,"twelve bounded bodies compared after statement-wrapper, heading-level, and whitespace normalization only",twelve of twelve normalized body hashes agree,pass,deterministic cumulative comparison,the comparison does not replace an independent cumulative audit
SGA2-VII-CUM-CMP-014,OUTBOUND:SGA2-VIII,2499-2501,boundary,"blank line, layout command, and next-exposé opening",boundary checked; Exposé VIII excluded,pass,corrected French TeX and direct French PDF,continuation cursor is line 2501
